Country,Year,GDP
Austria,2013,430190979705.962
Belgium,2013,521791015247.0603
Brazil,2013,2472819535742.7266
Canada,2013,1846597421834.9834
China (mainland),2013,9570471111847.816
Germany,2013,3733804649549.0303
Spain,2013,1355579535912.5527
France,2013,2811876903329.0273
United Kingdom,2013,2784853502534.292
Indonesia,2013,912524136718.0182
India,2013,1856721507681.0786
Iran,2013,492775566425.88055
Italy,2013,2141924094298.5552
Japan,2013,5212328181166.185
South Korea,2013,1370632955321.2036
Mexico,2013,1327436290360.9714
Malaysia,2013,323276235524.41534
Netherlands,2013,877172824534.5123
Russia,2013,2292470078346.2236
Slovakia,2013,98935222174.86028
Sweden,2013,586841821796.8911
Ukraine,2013,190498811460.02753
United States,2013,16843190993000.0
Vietnam,2013,213708811665.34036
South Africa,2013,400886013595.5732
Taiwan,2013,512943000000.0
Austria,2014,442584815286.03375
Belgium,2014,535390200131.0177
Brazil,2014,2456043727198.8545
Canada,2014,1805749878439.9412
China (mainland),2014,10475624944290.115
Germany,2014,3889093051023.5156
Spain,2014,1371820537888.6226
France,2014,2855964488590.186
United Kingdom,2014,3064708247921.4277
Indonesia,2014,890814755533.5369
India,2014,2039126479228.114
Iran,2014,460382791480.42816
Italy,2014,2162009615996.5415
Japan,2014,4896994405353.292
South Korea,2014,1484488526271.7983
Mexico,2014,1364507717463.6729
Malaysia,2014,338066095097.2544
Netherlands,2014,892167986713.7224
Russia,2014,2059241589895.015
Slovakia,2014,101437045019.90082
Sweden,2014,581964017237.0946
Ukraine,2014,133503871861.7233
United States,2014,17550680173999.998
Vietnam,2014,233451469642.51938
South Africa,2014,381198869776.10565
Taiwan,2014,535328000000.0
Austria,2015,381971148530.5428
Belgium,2015,462335574841.48413
Brazil,2015,1802212206904.6777
Canada,2015,1556508816217.1401
China (mainland),2015,11061572618594.75
Germany,2015,3357585719351.5605
Spain,2015,1196156971279.6868
France,2015,2439188643162.4985
United Kingdom,2015,2927911140916.7314
Indonesia,2015,860854232686.2139
India,2015,2103588360066.3235
Iran,2015,408212917874.9643
Italy,2015,1836637711060.546
Japan,2015,4444930651964.18
South Korea,2015,1466038936206.4277
Mexico,2015,1213294467527.5852
Malaysia,2015,301355266964.9473
Netherlands,2015,765572770634.3746
Russia,2015,1363482182197.7053
Slovakia,2015,88900883130.83745
Sweden,2015,505103781349.7569
Ukraine,2015,91030967789.07175
United States,2015,18206020741000.0
Vietnam,2015,239258328381.7414
South Africa,2015,346709790458.56305
Taiwan,2015,534515000000.0
Austria,2016,395837353031.499
Belgium,2016,476062757356.92725
Brazil,2016,1795693482652.5151
Canada,2016,1527994741907.425
China (mainland),2016,11233313730288.52
Germany,2016,3469853463945.5337
Spain,2016,1233554967011.6763
France,2016,2472964344587.1655
United Kingdom,2016,2689106566899.611
Indonesia,2016,931877364037.6975
India,2016,2294796885682.5454
Iran,2016,457954614593.74615
Italy,2016,1877071687633.7788
Japan,2016,5003677627544.24
South Korea,2016,1499679823909.6116
Mexico,2016,1112233497399.1187
Malaysia,2016,301256033870.33356
Netherlands,2016,784060430240.0797
Russia,2016,1276786350881.137
Slovakia,2016,89952699524.894
Sweden,2016,515654671469.54694
Ukraine,2016,93355869403.92232
United States,2016,18695110842000.0
Vietnam,2016,257096001177.98184
South Africa,2016,323585509674.4806
Taiwan,2016,543081000000.0
Austria,2017,417261151844.9772
Belgium,2017,502764720556.3538
Brazil,2017,2063514977334.3206
Canada,2017,1649265644244.095
China (mainland),2017,12310491333980.889
Germany,2017,3690849152517.6533
Spain,2017,1313245330197.6494
France,2017,2595151045197.6514
United Kingdom,2017,2680148052335.299
Indonesia,2017,1015618744159.7339
India,2017,2651474262735.283
Iran,2017,486630147094.4858
Italy,2017,1961796197354.3564
Japan,2017,4930837369151.422
South Korea,2017,1623074183501.9038
Mexico,2017,1190721475958.836
Malaysia,2017,319109094160.3431
Netherlands,2017,833869641687.0603
Russia,2017,1574199360089.0022
Slovakia,2017,95649966260.98016
Sweden,2017,541018749769.0971
Ukraine,2017,112090505081.73862
United States,2017,19477336549000.0
Vietnam,2017,281353605986.90344
South Africa,2017,381448814654.61993
Taiwan,2017,590733000000.0
Austria,2018,454991174096.1016
Belgium,2018,543299066998.90155
Brazil,2018,1916933898038.3572
Canada,2018,1725329192783.024
China (mainland),2018,13894907857925.922
Germany,2018,3974443355019.605
Spain,2018,1421702715218.038
France,2018,2790956878746.6646
United Kingdom,2018,2871340347581.7856
Indonesia,2018,1042271532988.6317
India,2018,2702929641707.377
Iran,2018,329691934144.50366
Italy,2018,2091932426266.979
Japan,2018,5040880939324.859
South Korea,2018,1725373496825.426
Mexico,2018,1256300182983.653
Malaysia,2018,358788845712.5297
Netherlands,2018,914043438179.6072
Russia,2018,1657328773461.3062
Slovakia,2018,106137924015.59286
Sweden,2018,555455371487.0894
Ukraine,2018,130891088293.54999
United States,2018,20533057312000.0
Vietnam,2018,310106478394.6589
South Africa,2018,405260723892.86816
Taiwan,2018,609198000000.0
Austria,2019,444596155845.2542
Belgium,2019,535865804349.80304
Brazil,2019,1873288205186.4495
Canada,2019,1743725183672.5212
China (mainland),2019,14279968506242.775
Germany,2019,3889177589254.8955
Spain,2019,1394320055129.4094
France,2019,2728870246705.878
United Kingdom,2019,2851407164907.808
Indonesia,2019,1119099871350.1992
India,2019,2835606256616.0254
Iran,2019,283649531542.6308
Italy,2019,2011302198827.4478
Japan,2019,5117993853016.508
South Korea,2019,1651422932447.768
Mexico,2019,1305212479961.594
Malaysia,2019,365177721021.5161
Netherlands,2019,910194347568.626
Russia,2019,1693115002708.3157
Slovakia,2019,105711680180.56453
Sweden,2019,533879529188.45374
Ukraine,2019,153883047509.57697
United States,2019,21380976119000.0
Vietnam,2019,334365270496.66705
South Africa,2019,389330032221.0701
Taiwan,2019,611396000000.0
Austria,2020,435049316955.73663
Belgium,2020,526264230147.3945
Brazil,2020,1476107231194.106
Canada,2020,1655684730000.1936
China (mainland),2020,14687744162801.033
Germany,2020,3887727161914.4077
Spain,2020,1278128867875.49
France,2020,2647418691598.4507
United Kingdom,2020,2697806592293.8604
Indonesia,2020,1059054842698.482
India,2020,2671595405986.8584
Iran,2020,239735486745.7037
Italy,2020,1897461635591.9119
Japan,2020,5055587093501.588
South Korea,2020,1644312831906.1692
Mexico,2020,1120741118380.2666
Malaysia,2020,337456163961.2112
Netherlands,2020,909793466661.4811
Russia,2020,1493075894362.1426
Slovakia,2020,106731482855.49602
Sweden,2020,547054174235.87585
Ukraine,2020,156617722013.3422
United States,2020,21060473613000.0
Vietnam,2020,346615738537.7963
South Africa,2020,338291396025.9558
Taiwan,2020,669250000000.0
Austria,2021,479295362747.0466
Belgium,2021,600748812601.5408
Brazil,2021,1649622821885.136
Canada,2021,2007472181464.1519
China (mainland),2021,17820459508852.184
Germany,2021,4278503934689.8535
Spain,2021,1445651653604.628
France,2021,2959355819170.495
United Kingdom,2021,3141506156618.7026
Indonesia,2021,1186505455736.54
India,2021,3150306839142.133
Iran,2021,359096907772.9855
Italy,2021,2155360298998.0273
Japan,2021,5034620784584.983
South Korea,2021,1818432106880.0369
Mexico,2021,1312557512901.2795
Malaysia,2021,373832428055.4486
Netherlands,2021,1029678338329.4408
Russia,2021,1836892075547.524
Slovakia,2021,118576482542.58336
