Export_country,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Russia,South Africa,South Korea,Spain,Sweden,Ukraine,United Kingdom,United States
Austria,0.07782017494946927,-0.48593483014843414,-0.19256789733332436,0.017771412207322507,-0.39918017312661797,0.8631907854191473,0.5606186987359288,0.2802742724224987,0.13920385157177462,0.28213727639888936,0.31066014365473676,0.2704519355028314,0.056316291836867545,-0.4930467273802894,-0.0796338792339124,0.18268086918226342,0.4275283366125746,0.31439915749752007,0.15773666188721613,0.43000586958521453,0.46122940579239446,-0.1620245555698393
Belgium,0.34173817409268664,-0.18237659430702977,-0.24733066545610302,-0.02268964062823614,-0.4012962359567095,0.7905234601211117,0.5784078724805539,0.22459643225859874,0.2242397247583043,0.030640798107298677,0.5303431898422899,0.26640714809149296,0.13732377766336115,-0.27636708507534935,-0.19662218197680048,-0.05666502164387529,0.1673880133333477,0.5106128651817524,0.17784943919371096,0.21444122635137555,0.323602722021008,-0.09027751089819488
Brazil,0.20259397939071314,0.22463370760810394,0.18916655541447258,0.15598984975729824,-0.11264413044016017,-0.3067338810886463,-0.2040743850625258,0.273557726227798,0.2914873100272717,-0.27433285544982566,0.19176545771720255,0.13432521385352225,0.08186487769226021,0.4963167396007307,-0.4215275150904723,-0.024712765201033608,-0.30984992257777316,0.14416935440240677,-0.23950643704438743,-0.3841578733758408,-0.29555500236514615,0.30646398227675586
Canada,0.44501085575258614,-0.07819156116138545,0.5164962031370943,0.5188805273910806,-0.0574967104880511,0.0587638726945197,-0.35954270272316147,0.2651210084901761,0.19297363779269927,-0.47411079191291905,0.5597283485700794,0.27642707023972424,-0.44503558682771927,0.49952781192877527,-0.846432265236359,0.23309825811055365,-0.47635957309799304,0.5308080238421136,-0.569506618101178,-0.4311075235516725,-0.5703494533988108,0.3814408779174694
China (mainland),0.2396801090506998,-0.046100579830730425,0.12512340681691728,0.4607102980292842,-0.4605170135166154,0.03200999879711416,0.3452531876948719,0.4693688339452551,0.047841214475546456,0.5418658543259796,-0.07697698025799637,-0.07179924180449646,-0.2021773014051226,0.25507827518865533,-0.28140517551254096,0.3313409858095923,0.4021150988383425,-0.3037337810853075,-0.014715748576646709,-0.38525980952638417,0.19588527329737998,0.28420422675900897
France,0.07806619536109281,-0.12893606562386498,-0.24545768932062906,-0.06824207769815097,-0.6166443761446854,0.640366918411286,0.692202513927521,0.3044143345793114,0.17415624658265852,0.39297940248949087,0.1325460747114939,0.37906387381513845,0.3583237623644053,-0.32148574171840316,0.15416993511596602,0.07621975033189377,0.4816773423280432,0.1660481771106896,0.346317258817908,0.3696220736909373,0.5780360190784863,0.04154479853556021
Germany,0.3829130056522442,-0.42874283575645983,0.125380991380553,0.3525519581675369,-0.3659980702407556,0.6546370769196472,0.25873463735898855,0.5602961068095881,0.3021625575051236,-0.13983350337317332,0.568885575690332,0.377175876237368,-0.1820645054897304,-0.051536916543085856,-0.6547975174597132,0.23362918297988608,-0.05502491581435425,0.6126416696428979,-0.16770058141171915,-0.09038047530820088,-0.018202289971118307,0.11605337223588433
India,0.18966974546720267,0.033906121241319996,0.18994328898722565,-0.047781019920305874,0.646745398820072,-0.4417332603885734,-0.7021716563102663,-0.552128465436091,-0.28074538117352676,-0.5617664714563149,0.17731469829737884,-0.11388753325185355,-0.3732645388765075,0.24318118091364582,-0.2536941502959553,-0.19216313207921087,-0.6288925684939425,0.08040953834434629,-0.45110254433000335,-0.21921617880137503,-0.7113222505900482,0.059840223378081675
Indonesia,0.05265826722005753,0.20322332272563612,0.3898116738508022,0.10696493324423954,0.48978442187817756,-0.49177370768168865,-0.7286562357067363,-0.010362274119031054,0.08921188237733621,-0.7791681059089896,0.2296660701671247,-0.08760110543537505,-0.26350712285094796,0.46332542395949644,-0.40387450293548727,-0.0848782117702908,-0.8636198152959552,0.3997535386454622,-0.3371193256568114,-0.5056749144873857,-0.8363788357472641,0.008176024876253435
Iran,0.4759468810097782,0.2943956432801913,-0.107518797311563,0.21932030134866257,-0.14195875914649192,-0.040299871765880166,0.25922305859388217,0.12283042499219125,-0.01111623413570868,-0.03104807634646838,0.11653795657878672,-0.21051915940822916,-0.002776761848252233,0.28936432807471,-0.17443949733339315,-0.34032967543080567,-0.19847038063665642,0.15355517140290442,0.27128887524616246,-0.44393990168944775,-0.3036863749469948,0.006424056213385614
