Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Austria,Austria,108.9196,108.9196,153.2575,62.76521
Austria,Belgium,914.4633,914.4633,858.1682,840.9505
Austria,Brazil,10146.47,9534.888,9478.487,9395.406
Austria,Canada,6922.538,6573.097,7070.077,6991.415
Austria,China (mainland),7468.012,7468.012,7929.167,7904.206
Austria,Germany,763.7314,523.9359,592.3266,529.5919
Austria,Spain,1811.999,1811.999,1703.055,1628.711
Austria,France,1035.144,1035.144,975.7691,920.6031
Austria,United Kingdom,1238.199,1238.199,1290.561,1267.391
Austria,Indonesia,10553.88,10553.88,10653.67,10623.51
Austria,India,5571.096,5571.096,6155.084,6118.731
Austria,Iran,3184.971,3184.971,3348.021,3308.603
Austria,Italy,767.4132,767.4132,700.9222,618.7315
Austria,Japan,9141.063,9141.063,9110.66,9106.568
Austria,South Korea,8289.029,8289.029,8469.964,8466.319
Austria,Mexico,10163.51,10163.51,10003.11,9996.638
Austria,Malaysia,9410.919,9410.919,9626.781,9611.155
Austria,Netherlands,934.7828,934.7828,864.5513,853.012
Austria,Russia,1675.699,1675.699,2527.123,2176.779
Austria,Slovakia,59.61723,59.61723,294.7693,174.622
Austria,Sweden,1242.31,1242.31,1228.473,1194.509
Austria,Taiwan,9003.64,9003.64,9127.573,9125.474
Austria,Ukraine,1052.484,1052.484,1338.286,1257.717
Austria,United States,6798.701,7129.667,8124.255,7946.586
Austria,Vietnam,8254.594,8254.594,8966.116,8946.964
Austria,South Africa,9145.618,8314.978,8653.429,8640.589
Belgium,Austria,914.4633,914.4633,858.1682,840.9505
Belgium,Belgium,68.44467,68.44467,66.77504,50.03627
Belgium,Brazil,9665.722,8984.677,9067.367,8977.309
Belgium,Canada,6031.534,5680.899,6267.681,6166.93
Belgium,China (mainland),7970.82,7970.82,8370.61,8346.519
Belgium,Germany,196.8761,653.1423,423.3463,325.7056
Belgium,Spain,1316.64,1316.64,1356.567,1299.581
Belgium,France,262.3845,262.3845,526.3351,378.6807
Belgium,United Kingdom,323.7796,323.7796,448.2817,399.5528
Belgium,Indonesia,11416.28,11416.28,11419.33,11393.79
Belgium,India,6419.599,6419.599,6947.939,6916.634
Belgium,Iran,4088.119,4088.119,4177.173,4148.886
Belgium,Italy,1174.904,1174.904,1087.702,995.9626
Belgium,Japan,9463.263,9463.263,9371.254,9368.437
Belgium,South Korea,8722.114,8722.114,8817.223,8815.202
Belgium,Mexico,9259.353,9259.353,9163.235,9157.327
Belgium,Malaysia,10261.22,10261.22,10376.13,10364.83
Belgium,Netherlands,173.0333,173.0333,160.9283,141.4463
Belgium,Russia,2261.25,2261.25,3010.804,2694.645
Belgium,Slovakia,971.336,971.336,1083.666,1072.437
Belgium,Sweden,1283.716,1283.716,1151.5,1103.572
Belgium,Taiwan,9587.026,9587.026,9629.656,9629.126
Belgium,Ukraine,1837.307,1837.307,2073.167,2029.986
Belgium,United States,5891.711,6222.864,7302.655,7096.715
Belgium,Vietnam,8989.95,8989.95,9644.942,9626.694
Belgium,South Africa,9535.728,8838.753,9169.502,9159.605
Brazil,Austria,10146.47,9534.888,9478.487,9395.406
Brazil,Belgium,9665.722,8984.677,9067.367,8977.309
Brazil,Brazil,1097.356,1097.356,1157.494,144.831
Brazil,Canada,8191.353,7366.274,8458.686,8219.514
Brazil,China (mainland),17614.3,16948.04,17235.78,17182.31
Brazil,Germany,9847.663,9601.955,9395.881,9306.738
Brazil,Spain,8389.78,7743.538,7821.086,7696.928
Brazil,France,9408.406,8732.79,8681.18,8584.978
Brazil,United Kingdom,9501.71,8797.828,8931.505,8837.089
Brazil,Indonesia,15644.48,16326.22,16024.37,15994.88
Brazil,India,14441.49,14251.55,13949.72,13908.2
Brazil,Iran,12210.63,11863.16,11728.98,11672.9
Brazil,Italy,9482.516,8913.18,8940.465,8855.038
Brazil,Japan,18549.61,17693.2,17981.98,17931.71
Brazil,South Korea,18364.51,17565.08,17793.04,17741.18
Brazil,Mexico,7439.636,6841.765,7621.778,7513.794
Brazil,Malaysia,15940.63,16420.49,16193.42,16164.04
Brazil,Netherlands,9810.82,9121.226,9200.433,9111.224
Brazil,Russia,11820.15,11192.67,11942.46,11770.14
Brazil,Slovakia,10191.96,9583.929,9752.413,9672.648
Brazil,Sweden,10936.15,10235.23,10185.49,10099.92
Brazil,Taiwan,18821.26,18523.81,18260.39,18232.16
Brazil,Ukraine,11155.24,10568.55,10689.79,10615.94
Brazil,United States,7694.307,6794.436,8088.514,7887.2
Brazil,Vietnam,17191.68,17207.4,16837.64,16820.94
Brazil,South Africa,6355.119,7900.19,7342.994,7280.527
Canada,Austria,6922.538,6573.097,7070.077,6991.416
Canada,Belgium,6031.534,5680.899,6267.681,6166.93
Canada,Brazil,8191.353,7366.274,8458.686,8219.514
