Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Austria,588513.5007283923,551092.569321278,523914.1128531999,473916.68365513795,558113.221440415,478522.909620438,479722.8821280998,459290.37708261254,524614.5687205987,496616.29173835594,481008.7004064097,434952.169509546,516859.51219868474,495927.580212511,447877.16522496653,465396.14798715076,571079.7904246841,536529.5682553769,475085.7229960971,470355.3427003813,524045.23972910177,483356.1849540702,419802.14460974815,404694.10005998996,471611.1748185066,500705.4289398044,433876.5375940375,423918.97734645865,514086.08423686464,306558.1604542971,390395.45307315415,446189.51003046136,487847.4990546392,443999.7315985529,402233.54180051846,385938.48113411956,454622.5364293004,429233.1632394656,387584.574510269,366904.2169343721,527282.6187810401,453384.05632733373,286987.1975377289,
Belgium,1455997.916946789,1257453.954186563,1234520.3127267878,1233260.8884187608,1367887.1018458374,1308755.5434637587,1195334.5191187935,1157315.2079853327,1387089.2142809893,1422277.432147121,1275818.6744106102,1172788.0034819588,1424258.5868963113,1529507.2024815031,1370191.5540151861,1429539.9763001425,1507153.9586264729,1510034.35235768,1431504.7646631685,1561815.4248132512,1600290.3208897458,1573757.6080583069,1445090.0952618008,1452742.566553461,1597728.8639755026,1498576.7828619883,1302458.3925486023,1221541.2970626024,1411690.8353940814,877407.2543450649,1205255.6886187126,1146725.0733029193,1119690.1370543004,1128474.7126496031,1187651.756601473,1237236.393500902,1311225.5716738428,1196200.846837338,964346.7357178548,989664.1517530334,1196662.91744598,1240713.986156369,1003775.3869144078,1269.225923047654
Brazil,2595776.224431101,1897362.4923288515,1824035.1605704303,2345467.0742234923,1831261.3234425173,1869065.7241778246,2588912.6734793433,2794718.899928422,2710223.0677787634,2634102.712272409,3329132.210531659,2915037.441252684,2268077.3486340684,2536572.7772965683,2805573.7087392053,2861810.350232725,3239787.6701527135,2985657.9415472723,3033473.089053233,3209038.8977432908,2623105.2958707865,2459281.6743918885,2427563.6431715884,2886206.94970153,3083628.684989424,2728772.2045169203,2737132.192573964,2490340.5116442405,3137147.538075407,2592142.9773099474,2801086.4836867773,2386660.1647454463,2003789.1271261545,2261703.471564814,2555955.830183893,2501593.101946215,2539378.2828438515,2280332.3926578984,2118316.713911142,1971133.861554522,2121957.29924169,2559956.740546513,2737644.5126869637,278351.08433052857
Canada,534397.7174466193,522239.8930705256,572635.0770952936,605803.1533618085,648258.9482460284,683513.429224353,624253.2536638947,450574.0961489858,415578.21912239445,400757.28173634165,410254.0253013349,367721.4257496426,395625.04065459233,402108.3031635034,415071.34477761487,381969.64853370393,470400.5351409746,494487.13428240316,464312.46276317094,500896.9940013907,530173.923110825,602102.0437371555,455360.32088769594,444015.27924601344,398816.94141382835,454121.79979546997,593922.0821662614,535558.7861588555,546992.9712916816,367202.1027169681,394767.7418453478,500141.459763604,712977.058771566,881910.2305200226,985583.6637994216,1012290.3763050037,1027880.9592896587,1103809.0265173423,920210.438004506,863113.043939459,795386.7012110222,986987.2196074745,778407.9031552706,824.146770440252
China (mainland),2694116.421770436,2817689.4887087466,3092171.347214344,2749891.4635624117,3408130.5953340824,5006138.571793192,5742332.163841095,6992868.170089326,6637150.796114923,5602690.130712186,8266551.429442105,8139321.404037536,7847847.866209044,7815927.441527303,7642021.3470934685,6890204.8491293555,5824834.046913268,5300408.031494803,5702170.756384147,4079107.348541751,3652316.574586319,5401589.489756495,4200429.04078827,4040963.7502370626,3982738.466616359,4106307.800417826,3651020.93079317,2986598.8580110855,3062814.8436466544,3680185.499385631,2356534.187503017,3186801.2309065047,4998801.216829195,5599073.124214255,4234249.941236363,3288238.0867682826,2792191.182621676,3986268.8159314436,4162124.4555844595,3255337.8426675056,3549948.5519131916,4613082.023425434,4579382.603865064,687431.1776313647
France,1251644.7937031086,1103366.860707516,1238871.7592956782,1128696.2773671092,1320508.8774723513,1285778.9733344219,1445326.1958060765,1334095.1018445187,1352541.9438559767,1343078.4400816753,1233063.4024382385,1147041.4676286415,1302391.2264837504,1268071.974086437,1133583.7177485612,1283982.777829593,1395263.8857198968,1410071.9339762144,1354016.5631568641,1339316.8822048237,1422449.2523554466,1500834.4916614501,1375032.4249177824,1281078.722047084,1330533.1351943435,1471383.2541947367,1347521.547296015,1207071.3387878696,1054429.7054929389,692939.0071136879,879188.5285867926,1109447.0661702561,1407418.2173294732,1273098.4200957078,1212140.7012948506,1186684.9218592444,1091234.246807355,1001662.3122103404,856835.9349413638,863805.1546752958,900464.9425863966,799319.4332640378,803697.9762938067,
Germany,1929873.56178787,2079734.6639734968,1801293.8461066606,1833588.8011766695,1978773.7827172875,2028104.4767660778,1978794.0792622387,1923281.4322202941,2216080.0520037636,2235801.1890922403,2026773.7466720697,1927128.4352194513,2118060.1435255622,2294934.2094421075,2054921.2532275699,2028752.2801444659,2325244.263876966,2272440.7667416628,2108154.190402091,2223659.9330298114,2226710.1451115245,2325178.481625341,2045208.9976026162,2084241.625753452,2187797.1254334645,2216880.994482754,2026857.2009897807,1725889.6814796857,2136039.489072049,1579174.4196355653,1841475.0475743609,2010916.4163931364,2193041.285230415,2134737.0787955294,1902427.4018795327,2003168.840432391,2145727.0287353117,2086448.8799229504,1871511.5235969587,1857770.7736443602,2222990.8295407956,2092526.2539958712,1826591.745112135,
India,1228849.492882102,1219835.1044652788,1428510.540420001,1778294.8815290593,1641504.2170925296,1346253.7679583244,1466014.1379359153,1304576.4056212716,1165783.8843788747,1219409.458702498,1165138.7934913232,690957.0341547739,1026423.373466075,1022067.0044672025,1464253.6333157269,1603795.6339118443,1749442.7510386517,1818299.216965141,1862735.3433887144,2118912.6902453187,1721449.947529071,1507157.436601834,1486412.4046220542,1412798.435380171,1266477.0863882767,1369969.4365603353,1491672.619378706,2054282.8519424684,1679944.457141072,3061614.210106822,3195046.1278638374,2048375.570411334,1933081.2208337006,2727547.656743127,3610487.396522024,2963755.4842702528,2155398.066301282,2297017.4597425275,2142211.03260702,1330326.6646651041,1364784.0907221176,1927572.127728876,1156418.6772922329,17228.6894964909
Indonesia,25262.210081620633,44982.020125365954,14262.889139801378,35565.84439147068,42484.54941094305,144935.97168700557,239750.99899143615,213246.46900784125,324073.60573984124,315137.17590966914,222887.61965444236,196207.746693362,341328.9977155944,479068.63611094246,386723.84938474686,375939.77061012766,379247.05983873125,317206.0140905377,352146.1993162623,418771.1967954338,565079.7887032966,569526.5911135874,681483.913871321,606550.3114341225,779401.9145887612,548242.866276294,684070.9572961025,612636.3212735567,565707.2408387931,1080414.8950016405,995140.2067596423,1087866.683265639,1178913.4802419934,1988029.870019402,1804106.198321936,1273150.9888789011,1111054.3671155632,641275.1233421873,1102000.8557538067,1395507.7945466556,1031078.0570410042,1278927.3108753078,1502613.5478355298,13217.182
Iran,82347.26880140686,181548.72176875328,195283.51399583698,172983.32354176528,276618.4329405212,343325.82984303945,450861.7325421072,281523.4964209479,295340.1066221559,517458.97798687743,511050.54404127493,350465.8616777129,790364.5562907424,968264.3163778775,724280.6802671303,822297.5372161393,813803.4250389424,1583560.2999945832,1625808.2481941204,1129687.7669835922,1684643.2980154087,1260091.3672235645,1280078.1710226287,553240.9177048056,498518.29089951905,398795.5907264058,402776.9848109957,311068.4370798119,473602.2010277093,317828.010975708,559034.1330067894,488243.451132321,1114710.3020467986,671943.0609925461,837911.528145214,311105.80401106173,694279.0179365901,700388.4961542598,622895.2420234203,985452.835015526,890126.3416320973,790891.1567302456,1066777.85464005,290022.0720048714
