Export_country,Import_country,Year,Quarter,Month,Nominal Value (SUM),Tons (SUM),Price,Period
Afghanistan,Austria,2019,2,4,20804.244140625,21.3999996185303,972.160958480138,26
Afghanistan,Canada,2015,4,10,710.679321289063,0.993,715.6891453062065,12
Afghanistan,China (mainland),2013,4,10,2236.0,2.758,810.7324147933285,4
Albania,Austria,2017,2,6,21210.150390625,25.0,848.406015625,18
Albania,Austria,2017,3,24,162155.984375,122.0,3727.888627283105,19
Albania,Austria,2017,4,12,51810.90625,25.0,2072.43625,20
Albania,Austria,2018,1,5,294483.8203125,172.2000007629395,3436.0493043841225,21
Albania,Austria,2018,2,15,222544.33984375,122.5000019073487,5452.0469703863655,22
Albania,Austria,2018,3,24,141367.47265625,97.39999961853029,4365.782272917364,23
Albania,Austria,2018,4,21,119224.0078125,96.9999980926514,2374.1285811750213,24
Albania,Austria,2019,1,6,264474.515625,222.20000267028811,3609.1918350060705,25
Albania,Austria,2019,2,15,188659.935546875,163.60000228881842,3579.410554166812,26
Albania,Austria,2019,3,15,183662.34765625,170.10000038146978,2147.119351585666,27
Albania,Austria,2019,4,33,282371.841796875,273.3000030517575,3037.7595878502057,28
Albania,Austria,2020,1,4,129354.9609375,126.4000015258789,2073.7334193542106,29
Albania,Austria,2020,2,15,145712.142578125,145.1000003814698,3061.6727096051936,30
Albania,Austria,2020,3,7,52893.05078125,47.7999992370605,1106.549197185776,31
Albania,Belgium,2019,3,9,19.8197994232178,0.0120000001043081,1651.649937578111,27
Albania,Canada,2014,2,4,30907.0234375,19.0,1626.6854440789473,6
Albania,Canada,2014,3,15,64342.87109375,65.62899999999999,1963.4057800693668,7
Albania,Canada,2016,4,11,27288.96875,19.958,1367.3198090991082,16
Albania,Canada,2017,3,8,43097.23828125,29.595,1456.2337652052713,19
Albania,Canada,2018,3,7,38056.8046875,24.629,1545.2030000203013,23
Albania,Canada,2019,3,24,177935.97216796875,104.50671304375845,5000.590195515442,27
Albania,Canada,2019,4,11,7642.970703125,19.85,385.0363074622166,28
Albania,Canada,2021,1,3,37959.265625,25.272421201801,1502.003520829848,33
Albania,Canada,2022,1,3,60066.3515625,33.675,1783.70754454343,37
Albania,Canada,2022,2,6,24996.876953125,16.6423557644621,1502.0035208298486,38
Albania,France,2013,1,3,1253.85039138794,1.44999995455146,864.7244349575193,1
Albania,France,2013,4,10,23651.2475585938,21.5429009140781,1097.8673509628368,4
Albania,France,2014,4,22,10336.44970703125,6.691321712611378,2502.312535497255,8
Albania,France,2015,3,7,7253.62106323242,8.75500011444092,828.511818208654,11
Albania,France,2016,1,2,30144.7275390625,24.6720008850098,1221.819327891554,13
Albania,France,2016,2,6,26508.642578125,23.9599990844727,1106.3707675725227,14
Albania,France,2016,4,11,58825.03515625,47.7700004577637,1231.4221183284417,16
Albania,France,2017,2,5,4152.59013748169,2.03999999910593,2035.5834016184533,18
Albania,France,2017,4,22,12183.947998046875,7.836000025272369,2881.1121538621974,20
Albania,France,2019,3,9,22038.515625,20.9799995422363,1050.4535798789093,27
Albania,France,2019,4,23,958.965927124023,1.226999998092651,1466.107045043984,28
Albania,France,2020,1,1,1143.09399414063,1.0,1143.09399414063,29
Albania,France,2020,2,6,150.87060546875,0.234999999403954,642.0025780911194,30
Albania,France,2020,3,7,754.761589050293,0.774000011384487,975.1441575565592,31
Albania,France,2020,4,10,78.8455963134766,0.126000002026558,625.7586908360342,32
Albania,France,2021,3,7,158.401397705078,0.234999999403954,674.0485025823061,35
Albania,France,2021,4,11,63.9295997619629,0.0930000022053718,687.4150349027652,36
Albania,France,2022,2,4,144.760192871094,0.196999996900558,734.8233256275953,38
Albania,France,2022,4,11,68.2863998413086,0.0670000016689301,1019.1999722438072,40
Albania,Germany,2020,1,2,181122.6015625,170.699996948242,1061.0580246080394,29
Albania,Germany,2021,1,5,141000.59765625,73.5,3515.652359999148,33
Albania,Germany,2021,2,9,62688.599609375,47.8000011444092,2622.972801023529,34
