Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,Austria,20804.244140625,21.3999996185303,972.1609584801379
Afghanistan,Canada,710.679321289063,0.993,715.6891453062065
Afghanistan,China (mainland),2236.0,2.758,810.7324147933285
Afghanistan,Guatemala,1744.0,1.347,1294.7290274684485
Afghanistan,Senegal,30812.240234375,44.113,698.4843523309455
Afghanistan,Turkey,17028.0078125,17.28,985.4171187789351
Albania,Austria,2259925.4765625,1809.600009918213,1248.853594261773
Albania,Belgium,19.8197994232178,0.0120000001043081,1651.649937578111
Albania,Canada,512294.34326171875,358.7574900100215,1427.9683561377585
Albania,Chile,43241.2900390625,35.393,1221.7469567163705
Albania,France,199870.5430564881,169.65122270062912,1178.1261571523405
Albania,Germany,384811.798828125,291.9999980926512,1317.8486347319247
Albania,Greece,71971.58670043947,98.23500001430499,732.6470880028397
Albania,Italy,111086.892578125,100.06,1110.2028040987907
Albania,Malaysia,274826.51953125,181.76749999999998,1511.9673183118546
Albania,Mexico,374.0,0.998,374.749498997996
Albania,Montenegro,96632.0512695313,107.4622165148325,899.2188548073883
Albania,Netherlands,54.608001232147174,0.0390000005718319,1400.2051392683386
Albania,New Zealand,13525.125,15.016,900.7142381459777
Albania,Peru,53180.4375,26.83,1982.125885203131
Albania,Serbia,29729.861328125,30.215,983.9437805105081
Albania,Sweden,2.1633999347686803,0.0018873752237599998,1146.247925443669
Albania,Turkey,116980124.06169438,235628.7398222992,496.4594902553722
Albania,United Kingdom,131342.94140625,93.249,1408.518497852524
Albania,United States,46814.0,27.987230238635,1672.6914239400355
Algeria,Austria,17791.763671875,16.7999992370605,1059.0335999912836
Algeria,Bulgaria,29583078.0,50118.59765625,590.2614874203462
Algeria,Canada,11014979.16583252,14260.862000000001,772.3922414951157
Algeria,China (mainland),63020938.0,95360.45999999999,660.8707424439857
Algeria,Colombia,90499537.7695313,137980.584,655.8860322661868
Algeria,Costa Rica,91549.0,167.281,547.2767379439387
Algeria,Denmark,11461099.0,14351.3203125,798.6093788191308
Algeria,Egypt,5163766.65625,14740.0,350.3233823778833
Algeria,France,144.760192871094,0.14300000667572,1012.3089937986197
Algeria,Germany,1134.59997558594,1.0,1134.59997558594
Algeria,India,8137524.0,16474.0,493.9616365181498
Algeria,Italy,150192355.9921875,280088.017,536.2327085638494
Algeria,Morocco,9750331.5,21313.238,457.47771877740956
Algeria,Netherlands,68750.09375,50.439998626709,1363.0074469033675
Algeria,Niger,383.300262451172,0.231,1659.3084954596188
Algeria,Portugal,3357727.625,9343.1396484375,359.3789402004207
Algeria,Sierra Leone,299.3828125,0.199370217693904,1501.6426022047424
Algeria,Spain,14450614.5625,34642.614,417.1340696894293
Algeria,Tunisia,3442332.241210938,7126.03,483.0645171590546
Algeria,Turkey,645550232.4181583,1049053.6783322194,615.3643476513528
Andorra,Austria,37025.9921875,55.5,667.1349943693693
Andorra,France,42514.22296142579,30.15900003910065,1409.6695151134584
Andorra,South Africa,12891.291015625,15.966,807.4214590771014
Andorra,Switzerland,16558.248046875,22.39,739.5376528305047
Andorra,Thailand,115889.25,154.91,748.1069653347105
Angola,Ghana,4472053.4375,13500.136,331.2598804560191
Angola,Netherlands,4053.22973632813,2.0,2026.614868164065
Angola,Portugal,2125.64965820313,0.949999988079071,2237.5259840805456
Angola,Senegal,16305056.5625,37600.575,433.6384899034124
Angola,South Africa,148662.203125,122.871,1209.9047222290044
Angola,Thailand,14965.51171875,50.565,295.9658206021952
Anguilla,Indonesia,200250.0,142.0,1410.2112676056338
Anguilla,Malaysia,54203.986328125,48.294,1122.3751672697438
Anguilla,Russia,5174.2001953125,4.87,1062.464105813655
Anguilla,Sri Lanka,279288.46875,422.818,660.5406315483258
Antigua and Barbuda,Germany,44402.3984375,27.0,1644.533275462963
Antigua and Barbuda,Ghana,13537.6923828125,20.77525,651.6259675725923
Antigua and Barbuda,Italy,50755.83984375,24.0,2114.82666015625
Antigua and Barbuda,South Korea,3309.0,1.47,2251.0204081632655
"Areas, nes., Spec Cat, Islands, Other",Australia,336131026.1977539,395023.9899396655,850.9129439178955
