Import_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,254192047.3125744,470325.68259241513,540.4596362067209
Albania,229555391.30408648,317848.3003276272,722.2168281770536
Algeria,5397484208.1908455,10271313.349408409,525.4911445673811
American Samoa,234471.01676750186,312.76385232673096,749.6742830835836
Andorra,902873.8910160068,769.1949177421866,1173.7907651108867
Angola,542158377.3586394,731220.6703697296,741.442904075053
Anguilla,110007.712890625,88.92,1237.1537662013607
Antigua and Barbuda,608947.6575317383,596.0885855151196,1021.572417806837
"Areas, nes., Spec Cat, Islands, Other",985866459.3763186,1310580.8475621168,752.2362784487373
Argentina,3256578479.949932,4389874.799465026,741.838578254395
Armenia,68836731.29317951,82234.46979226609,837.0788000101317
Aruba,10847910.020806313,21864.591266946143,496.1405355519118
Australia,3205914941.276373,3348214.3156765746,957.4999205594618
Austria,15364702118.217093,15875548.654514426,967.8218027348574
Azerbaijan,570900928.3920808,872909.7168078355,654.0205904452778
Bahamas,32225461.208234787,23706.213299746265,1359.367723590832
Bahrain,331936088.8771949,377288.5099715661,879.7937920299
Bangladesh,7871805148.317461,14877348.846163383,529.113434773526
Barbados,4441735.549862862,3375.9912737803697,1315.6833622052263
Belarus,2940665787.1914744,4836627.769580582,607.9991943325588
Belgium,32479866310.46866,47476506.68932843,684.1250246781393
Belize,14125344.676452398,15944.071181751124,885.9308589025644
Benin,109074877.92538536,148911.5101957348,732.481174772946
Bermuda,2726774.513217926,2600.876012252408,1048.4061909804334
Bhutan,311582164.6920407,836756.6889770551,372.3688962354798
Bolivia,437393834.91830206,593776.8623388357,736.629974424139
"Bonaire, Saint Eustatius and Saba",28158.462982177745,21.73400013333559,1295.5950496654464
Bosnia and Herzegovina,463235293.7219615,452688.9556565203,1023.2970960162837
Botswana,276856785.6686065,257828.7137752777,1073.8012132733734
Brazil,8298699654.963992,9379886.163980313,884.7335148726876
British Indian Ocean Territories,2005.15270996094,2.11999988555908,945.8268010387875
British Virgin Islands,29358891.804201126,61160.02800029393,480.03398239222565
Brunei Darussalam,54872414.891558886,80475.90531574264,681.8489916487437
Bulgaria,4479929075.46669,7319570.734671464,612.0480609943542
Burkina Faso,47141930.896081924,62970.733604678026,748.6323915492673
Burundi,9871593.756625772,10951.84522879947,901.3635191508167
Cambodia,193779104.8677374,193682.77530641734,1000.4973573988067
Cameroon,608497337.549747,998127.6572458601,609.638790321448
Canada,21831402497.170246,21647464.564676967,1008.4969734882218
Cape Verde,4775640.304371835,6011.116316831269,794.4681241652117
"Caribbean, nes.",9726.13989257813,8.043381904126504,1209.2102561471463
Cayman Islands,2704111.4195667505,2187.1212069994435,1236.3793149244693
Central African Republic,3529050.391845703,3840.5690438981364,918.8873709880645
Chad,10250544.43664956,11357.371174373735,902.545516851508
Chile,2971613804.8112082,4093807.7540507927,725.8801544529829
China (mainland),77759127639.26492,106341819.28649531,731.2187073814695
Christmas Island,159.0139007568356,0.1059999987483024,1500.1311569296809
Cocos (Keeling) Islands,82200.0,216.0,380.55555555555554
Colombia,4242388732.0539794,6319811.543365654,671.2840569601336
Comoros,14779013.187129974,15628.573904385865,945.6405477266561
Congo,63955340.059529215,71034.92259958477,900.3365910601142
"Congo, D.R.",278133148.5619334,230631.7661806847,1205.9620110788837
Cook Islands,461933.2526092531,342.92735444239497,1347.0294703097206
Costa Rica,2003072431.4858944,3089604.867456241,648.3264098218102
Croatia,1095766152.4802778,1034216.4471216376,1059.5133693047921
Cuba,208804915.7156551,259538.45293918598,804.524005406557
Curacao,1951968.6710624695,1644.5053100222647,1186.964042722393
Cyprus,84679545.27780391,92053.08559374245,919.8990422930508
Czech Republic,20306733570.28293,23156341.255403917,876.9405039556503
Côte d'Ivoire,451566114.3109978,624750.9503755053,722.7938013372927
Denmark,8606207876.727032,11344935.862668188,758.5946699837012
Djibouti,1488620823.6940598,2119651.5278493683,702.295072626602
Dominica,39357855.4817996,68338.63046691382,575.9239717403282
Dominican Republic,3018979646.347276,5562773.681665012,542.7112119081673
East Timor,30142727.867012024,36141.78713973182,834.0132088785161
Ecuador,1230023489.8344026,1530064.5521845298,803.9030040126428
Egypt,14080380104.058352,29306690.66847737,480.4493370929587
El Salvador,411141195.38439775,677180.4252658391,607.1368575413222
Equatorial Guinea,14575090.100923061,15329.855756107809,950.7649864947992
Eritrea,3724968.728210449,3289.1454273299214,1132.5035060046957
Estonia,914941992.4477267,789305.7195613745,1159.173143906989
Ethiopia,1040985933.1131237,1844080.4421978858,564.5013684285997
Falkland Islands,201830.93530273435,118.66652814135041,1700.8244739605266
Faroe Islands,834481.4323992732,664.8206961067258,1255.197735699418
Fiji,121520092.41421492,187949.3400380517,646.5576968219856
Finland,2992713186.136454,2435357.104482391,1228.8601045933767
France,51544634493.05953,55433892.19215179,929.8397145628736
French Guiana,4205140.326904299,5150.341,816.4780403674822
French Polynesia,2825921.9612007146,2764.0632047821823,1022.3796461352651
Gabon,53481906.854581356,55743.63052155933,959.4263300431566
Gambia,63654004.215958595,71161.00179351162,894.5068592578821
Gaza Strip,8937168.796110153,10322.605666666665,865.7861284936703
Georgia,253825759.6111361,379000.3381795996,669.724361804801
Germany,82866679359.00713,85265665.52379914,971.8645699877588
Ghana,1076692491.513298,1350666.976361037,797.1561534836069
Gibraltar,452195.5724314456,500.3852867880045,903.6947815434565
Greece,3216718773.799535,4063953.6704880493,791.524469670746
Greenland,255266.69606637952,168.0247950105296,1519.2203986940303
Grenada,987771.4324951172,805.9788663254592,1225.555003691932
Guadeloupe,24501.556965827942,27.487012509874603,891.3866851490627
Guam,7163717.712120056,6111.258575575768,1172.2164303030054
Guatemala,2304224319.982747,3765351.059181959,611.9547111985227
Guinea,110522917.09300853,137487.48289032545,803.8762130889638
Guinea-Bissau,23097390.62463379,25700.035182057476,898.7299223916733
Guyana,19691389.144512177,23116.305960558937,851.8397869499411
Haiti,96514662.38114977,131428.48060942724,734.3511994783486
Honduras,488944663.7678186,812975.941322774,601.4257481866786
Hong Kong SAR,3030488230.5162888,3714655.544990573,815.8194464633677
Hungary,8273210338.098976,9148032.60232678,904.3704474768383
Iceland,52301791.97647268,51507.46016863943,1015.421684649807
India,31245526612.397964,36080361.29465354,865.9981633007646
Indonesia,38517934065.54635,59878521.730703816,643.2679523849295
Iran,7489451633.987148,10946534.846878693,684.1846976006932
Iraq,1075278865.044001,1863542.956796622,577.0078232553197
Ireland,791024352.681937,659280.9628284147,1199.8289003952475
Israel,1041271240.0720874,1272033.3521480947,818.5880018897955
Italy,85028215439.92317,115714020.75218743,734.8134209424732
Jamaica,26218108.885053635,25670.739683635675,1021.3226891068858
Japan,29543652475.693275,33028302.14139705,894.4950409262431
Jordan,1477722660.0420623,3037927.2398924106,486.42463869358386
Kazakhstan,2154582137.763572,4198858.125805976,513.1352556357206
Kenya,3245723304.723338,5815868.795397152,558.0805583668081
Kiribati,534873.8726806642,369.38571718268645,1448.0090804813997
Kosovo,26652702.484860428,32767.12733024778,813.3975925395498
Kuwait,1158713837.5539212,2280807.9309966415,508.02780094139695
Kyrgyzstan,117569706.12202543,131332.11721275968,895.2090974941112
Laos,97888012.38431954,101146.1534814829,967.7877903902709
Latvia,1280292192.6334283,1611374.5830164128,794.5341859847294
Lebanon,451793397.1752583,639964.8526743492,705.9659531101728
Lesotho,184684681.0271534,126893.25146034393,1455.4334363862538
Liberia,50030915.23632479,55650.27426320236,899.0236957269901
Libya,666137010.8151251,1264647.314002985,526.737378428934
Liechtenstein,42728671.69281197,50672.96387005173,843.2242448337441
Lithuania,711450926.6729635,652275.575940461,1090.721395856625
Luxembourg,3640285587.2038493,5060465.911756342,719.3577924804973
Macao,10117673.785399437,8637.954487312205,1171.3043638121394
Macedonia,737146907.0683905,1408410.9744165074,523.3890678633658
Madagascar,78037795.88858604,91355.54950241355,854.2206391799367
Malawi,46462176.53373766,45640.35430788832,1018.0064821650014
Malaysia,16986894723.92083,19522853.46143032,870.1030695886966
Maldives,18105981.28325224,16359.115770571907,1106.782391981279
Mali,90226713.7626734,126024.29453802633,715.9469854080282
Malta,28968746.480113037,21900.144991540787,1322.7650543547811
Marshall Islands,497113.3796110153,390.49915734265454,1273.0203644839344
Martinique,289401.1396484375,372.3993965820308,777.1256943610252
