Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891,254192047.3125744,470325.68259241513,540.4596362067209
Albania,121209827.51995659,238976.01437716436,507.2049922493767,229555391.30408648,317848.3003276272,722.2168281770536
Algeria,1045804569.8313358,1745088.635317495,599.2844997475248,5397484208.1908455,10271313.349408409,525.4911445673811
Andorra,224879.00421142578,278.9250000391006,806.234665877571,902873.8910160068,769.1949177421866,1173.7907651108867
Angola,20946916.59423828,51277.096999988076,408.5043385791351,542158377.3586394,731220.6703697296,741.442904075053
Anguilla,538916.6552734375,617.982,872.058822544083,110007.712890625,88.92,1237.1537662013607
Antigua and Barbuda,112004.9306640625,73.24525,1529.1767133576923,608947.6575317383,596.0885855151196,1021.572417806837
"Areas, nes., Spec Cat, Islands, Other",2087718730.9233432,1806780.4132266939,1155.491124234033,985866459.3763186,1310580.8475621168,752.2362784487373
Argentina,618486289.9763125,879185.3786380867,703.4765420398444,3256578479.949932,4389874.799465026,741.838578254395
Armenia,25481098.92582512,47946.7225764928,531.4461042707001,68836731.29317951,82234.46979226609,837.0788000101317
Australia,3487405983.7325444,3827247.407799567,911.2047412000442,3205914941.276373,3348214.3156765746,957.4999205594618
Austria,20371381847.321857,19974645.43039817,1019.8620004698516,15364702118.217093,15875548.654514426,967.8218027348574
Azerbaijan,292052118.3742292,557418.0458689388,523.9373223358059,570900928.3920808,872909.7168078355,654.0205904452778
Bahamas,123695.77719116211,145.78638281846048,848.4727777709763,32225461.208234787,23706.213299746265,1359.367723590832
Bahrain,733105413.2338214,1507585.1452940602,486.2779495554305,331936088.8771949,377288.5099715661,879.7937920299
Bangladesh,116257930.89099407,167859.0802048688,692.5924456937539,7871805148.317461,14877348.846163383,529.113434773526
Barbados,33062.818359375,24.006,1377.2731133622844,4441735.549862862,3375.9912737803697,1315.6833622052263
Belarus,1436250733.3719373,3142174.988656146,457.0880802492152,2940665787.1914744,4836627.769580582,607.9991943325588
Belgium,56017531908.5475,56142681.19026796,997.7708709476071,32479866310.46866,47476506.68932843,684.1250246781393
Belize,10488191.341369629,18360.110618649825,571.2488099454008,14125344.676452398,15944.071181751124,885.9308589025644
Benin,7.2695000171661395,0.005,1453.9000034332278,109074877.92538536,148911.5101957348,732.481174772946
Bhutan,1644688894.7047377,1461942.8129919544,1125.0022094494807,311582164.6920407,836756.6889770551,372.3688962354798
Bolivia,37112.59996414185,21.80491333305835,1702.029235212578,437393834.91830206,593776.8623388357,736.629974424139
Bosnia and Herzegovina,291583968.40153146,611143.3400036702,477.11224080390105,463235293.7219615,452688.9556565203,1023.2970960162837
