Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891,254192047.3125744,470325.68259241513,540.4596362067209,5.626620702123012e-08,4.987290857071331e-08,0.0001952619590491996,0.0002672026453997421
Albania,121209827.51995659,238976.01437716436,507.2049922493767,229555391.30408648,317848.3003276272,722.2168281770536,9.299790411519129e-05,0.0001356046576709203,0.00017633689130023463,0.0001805767999213304
Algeria,1045804569.8313358,1745088.635317495,599.2844997475248,5397484208.1908455,10271313.349408409,525.4911445673811,0.0008023906567509178,0.0009902338844105143,0.0041461696051115085,0.005835365152853067
Andorra,224879.00421142578,278.9250000391006,806.234665877571,902873.8910160068,769.1949177421866,1173.7907651108867,1.7253779251299245e-07,1.5827332816116268e-07,6.935579873487174e-07,4.3699700963781434e-07
Angola,20946916.59423828,51277.096999988076,408.5043385791351,542158377.3586394,731220.6703697296,741.442904075053,1.607146368242418e-05,2.9096699110847664e-05,0.0004164682097540442,0.0004154229818299858
Anguilla,538916.6552734375,617.982,872.058822544083,110007.712890625,88.92,1237.1537662013607,4.1348230963324356e-07,3.50667985551601e-07,8.450430198994954e-08,5.051746079011215e-08
Antigua and Barbuda,112004.9306640625,73.24525,1529.1767133576923,608947.6575317383,596.0885855151196,1021.572417806837,8.593547252272226e-08,4.156231778388918e-08,4.6777353510928014e-07,3.3865139165759635e-07
"Areas, nes., Spec Cat, Islands, Other",2087718730.9233432,1806780.4132266939,1155.491124234033,985866459.3763186,1310580.8475621168,752.2362784487373,0.0016017964081825916,0.0010252402947663426,0.0007573101450416439,0.000744570586808268
Argentina,618486289.9763125,879185.3786380867,703.4765420398444,3256578479.949932,4389874.799465026,741.838578254395,0.00047453189125533135,0.0004988853488506776,0.00250159633440677,0.002493987045158298
Armenia,25481098.92582512,47946.7225764928,531.4461042707001,68836731.29317951,82234.46979226609,837.0788000101317,1.9550302505491404e-05,2.7206909941875653e-05,5.2878109873835796e-05,4.671926004640648e-05
Australia,3487405983.7325444,3827247.407799567,911.2047412000442,3205914941.276373,3348214.3156765746,957.4999205594618,0.0026757025723224102,0.002171734999887798,0.002462678272577718,0.0019021961921849252
Austria,20371381847.321857,19974645.43039817,1019.8620004698516,15364702118.217093,15875548.654514426,967.8218027348574,0.015629886243500077,0.011334421836210792,0.011802658137928477,0.009019257834862238
Azerbaijan,292052118.3742292,557418.0458689388,523.9373223358059,570900928.3920808,872909.7168078355,654.0205904452778,0.00022407617811957752,0.0003163015480304777,0.00043854729083544407,0.0004959197300061598
Bahamas,123695.77719116211,145.78638281846048,848.4727777709763,32225461.208234787,23706.213299746265,1359.367723590832,9.490524210822571e-08,8.272509099586084e-08,2.4754537969656765e-05,1.3468035322221853e-05
Bahrain,733105413.2338214,1507585.1452940602,486.2779495554305,331936088.8771949,377288.5099715661,879.7937920299,0.0005624730957976288,0.0008554647966247978,0.0002549823713154541,0.00021434612583275334
Bangladesh,116257930.89099407,167859.0802048688,692.5924456937539,7871805148.317461,14877348.846163383,529.113434773526,8.91985751555591e-05,9.52500323827975e-05,0.006046861460712611,0.00845215797342419
Barbados,33062.818359375,24.006,1377.2731133622844,4441735.549862862,3375.9912737803697,1315.6833622052263,2.536735572086262e-08,1.3621975496295577e-08,3.411994962919489e-06,1.9179769095924492e-06
