Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Afghanistan,1.024729765696859e-06,,,7.862966132524241e-08,,,,,,,,3.200115797273269e-08,,,,,,,,,,,,,,6.994870177717323e-07,,,,8.350169665627439e-07,,,,,,,,,,,,,,
Albania,0.00023149800875643943,0.00027297115717992457,0.00023904849202634722,0.00019812116708134165,2.3796795290587833e-06,0.0005727173631833702,0.0005358392505603095,0.0005505208681283784,0.00030883096724372,0.00028027992600549963,0.0001500113397184059,1.481545062548437e-06,4.0084262473061885e-06,5.824207065627483e-05,5.248663725263042e-06,5.9377085287326305e-06,3.2896023424479566e-08,1.0442156286333223e-06,6.891414857284513e-06,2.1435558574532007e-06,8.796817023064968e-06,6.3702897399716365e-06,5.570054210115758e-06,4.625901768993764e-06,1.0364896585920247e-05,8.453214866465383e-06,1.7607611850348692e-05,1.4387108467666003e-05,1.32801806973339e-05,7.189527052119535e-06,2.5160363416075396e-06,4.7398904797309635e-05,0.00016839389415640538,0.00017138857784443503,6.825555631538981e-05,4.144982041850875e-06,3.428388897065694e-06,2.4223884145437964e-06,1.819170429947639e-06,3.6958326861100686e-06,3.9922291395894567e-07,3.036755213809053e-07,2.2403237913819578e-07,
Algeria,0.00019090615613194688,0.00017795600058572957,0.00018233049259348575,6.628444048114466e-05,0.00014592410580073416,0.00011747034143885282,5.409514913896357e-05,,9.979643612189004e-05,5.0857380444540554e-05,5.460220322149229e-05,,,7.23567789073562e-08,,,1.3748717026449737e-08,,0.00017190701884012405,0.00011240197628890604,0.00011757751976747818,7.095568985098007e-05,0.0002807914069686655,0.000397683631280127,,0.00024270126181679763,,,9.377433601465997e-05,1.6495626655386391e-09,2.143907657917355e-05,0.00018907930017542112,0.00015519201266481152,0.0015673132208502308,0.0035290110150129925,0.002830622458249211,0.0014709055858857932,0.0024439918337214833,0.0004878021381079912,0.0015989939294649986,0.0055888626484164525,0.0037799442547800815,0.0023382718101137337,
Andorra,,2.9598451417315107e-08,1.5611663572234045e-07,,1.0430345534890289e-07,1.1409243101539728e-06,1.1023856059318322e-06,,,,,,5.572613087477494e-06,7.212897457002344e-07,,,,,,,,3.6077372432519625e-07,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,8.194168090701263e-08,,,,,,,,,,,2.228791275820655e-05,,2.042318489472622e-05,,,4.998368622113169e-06,,,3.4252150066935403e-05,4.5372880120962694e-05,7.307637959158099e-05,3.248084455242157e-05,,,,9.596366447281671e-05,0.00011287193922705535,5.5385690113102446e-05,,,1.2831536173189733e-07,4.1714620442968955e-05,8.407842755307457e-05,
Anguilla,,,1.889165431064207e-07,,,,,,,1.0856554984937111e-06,,,1.2521986551034866e-06,,,1.1602279018270465e-05,,,,4.229306121514956e-06,,,1.065509283217283e-06,1.0666044389819514e-06,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,1.7848454817496902e-06,,4.1715242267434627e-07,,,,,,,,,,,,,,1.0558427984317136e-07,1.3207042132707584e-06,,,,,,,,,,,,,,,,,,,,,,,
"Areas, nes., Spec Cat, Islands, Other",0.004859224632428143,0.003928800782540594,0.003523771217861028,0.0030531405454310824,0.004050445365685931,0.002908619377700976,0.00368902003101795,0.003204321744617222,0.0028863542746332673,0.0030446775265039073,0.003301448054562711,0.003140543163333678,0.0023727638407292787,0.0018821358883474842,0.001540418214924209,0.0013788579574892203,0.002445102093907092,0.0022804915534772366,0.0020682184275288527,0.0024737149040222825,0.0005337343796191668,0.0005574844532389494,0.0005593916831648275,0.00043352243017335526,0.002179143727339013,0.002126855982411429,0.001596472561083176,0.001523981949572332,0.0003554320731650501,0.00037443184254553876,0.0002876416096385617,0.00043320041715391906,0.0003839222051796453,0.000399657097531511,0.00030955766080794576,0.0004539561502056338,0.0002506170396418565,0.00020337162470482966,0.00010983585456199111,0.0004248227828948686,0.0006028055857022704,0.00048731342943201237,0.0004426870095124055,1.4615445976559098e-05
Argentina,0.0008176710641197878,0.001109203016745975,0.0007263160992014662,0.0005227612401223667,0.0004986157175600021,0.0008110456453298763,0.00127657313802423,0.0018056642452208968,0.000781265950724115,0.0007793112330647674,0.0006304906738493288,0.0019516367617130937,0.0002381638917576422,0.00033627842811174426,0.0011689867824863762,0.0007564252068496053,0.00028394093130219584,0.00040804187086487006,0.0006422264746560651,0.0007556127758859939,0.00023014147276318939,0.00012904346250703136,0.00019482147708312593,0.00016185507108866675,0.0002375202096086025,0.00020351407056009958,0.0002235565370880824,9.213341010131399e-05,0.0001427734662443902,9.784198685372103e-05,9.677612606619761e-05,5.726396776367563e-05,0.00034267407050489777,0.00011625878110310475,0.0003628359903584104,0.0001243521888825179,0.00015241208050002629,0.00021229322341543097,0.0001782028481885385,5.547909141828003e-05,0.00011683684006749315,0.0006700060772619755,0.000890401378030844,
Armenia,,,,5.1295654354111163e-08,,,3.5905776314158963e-07,1.3799805135791755e-07,5.542627311501631e-07,2.672589091894679e-06,3.4519193378938024e-07,1.6670799973789455e-06,1.1691976104894895e-06,6.3466789606047515e-06,,,,,,2.7887779448177703e-09,,,,1.340968540123071e-06,,1.9322295956330053e-06,8.240364731195214e-07,,3.011422282405273e-06,1.6697441049154687e-06,3.356151549304075e-05,6.208032138364249e-05,0.0001098319891199486,9.368139185494114e-05,2.4023162900385086e-05,7.838075003209435e-07,1.7574122693009908e-05,0.00015837528908014384,7.815068321690361e-05,3.326455662227462e-05,2.7064265301696763e-05,2.310741043788745e-05,1.6672697257374612e-05,0.000515828366776417
Australia,0.0010405475328861236,0.001067962645886363,0.0014660597010534117,0.0013628303268695238,0.001408554270838895,0.0014827923802048797,0.0013891557038421922,0.00103250097305408,0.001121798948068105,0.001333346688244614,0.0017694368612620002,0.0016866157091597405,0.0014800081673995017,0.0010877142304900422,0.002787229451980803,0.00259489189373226,0.0028354437367390044,0.0027874536649625924,0.0039223806846245554,0.0031896712112122927,0.0034704280130619836,0.0025566616454922803,0.004151707215815811,0.003348529633120337,0.0036602586463535653,0.004896642153140029,0.003023079720162762,0.001929843991155153,0.0026664763124178226,0.004217954896203465,0.0025812065904652743,0.00263843070888949,0.00251486248868284,0.0031572651120771156,0.0022419736814036093,0.003918156238298841,0.003557386450570731,0.004061667175758096,0.00458196412707881,0.004966931102662502,0.0030355089778313386,0.002467953982901075,0.0016604566873711863,
Austria,0.019655735612565072,0.019097366199324443,0.01955866010024478,0.017557087826578607,0.01902358179670962,0.016120711848989517,0.015554980991922086,0.015511570147637106,0.015462477741017335,0.016985408133310835,0.01612612289259363,0.016047861664082452,0.020291588459890302,0.01723225033713575,0.01497412423697745,0.015526004548377914,0.017001948029767653,0.01623280491543604,0.015806720747518894,0.015356516592463497,0.016201068289758532,0.014305768225653893,0.013428906073630894,0.013730993656835331,0.015978419304716367,0.015855562568929806,0.014560701990270044,0.015345298355604189,0.017079378852925597,0.012473949819014807,0.014925642140688082,0.015375808568435212,0.014713507369856887,0.012174366028836455,0.010581904654236375,0.012532484455712868,0.01653076300393531,0.015861342531441756,0.015038549735282696,0.01516089924588257,0.020021636647959057,0.016356357223798055,0.012756979185511809,
Azerbaijan,3.8944403607409245e-05,,1.2309897293107834e-05,2.0732633531762913e-06,1.4993348020428216e-05,,1.1757089297772851e-07,2.2799296056621262e-05,5.334915083150827e-06,2.900207343201609e-06,4.755419270426487e-05,0.00013916874450201172,0.00028696965967868926,0.00044268268781950455,0.00027728586500175116,0.0003277830046346854,0.0001895343173490201,0.0003905845106106663,0.0005201290501855302,7.903188537265911e-05,3.196735804960606e-05,5.353759410070512e-05,0.00011239779467279307,0.00020651666339012792,0.00013775444276866862,0.00037190611914174944,0.0001771881689197978,7.090136637920508e-05,4.695905036139652e-05,0.00013036328359773816,0.00023256134910283954,0.0001975974081285819,0.00044228712896203867,0.0003441077588536596,0.00025540896612362803,0.000255820261578125,0.0004474305479606954,0.000620941469256763,0.00031644857220305625,0.0003327774298047181,0.0005628513391047358,0.0007579830448355789,0.00030066270087196153,0.00023415969899333192
Bahamas,,,,,,3.0584339369964454e-06,,,,,1.826599643688756e-08,,,,,,7.588511824946215e-07,,,,,,1.5895454923438383e-08,,,7.797235889425124e-08,,,,,,,,,,,,,,,,,,
Bahrain,7.799763772502771e-05,5.895929457250605e-05,0.0004769115555294719,0.00010252980972734199,0.0005420289733058322,0.0011133322202998243,0.001570313052834898,0.001589866498655322,0.0005807813443625653,9.638212792206109e-05,9.819662258602929e-05,9.815082976201051e-05,8.683326824410325e-05,8.289819847320414e-05,1.328466037892147e-05,3.0714382730115745e-05,2.3476133578075013e-05,6.9907830710551174e-06,0.002163077184317817,0.0009317107831282002,0.0010417082808089101,3.7995330779093316e-05,0.0014704070980708624,0.0007381961548458014,0.00022155635507351782,0.00011393099928499559,0.0010770712250641934,0.000749540269498758,8.609586957544642e-05,2.162926212559054e-05,,0.0006032912515018741,0.00045391201292672626,0.0006003048813916591,0.0009625315106337431,0.000830735660728464,0.0008073643527042669,0.000738237303913476,0.0005801994995737866,0.00016179609589634327,0.0007492014540723532,0.00011503784885064996,0.0006902468753565443,
Bangladesh,5.875093411033733e-05,0.0001552499081078204,0.0003070636040463266,0.00014356591024803728,0.00012147874565159527,0.00010785467383210056,0.00014708427475070745,6.034059500728171e-06,5.5145647601936515e-05,2.3270846154803077e-05,2.926963430131475e-05,3.2668243477310908e-06,1.6604953978937308e-05,7.196475180913372e-06,3.866125164983022e-06,2.630085999139964e-07,5.741545211174017e-07,,9.734433728490022e-06,1.1949656024941078e-05,,1.7451228973126297e-05,7.215717841954948e-07,1.9296707627837938e-05,2.9887991931363915e-05,4.141261532818946e-07,8.016863402046975e-06,2.3115918735571286e-08,1.4555762068136543e-09,1.9889189263769196e-05,3.0925281435176534e-05,0.0004650364132536311,0.00032580066826784254,0.0007977841647254702,1.271955303913436e-08,0.0004791264170530896,8.778819822801807e-10,2.2792352418007773e-06,4.5994254606182426e-06,,,1.622828448207109e-07,9.549966916471337e-07,
Barbados,9.151785657885183e-08,,,,,9.34007563928352e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,0.0024282276578163294,0.0017772393690010215,0.0015131725587782248,0.0013252477991508686,0.0010907837271386237,0.002170414472635685,0.002544800714778232,0.0026302425573045403,0.0033764730831996746,0.0020308852305963485,0.0015241536680840463,0.0012050643408435568,8.063880688766901e-05,0.0003215037735397688,0.00045851168131320506,0.000705518302118808,0.000377898259367803,0.0008228788057406213,0.0011318263783637239,0.0014802855984354414,0.0009680889453363023,0.0011373408510725528,0.0008746347612534009,0.0009722569410250844,0.0010319761019507176,0.0017328317099375417,0.0016006010376514916,0.0006257595628041229,0.0009726159710233114,0.0007941119980691521,0.0011096889952065551,0.0010967984135342166,0.0009781378858757005,0.0008262035064805743,0.0011151695411279693,0.00032630432241251723,0.0011821773105341322,8.347420959083135e-05,2.64139682198886e-06,4.109230184472916e-09,0.0005303442318518807,0.0007119586836715351,0.00020883026811870927,
Belgium,0.05273313958970273,0.04605185012126981,0.045967368464613335,0.04494603843838046,0.04688250915354638,0.0419078535325694,0.039814422637813214,0.03707105509176013,0.04060801228935587,0.046105506142145466,0.04158792243533657,0.04223979554268761,0.048594875218520885,0.046002718702520366,0.04076937499425968,0.04374137281191339,0.04421237570209859,0.045160691034839155,0.042892889873507346,0.04588811915988653,0.04822888779030837,0.04446442903272948,0.043349111621739767,0.044537865259697614,0.04814001003932307,0.04494817326135126,0.040514824874545885,0.041428192156229886,0.044041683643961965,0.03347536467506168,0.04421755285481128,0.03949674520161284,0.036583123173639966,0.0327931475540399,0.03171504418967746,0.03937739853589599,0.049634328237685404,0.04764997670931344,0.04004729917931849,0.044623989054619645,0.04788860291496889,0.04540456722161706,0.042024168553108594,0.001396422234514236
Belize,,,,8.337086440635506e-06,,,,,0.0003123154758145088,,,2.9649864647696697e-08,2.4116308346389815e-06,,,,,,,,,,,,2.5501560489868502e-05,,,,3.833390041744892e-07,,1.0615566651895808e-06,1.5955367886731445e-06,2.9582079837786346e-07,9.200709456290219e-07,2.0415409489350256e-07,,8.60216371170384e-08,,,5.8708135916607285e-06,4.601875916303443e-06,3.41260389681958e-06,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24800389154342e-11,,,1.43533835174531e-10,,,,,
Bhutan,0.0008898737478026607,0.0010671226437827842,0.0008373731544216697,0.0010812444455213907,0.0006697242239582762,0.0009246457553086647,0.0009833115615713488,0.001044977274898839,0.0008546837288149015,0.0009697189394961489,0.0011762760573748865,0.0006436292314921367,0.0009627693750136937,0.0009602837442699186,0.0008747105994126151,0.0009041731347070576,0.0008294715288278947,0.0010570904731883508,0.0009887863891230586,0.0015057003291479203,0.0013338486683396298,0.0016105733493506265,0.001430419080684776,0.0013430015632157478,0.00150903921536022,0.0012212006994585408,0.0012901312556891458,0.001879231352816587,0.0018914190417691156,0.0006873771597338367,0.0012783027590621394,0.0014700980492369788,0.0012765916279013734,0.0015302701727560358,0.0013172136249545816,0.001470032323994947,0.0016404095569100313,0.0013908931627082811,0.0019208381712705047,0.0014702076208662554,0.001647472427349599,0.001636787674205478,0.0016273390568014522,0.0005040033089107611
Bolivia,,,,,,,,,1.261981502300177e-06,,,,,,7.2958386033714205e-09,,,,,,,,,,,,,,,,5.251436486423877e-08,,,,,,,,,,,,,
Bosnia and Herzegovina,0.0005404066504830631,0.0003928397423204265,0.00043544104939159813,0.0001751920169846299,0.0007858058967337934,0.0007272387461811454,0.00046190223788702576,0.00027907639458296316,0.0008496308713716309,0.0007887149207797875,0.0003749661735678133,9.302023936030347e-05,0.0005343076499422461,0.0002631348282595985,0.00017551416167659083,0.00017564234776660915,0.00013951359543255612,0.00019423167351722778,3.488424792835544e-05,5.486365349000557e-05,5.083158399893302e-05,0.00010003600912374374,0.00032221936525764775,0.0005642551369111981,0.00015546116423894232,0.00010644018280200197,0.0001868472226558696,4.73975306855304e-05,3.736064608466464e-05,1.7389650442448613e-05,2.2487163271373364e-05,3.0016459776413453e-05,0.0002822312917068045,4.662704750772448e-05,3.991563297100214e-05,0.00013754469816063442,0.00013156144908315782,5.537185334942748e-05,4.0541932568573325e-05,4.221954991647121e-05,4.468901260981646e-05,3.445782993541107e-05,1.678784361524774e-05,
Botswana,1.4083830660062906e-07,1.7907010319081294e-07,3.9191919259820057e-07,,1.6630059508131326e-06,4.264721216229931e-08,3.515081729193798e-08,2.3653779445566184e-08,1.0142550209096262e-06,4.385262882341589e-06,4.030523055284418e-06,2.717910693660891e-06,3.790705509597614e-05,3.928892624502626e-05,7.89125901887682e-06,1.3038475634639448e-05,5.071846143123071e-06,8.082269072141572e-06,2.868780435657437e-06,7.892261072330021e-06,1.7673258698537939e-06,1.0196553627994765e-06,6.8547959368729145e-09,1.3779683164952384e-07,,3.6092485929646193e-09,,2.7367481037891063e-08,9.609168397294044e-07,,1.133106775402677e-06,5.403436317765866e-06,,8.834292200382085e-07,3.90215264903492e-07,7.496861694422885e-08,7.04777141043698e-08,2.5652698983154895e-08,4.1387519025336896e-07,7.485573365897385e-07,,9.257168188316687e-08,,
