Import_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Afghanistan,3.344212559990507e-05,9.160392988191235e-06,1.5284320299833865e-05,4.3788562840197295e-05,3.1554833414397895e-05,6.299243022198447e-05,4.387651753821936e-05,8.280669721334464e-05,0.00010518782574908736,0.00010836600999364952,0.000170666525061232,0.00023393194446690369,0.0001492014539424979,0.000249501463855636,0.00022946561442684777,0.00037363372028792653,0.0003194255501774582,0.0002711912710036323,0.00021345194296158664,0.0004761083039840988,0.0003047127554968955,0.00013961731697475683,0.00016516622460892796,0.0004453778690818077,0.00010498396966489465,6.49688598143661e-05,2.7494083483230726e-05,3.38975706086467e-05,7.551797310114718e-05,0.0001910876892029899,0.0003069986617084185,0.00019273620095132846,4.2444148843159744e-05,0.00012639714004628795,2.5549248619662572e-05,0.00013053205079060137,9.069536451885822e-05,0.00023854775316443946,0.00028070225893831396,0.0004140117207358974,0.00024021769093941604,0.00038669221869218036,0.001004733856247202,0.0052614180292284264
Albania,8.19605350107272e-05,0.00010225507699596809,7.647789333448639e-05,0.0001043279763651495,0.00018466583354982257,7.538345790900542e-05,0.00012348206955230758,4.705613994169938e-05,0.00016302996627814292,4.174883461287601e-05,8.267763733001292e-05,4.509650816971506e-05,0.0003424552542276532,6.311798399252159e-05,6.209676360390456e-05,8.141438544943256e-05,5.773396404797642e-05,0.0001242063404740786,9.9112360862334e-05,0.00012632057633391397,6.294137002176973e-05,0.00010699791207418363,0.00012486348923082118,0.00017593699137722184,6.295198382906454e-05,0.00019946087381678623,0.0001501262663030023,0.00015560773289929381,0.00015425736020552677,0.00016196057986044967,0.00015915953244020732,0.0002073450617649058,0.0001186355379666173,9.84278503315257e-05,0.00024417594980881066,0.00022975601080248444,0.00018225467807765112,0.0007115073909440922,0.00019680562898373783,0.0002141970510216641,0.0005104111097806536,0.00013676803906749864,0.00034798236329693674,0.00819167329928593
Algeria,0.002589425007540345,0.0014242009490202385,0.002058362414598616,0.0017927279901173774,0.0036568182533308286,0.0028571341036607387,0.003164380362796791,0.004406358165920674,0.004671594319182106,0.004281358209388811,0.00433445772437445,0.0041555869357732915,0.003202404346988943,0.002515660365593809,0.0035858654677987213,0.00459688557231737,0.005971336997724427,0.00707964719620517,0.008013289756621439,0.014187307325258941,0.005883631460815566,0.00826264549897128,0.0032359036255316578,0.008122541487533023,0.007386145052582843,0.009035227114774821,0.0029355442604144756,0.004282997508706443,0.005094105245998977,0.00417823572483863,0.002279698590767713,0.0032322381049944998,0.003824094846366143,0.0028334840323306024,0.0015159194573854426,0.0014919766781892692,0.0019240333781908377,0.0028388959109932285,0.0030681413047810623,0.0026291909451635646,0.0027607812991607052,0.001931297973265709,0.0031461746998663223,0.005772299101719043
American Samoa,,8.507473814536315e-07,7.750032676137127e-08,1.863023934897596e-07,,,,6.854334265248701e-07,,5.942345048236302e-07,,5.180000699873325e-07,3.1895229807111716e-07,9.722826967572289e-08,6.287497423451834e-07,,3.5071485097818865e-07,,1.7016849948235776e-08,,,2.1564831283724664e-09,,,3.362164153123657e-06,,,,,,1.441461867746964e-07,,,,5.192556916462043e-09,6.522466608326908e-08,,,,1.0068260679127079e-07,,,2.0879414921323236e-07,1.2044492603979507e-06
Andorra,,,7.684998785822528e-08,9.044514103531583e-08,,3.69318366788146e-08,1.7912987798544093e-07,2.417156337624068e-07,1.0435345662174758e-07,4.423610935169358e-07,7.500946181684187e-08,1.9619682975081848e-07,8.111839584019141e-07,3.222605755551922e-07,9.478804691689111e-07,3.3348270644026635e-06,3.570487686959414e-07,5.121405875656801e-07,4.955508122016527e-07,5.033257595733008e-07,4.036429740303806e-07,3.9062089708764145e-07,1.3787898454326494e-07,3.5207200119934503e-07,2.352334289247512e-06,8.104123807439321e-07,1.4709914229303717e-06,1.059418261623281e-06,1.338367878618713e-06,9.03400291790385e-07,8.579208313339379e-07,1.3024607303932224e-06,1.1313353417768252e-06,8.593954570846862e-07,4.0441930483583637e-07,1.2126930138823695e-07,6.836551832277039e-07,1.1261710629789206e-06,2.350557055059571e-06,1.9822630991189596e-06,1.045279337065613e-06,,7.143073424423184e-07,
Angola,0.0004729952970942508,0.0008404632744955697,0.00048126748515392405,0.0006055483611752849,0.0006188126336112955,0.00037514057311356587,0.00038298630055194546,0.0006043495451641275,0.00046752165980477065,0.0006138249563556713,0.0002658879739912627,0.0003841575822269748,0.0001939743033584111,0.0002334953336717685,0.0002445638599758524,0.00024337726715835238,0.0003672903375336137,0.0003691577801909474,0.00016218768000229926,0.00040616978740796203,0.00014810992304275212,0.0004356827752262593,0.0002146402651554288,0.0004380952181082906,0.00029116070535622,0.0003137816708675245,0.00048338687408759986,0.000357899838089332,0.0003348032633434604,0.0006955333231635081,0.000739090867503511,0.0006152013374818884,0.0005511078482356867,0.00020753419129949623,0.000294879011911324,0.0004189424001255682,0.00018691699697196147,0.0005835566311681974,0.0005822247515263544,0.0007159505810659435,0.0003782359536526869,0.0004139269740234167,0.0003462917572825341,0.00014807698372900285
Anguilla,,,,,,2.881122603256274e-07,1.9137764771122985e-07,,,7.711728601271412e-07,2.5447437780978496e-07,,,,1.558766039231899e-07,,,1.4913947601787287e-07,,9.157657393469382e-08,3.860531184359825e-07,4.522513205255195e-07,,2.2991037320414206e-07,,1.5686537513985626e-07,,,,,1.891647920647034e-07,,,,,,,,,2.0753387459025507e-07,,1.664601704909588e-07,,
Antigua and Barbuda,4.539611918953304e-08,,4.117885391643165e-06,,,5.03732498055048e-07,1.347639096079752e-07,,3.610398547302195e-07,1.3465167710192972e-07,8.594062492741438e-07,7.801269085358516e-07,,8.165027456486719e-07,,2.758407213377509e-07,3.405432561261078e-07,7.652247535522219e-07,1.525992143802492e-06,,3.3027411551379505e-07,1.828035659450924e-07,,8.670492943962488e-07,3.230586733294289e-07,2.1723382937032726e-07,4.163638502095461e-06,,4.0832743064825147e-07,,,,,,4.4047326668001214e-10,2.8954505062360974e-09,4.0848480592217793e-07,,,1.2179783903537671e-06,,1.749268130245591e-06,6.437119111242679e-07,
"Areas, nes., Spec Cat, Islands, Other",0.0007996663191815426,0.0007707161706304736,0.0009079704428119671,0.0008716469010110468,0.0009499774238565564,0.000894093500907678,0.0007170773660114858,0.0007362367133083575,0.0008146458118371161,0.0008582591751932231,0.0006720926980889483,0.0007489064310301014,0.0009745778182656141,0.0008778731199740391,0.0006126358975429224,0.0007364204646090807,0.0006844482075967464,0.0006939610529779845,0.0011318256944780173,0.0007283414392556278,0.0007951247766555176,0.0007180453815064438,0.0005144227721403184,0.0005797428821213822,0.0006910880530431185,0.0007697284094013351,0.0005701887807018494,0.0008726158047181446,0.0004266366661516948,0.00021777268740083393,0.00020152173140898196,0.0005549321988174652,0.000592032521246698,0.0006958012179296069,0.00043293491906483547,0.0007509486781900496,0.000714479234557413,0.0012389998233552518,0.0007802691057900746,0.0010936705431555443,0.0008891286708703986,0.0007452332118359214,0.001430343125882656,
Argentina,0.0035039808637951143,0.002471093361568371,0.0031577751851177126,0.0015960069025539108,0.0018632312699346837,0.00197594722580106,0.001631627856421369,0.001479672043929004,0.0022175544023049273,0.0032613560842235404,0.00280976606960249,0.0017785166434738902,0.003215532185886648,0.0014968601238383016,0.0011532093842353095,0.0018855362143727083,0.003569242378038048,0.00300325767463416,0.003828415713952164,0.003458871838301293,0.0018844031212106767,0.0013769983755577504,0.0015182999975872653,0.001576863955478099,0.0011731163795880408,0.0012068657824718394,0.0011095325839835758,0.001113734038577746,0.0008820908440996193,0.0009778057968925962,0.0008700843011105821,0.0038551449113718335,0.003367398953385484,0.00462369248722961,0.003977991472418031,0.003840832404585383,0.0034080458974502822,0.002378230928368853,0.003186303670082032,0.002893198196742287,0.0017535467444540407,0.0035825611160995034,0.003012279154896832,0.011499414356699125
