Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product
Austria,Belgium,340774952.50131583,394924.38785112597,20371381847.321857,19974645.43039817,32479866310.468662,47476506.68932843,6.61659758960522e+20,948326387393262.2
Austria,Brazil,67493097.95456876,55781.338340893424,20371381847.321857,19974645.43039817,8298699654.963992,9379886.163980313,1.6905597950750962e+20,187359900303004.38
Austria,Canada,2699922.426560402,1308.9092640169706,20371381847.321857,19974645.43039817,21831402497.170246,21647464.564676967,4.44735836532431e+20,432400429146531.06
Austria,China (mainland),66058764.44509399,39008.215115748186,20371381847.321857,19974645.43039817,77759127639.26492,106341819.28649531,1.5840608812541047e+21,2124140134671221.5
Austria,France,941616155.1898792,709415.6386187033,20371381847.321857,19974645.43039817,51544634493.05953,55433892.192151785,1.0500354314387531e+21,1107272341365149.5
Austria,Germany,7227516735.588562,6860570.160304134,20371381847.321857,19974645.43039817,82866679359.00713,85265665.52379914,1.6881087676419185e+21,1703151436224813.2
Austria,India,13227139.692398554,7882.553347865094,20371381847.321857,19974645.43039817,31245526612.397964,36080361.29465354,6.365145536418159e+20,720692423861366.4
Austria,Indonesia,386.86180877685524,0.30000000447034797,20371381847.321857,19974645.43039817,38517934065.54635,59878521.730703816,7.84663542819211e+20,1196052240467200.5
Austria,Iran,2092069.322265625,1315.9964182164629,20371381847.321857,19974645.43039817,7489451633.987148,10946534.846878693,1.525704790630008e+20,218653152257899.8
Austria,Italy,4506961993.086527,5101500.914131307,20371381847.321857,19974645.43039817,85028215439.92317,115714020.75218743,1.732142244523023e+21,2311346535850679.5
Austria,Malaysia,32096.77024841311,17.219790449749198,20371381847.321857,19974645.43039817,16986894723.92083,19522853.46143032,3.4604651882124824e+20,389962075681692.2
Austria,Mexico,106882291.44406465,97577.82813963252,20371381847.321857,19974645.43039817,55197296936.53189,71488192.66756846,1.1244452128341002e+21,1427951300994670.2
Austria,Netherlands,312896757.5914351,234350.79559280296,20371381847.321857,19974645.43039817,23450192436.10187,25548302.043229587,4.7771282450901e+20,510318274662228.1
Austria,Russia,10608979.444055557,7339.176403129939,20371381847.321857,19974645.43039817,7505180857.672238,8804172.188609717,1.528909050848517e+20,175860217775651.75
Austria,Slovakia,451518464.072919,478776.3824573769,20371381847.321857,19974645.43039817,6649030435.855892,6467076.028096452,1.3544993792328525e+20,129177550632654.34
Austria,South Africa,22280961.616923336,16972.87884212882,20371381847.321857,19974645.43039817,3491987766.0907483,3966841.6543924217,7.1136616189211075e+19,79236255525022.7
Austria,South Korea,3570.56875610352,1.68848407500231,20371381847.321857,19974645.43039817,45189048533.220924,62036767.390945196,9.205633629874031e+20,1239162432282217.8
Austria,Spain,239731134.2010812,235425.28580524327,20371381847.321857,19974645.43039817,30411831383.82331,41310141.89855985,6.195310297962313e+20,825155437103168.5
Austria,Sweden,277605950.8394268,152795.05593479596,20371381847.321857,19974645.43039817,8710318987.062227,7368504.891323383,1.7744123409742237e+20,147183272556339.2
Austria,Ukraine,3408259.313178539,3545.3982512304983,20371381847.321857,19974645.43039817,2669614115.0918794,2993415.9970440585,5.438372852353692e+19,59792423166636.88
Austria,United Kingdom,211393863.27985886,183244.27860124828,20371381847.321857,19974645.43039817,14216521519.3457,15103076.82513566,2.8961018841125952e+20,301678604490148.5
Austria,United States,139228439.0,69573.24417237255,20371381847.321857,19974645.43039817,120595761242.0,180354448.0683238,2.4567023014292394e+21,3602516151959928.0
Austria,Vietnam,2262.156738281255,1.100000001490116,20371381847.321857,19974645.43039817,32798944594.642277,47520626.184310265,6.68159824526611e+20,949207658662092.6
Belgium,Austria,241437351.77418786,179686.05317506925,56017531908.54749,56142681.19026796,15364702118.217093,15875548.654514426,8.606926911725533e+20,891295866830990.9
Belgium,Brazil,38734893.0,20887.313600929803,56017531908.54749,56142681.19026796,8298699654.963992,9379886.163980313,4.648726727213975e+20,526611958505352.2
Belgium,Canada,68996893.67982031,66499.80254667635,56017531908.54749,56142681.19026796,21831402497.170246,21647464.564676967,1.2229412859935777e+21,1215346701632281.8
Belgium,China (mainland),430689154.9016047,302285.81976208836,56017531908.54749,56142681.19026796,77759127639.26492,106341819.28649531,4.35587441371334e+21,5970314857394795.0
Belgium,France,21246976160.92418,19663592.8849659,56017531908.54749,56142681.19026796,51544634493.05953,55433892.192151785,2.88740320742938e+21,3112207336479662.0
Belgium,Germany,13506356070.39789,14244545.05537852,56017531908.54749,56142681.19026796,82866679359.00713,85265665.52379914,4.6419868551485556e+21,4787043075978677.0
Belgium,India,417097268.8204755,499544.8887406943,56017531908.54749,56142681.19026796,31245526612.397964,36080361.29465354,1.750297284009373e+21,2025648221395417.5
Belgium,Indonesia,2439748.9452590947,2740.692914842881,56017531908.54749,56142681.19026796,38517934065.54635,59878521.730703816,2.157679600568071e+21,3361740755671436.5
Belgium,Iran,15088395.83499908,12407.337329841273,56017531908.54749,56142681.19026796,7489451633.987148,10946534.846878693,4.195405958843982e+20,614567816046469.1
Belgium,Italy,3326475638.471792,2948694.772245192,56017531908.54749,56142681.19026796,85028215439.92317,115714020.75218743,4.763070771532747e+21,6496495376334109.0
Belgium,Japan,153143.607421875,111.335,56017531908.54749,56142681.19026796,29543652475.693275,33028302.14139705,1.6549624952521863e+21,1854297437380299.2
Belgium,Malaysia,6754331.807807922,4906.76970108839,56017531908.54749,56142681.19026796,16986894723.92083,19522853.46143032,9.515639172243721e+20,1096065337809401.6
Belgium,Mexico,428691002.6433166,395567.71616928815,56017531908.54749,56142681.19026796,55197296936.53189,71488192.66756846,3.092016342407746e+21,4013538809803747.5
Belgium,Netherlands,3541151690.253001,4095126.4310501306,56017531908.54749,56142681.19026796,23450192436.10187,25548302.043229587,1.3136219030509157e+21,1434350176565710.2
Belgium,Russia,165993750.44946814,115611.59402339061,56017531908.54749,56142681.19026796,7505180857.672238,8804172.188609717,4.2042170817407445e+20,494289832329339.06
Belgium,Slovakia,413179353.1175957,481460.71289201546,56017531908.54749,56142681.19026796,6649030435.855892,6467076.028096452,3.724622746014609e+20,363078987678643.5
Belgium,South Africa,90666501.06731525,74561.85399805136,56017531908.54749,56142681.19026796,3491987766.0907483,3966841.6543924217,1.95612536111246e+20,222709126334828.84
Belgium,South Korea,52646530.0,27083.902845374985,56017531908.54749,56142681.19026796,45189048533.220924,62036767.390945196,2.5313789681266044e+21,3482910453704647.5
Belgium,Spain,948723036.0313827,994899.1900013447,56017531908.54749,56142681.19026796,30411831383.82331,41310141.89855985,1.7035957349406883e+21,2319262126535576.5
Belgium,Sweden,457512509.10210943,508195.70888357115,56017531908.54749,56142681.19026796,8710318987.062227,7368504.891323383,4.8793057179138536e+20,413687620962498.75
Belgium,Taiwan,17631037.804611206,11698.626704421065,56017531908.54749,56142681.19026796,52669875859.60428,75539050.02115303,2.950436451584618e+21,4240964802753298.5
Belgium,Ukraine,3584325.50698948,2656.049575521692,56017531908.54749,56142681.19026796,2669614115.0918794,2993415.9970440585,1.4954519387566814e+20,168058399991892.66
Belgium,United Kingdom,1544053159.6237936,1625588.5208575856,56017531908.54749,56142681.19026796,14216521519.3457,15103076.82513566,7.963744478384998e+20,847927227185715.8
Belgium,United States,957025793.0,726549.7493903363,56017531908.54749,56142681.19026796,120595761242.0,180354448.0683238,6.75547690340931e+21,1.0125582279146642e+16
Belgium,Vietnam,52370994.97466852,109100.45824513433,56017531908.54749,56142681.19026796,32798944594.642277,47520626.184310265,1.837315925397055e+21,2667935365827631.0
Brazil,Austria,75895400.8504219,88189.29654035108,56862580489.19227,110558267.52708869,15364702118.217093,15875548.654514426,8.736766108895824e+20,1755173155285118.8
Brazil,Belgium,868604393.0,1400374.0761736403,56862580489.19227,110558267.52708869,32479866310.468662,47476506.68932843,1.8468890123572287e+21,5248920327810388.0
Brazil,Canada,2099111611.0,3685614.483490407,56862580489.19227,110558267.52708869,21831402497.170246,21647464.564676967,1.2413898816872962e+21,2393306178624728.5
Brazil,China (mainland),1831422360.0,5271627.881492642,56862580489.19227,110558267.52708869,77759127639.26492,106341819.28649531,4.421584654157077e+21,1.1756967305993668e+16
Brazil,France,432073437.82873315,749333.3834004818,56862580489.19227,110558267.52708869,51544634493.05953,55433892.192151785,2.930960927647594e+21,6128675083047710.0
Brazil,Germany,2745772058.8763433,5446601.376936596,56862580489.19227,110558267.52708869,82866679359.00713,85265665.52379914,4.71201322492363e+21,9426824259855448.0
Brazil,India,174906882.0,383112.27291692887,56862580489.19227,110558267.52708869,31245526612.397964,36080361.29465354,1.7767012719246783e+21,3988982236488322.5
Brazil,Indonesia,707969321.0,1998211.3113094596,56862580489.19227,110558267.52708869,38517934065.54635,59878521.730703816,2.1902291260795301e+21,6620065624629746.0
Brazil,Iran,70000.0,250.0,56862580489.19227,110558267.52708869,7489451633.987148,10946534.846878693,4.258695463575068e+20,1210229928095813.2
Brazil,Italy,1256924026.4085696,2200162.3473093365,56862580489.19227,110558267.52708869,85028215439.92317,115714020.75218743,4.834923744305012e+21,1.279314166295543e+16
Brazil,Japan,1046933036.0,621053.3120333183,56862580489.19227,110558267.52708869,29543652475.693275,33028302.14139705,1.6799283168438334e+21,3651551864114091.5
Brazil,Malaysia,29652420.0,46910.269,56862580489.19227,110558267.52708869,16986894723.92083,19522853.46143032,9.659186685003837e+20,2158412855880962.5
Brazil,Mexico,3499036547.0,6339305.5707261395,56862580489.19227,110558267.52708869,55197296936.53189,71488192.66756846,3.1386607398393904e+21,7903610729969094.0
Brazil,Netherlands,1834451763.0,3695832.20264727,56862580489.19227,110558267.52708869,23450192436.10187,25548302.043229587,1.3334384548848903e+21,2824576012158243.0
Brazil,Russia,28502277.0,17563.49843463772,56862580489.19227,110558267.52708869,7505180857.672238,8804172.188609717,4.267639506053327e+20,973374024182867.0
Brazil,Slovakia,1756827.0,1274.606659614188,56862580489.19227,110558267.52708869,6649030435.855892,6467076.028096452,3.780810283339448e+20,714988721632309.8
Brazil,South Africa,43363492.0,71081.59480673302,56862580489.19227,110558267.52708869,3491987766.0907483,3966841.6543924217,1.9856343541660988e+20,438567140863916.44
Brazil,South Korea,1072548779.0,2212161.8598820646,56862580489.19227,110558267.52708869,45189048533.220924,62036767.390945196,2.5695659094502906e+21,6858677525723891.0
Brazil,Spain,693116724.4125799,1332898.8327602672,56862580489.19227,110558267.52708869,30411831383.82331,41310141.89855985,1.7292952098863964e+21,4567177719602976.0
Brazil,Sweden,30393047.000992645,37827.576414826995,56862580489.19227,110558267.52708869,8710318987.062227,7368504.891323383,4.9529121448836556e+20,814649135049592.1
Brazil,Taiwan,782632604.0,1889599.1988919973,56862580489.19227,110558267.52708869,52669875859.60428,75539050.02115303,2.994945055422513e+21,8351466500980771.0
Brazil,Ukraine,475.0,0.315865217829242,56862580489.19227,110558267.52708869,2669614115.0918794,2993415.9970440585,1.5180114749449578e+20,330946886621063.94
Brazil,United Kingdom,128767788.93762209,190321.47675374616,56862580489.19227,110558267.52708869,14216521519.3457,15103076.82513566,8.083880991701288e+20,1669770008115521.5
Brazil,United States,27262094498.0,52635052.501796454,56862580489.19227,110558267.52708869,120595761242.0,180354448.0683238,6.857386180278638e+21,1.9939675319238164e+16
Brazil,Vietnam,81447140.0,190982.25628252368,56862580489.19227,110558267.52708869,32798944594.642277,47520626.184310265,1.865032626973404e+21,5253798102739750.0
Canada,Austria,4871649.407892345,7255.884664534198,20347047543.564545,25653414.203509472,15364702118.217093,15875548.654514426,3.1262632449207e+20,407262025342226.06
Canada,Belgium,206312519.61042783,328771.1415713478,20347047543.564545,25653414.203509472,32479866310.468662,47476506.68932843,6.608693840277262e+20,1217934491037030.5
Canada,Brazil,42109804.0,27059.775636463077,20347047543.564545,25653414.203509472,8298699654.963992,9379886.163980313,1.68854036429315e+20,240626104946354.53
Canada,China (mainland),324314787.0,309205.6574763871,20347047543.564545,25653414.203509472,77759127639.26492,106341819.28649531,1.5821686670222271e+21,2728030737311216.5
Canada,France,25405274.85982562,42990.879087815614,20347047543.564545,25653414.203509472,51544634493.05953,55433892.192151785,1.0487811286459393e+21,1422068597317959.5
Canada,Germany,426279188.963379,699789.6350417944,20347047543.564545,25653414.203509472,82866679359.00713,85265665.52379914,1.6860922646950366e+21,2187355435019916.8
Canada,India,71661834.93873218,72908.22599152048,20347047543.564545,25653414.203509472,31245526612.397964,36080361.29465354,6.357542155061726e+20,925584452904018.6
Canada,Indonesia,5210322.0,11342.139,20347047543.564545,25653414.203509472,38517934065.54635,59878521.730703816,7.837262357115559e+20,1536088519851587.8
Canada,Italy,26749103.41748048,19356.034941590926,20347047543.564545,25653414.203509472,85028215439.92317,115714020.75218743,1.7300731421005657e+21,2968459703509355.0
Canada,Japan,12605328.20288086,14771.193116998802,20347047543.564545,25653414.203509472,29543652475.693275,33028302.14139705,6.011261015334794e+20,847288715271917.5
Canada,Malaysia,521756.7531738281,736.3857943711475,20347047543.564545,25653414.203509472,16986894723.92083,19522853.46143032,3.456331545651429e+20,500827846280490.6
Canada,Mexico,601404725.7464172,818000.3359861223,20347047543.564545,25653414.203509472,55197296936.53189,71488192.66756846,1.1231020250438639e+21,1833916217161422.5
Canada,Netherlands,107299009.8681853,202724.15222911295,20347047543.564545,25653414.203509472,23450192436.10187,25548302.043229587,4.771421804031025e+20,655401174511336.0
Canada,Russia,2019647.656463623,1201.8891600494385,20347047543.564545,25653414.203509472,7505180857.672238,8804172.188609717,1.5270827173410757e+20,225857075873423.6
Canada,Slovakia,2858.74609375,2.0,20347047543.564545,25653414.203509472,6649030435.855892,6467076.028096452,1.3528813839696752e+20,165902580034345.16
Canada,South Africa,1233893.8465948105,1026.0420729767225,20347047543.564545,25653414.203509472,3491987766.0907483,3966841.6543924217,7.10516410981942e+19,101763032039863.56
Canada,South Korea,240105470.0,150636.7413559685,20347047543.564545,25653414.203509472,45189048533.220924,62036767.390945196,9.194637189538918e+20,1591454889726686.8
Canada,Spain,119068031.07813266,101629.10140298633,20347047543.564545,25653414.203509472,30411831383.82331,41310141.89855985,6.187909790535212e+20,1059746180929507.1
Canada,Sweden,2602198.3103411198,5954.941476938143,20347047543.564545,25653414.203509472,8710318987.062227,7368504.891323383,1.772292745493681e+20,189027308037704.28
Canada,Taiwan,63892789.35586929,48817.77686281994,20347047543.564545,25653414.203509472,52669875859.60428,75539050.02115303,1.0716764682290108e+21,1937834538732259.8
Canada,Ukraine,466854.40112304664,519.6519999999999,20347047543.564545,25653414.203509472,2669614115.0918794,2993415.9970440585,5.431876532274546e+19,76791340455582.52
Canada,United Kingdom,37932614.29882813,39809.69975748998,20347047543.564545,25653414.203509472,14216521519.3457,15103076.82513566,2.892642392582354e+20,387445485542629.9
Canada,United States,17476482403.0,21897925.3865432,20347047543.564545,25653414.203509472,120595761242.0,180354448.0683238,2.4537676875433325e+21,4626707359742049.0
Canada,Vietnam,9549403.11830521,16435.66546661796,20347047543.564545,25653414.203509472,32798944594.642277,47520626.184310265,6.673616850459258e+20,1219066306716249.0
China (mainland),Austria,75376283.05178308,44549.52740899107,157745227260.328,202306003.36525014,15364702118.217093,15875548.654514426,2.4237084274253984e+21,3211718799525388.0
China (mainland),Belgium,1988554868.8351786,2218343.747730607,157745227260.328,202306003.36525014,32479866310.468662,47476506.68932843,5.123543892529951e+21,9604782322061598.0
China (mainland),Brazil,2972876929.0,3648739.4343275507,157745227260.328,202306003.36525014,8298699654.963992,9379886.163980313,1.3090802630375005e+21,1897607281855864.2
China (mainland),Canada,482031673.0,598572.8632225809,157745227260.328,202306003.36525014,21831402497.170246,21647464.564676967,3.443799548327813e+21,4379412039070671.5
China (mainland),France,374892178.34872365,274226.4154690568,157745227260.328,202306003.36525014,51544634493.05953,55433892.192151785,8.130920082158217e+21,1.1214609180374372e+16
China (mainland),Germany,1135903600.470093,903860.2674154129,157745227260.328,202306003.36525014,82866679359.00713,85265665.52379914,1.307182316779531e+22,1.7249756016398e+16
