Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
China (mainland),157745227260.328,202306003.36525017,779.73576975632,77759127639.26492,106341819.28649531,731.2187073814695,0.1210295882730276,0.1147966100389456,0.0597320008919434,0.0604151899027746
Russia,119023292747.44728,252013052.72258237,472.29019077225695,7505180857.672239,8804172.188609716,852.4573005718778,0.0913202913730654,0.1430024006054179,0.0057652327552386,0.0050018491152438
Japan,101495794396.7084,136118681.04876637,745.6419178815444,29543652475.693275,33028302.14139705,894.4950409262431,0.0778723668577631,0.0772392459316158,0.022694460825436,0.0187641245883041
South Korea,90689708759.31683,109797708.81093016,825.9708671652066,45189048533.220924,62036767.3909452,728.4236499372573,0.0695814276119233,0.0623036615417765,0.0347127388030191,0.0352444890262863
Germany,87568789495.22942,88128706.37342834,993.6466005091872,82866679359.00713,85265665.52379914,971.8645699877588,0.0671869109591785,0.0500077929992113,0.0636554539082197,0.0484413508191783
Brazil,56862580489.19226,110558267.52708869,514.3222823680729,8298699654.963992,9379886.163980313,884.7335148726876,0.0436276572310573,0.0627352333236229,0.0063747877611473,0.0053289252305959
Ukraine,56285873423.93822,114474448.75268944,491.6894035064384,2669614115.0918794,2993415.9970440585,891.8286391627735,0.0431851803341389,0.0649574329693026,0.0020507096407199,0.0017006272521273
Belgium,56017531908.5475,56142681.19026796,997.7708709476072,32479866310.46866,47476506.68932843,684.1250246781393,0.0429792960504217,0.0318576284041558,0.0249499635904796,0.0269724759911116
India,50812620524.42151,74242086.51628137,684.4180020893978,31245526612.397964,36080361.29465354,865.9981633007646,0.0389858422213638,0.0421279631474898,0.024001784486823,0.0204980683422822
France,43108679125.63054,51738983.78991773,833.195319426259,51544634493.05953,55433892.19215179,929.8397145628736,0.033075014542017,0.0293587923598056,0.0395948906191128,0.0314932464604175
United States,36843845491.0,36596235.65541105,1006.7659919430084,120595761242.0,180354448.0683238,668.659756017299,0.0282683383048523,0.0207661845103169,0.09263769202105,0.1024634363316898
Indonesia,34951210344.90991,27965225.29109022,1249.809718359231,38517934065.54635,59878521.730703816,643.2679523849295,0.0268162192362715,0.0158686000859625,0.0295882083789897,0.0340183409098145
Netherlands,31919870169.086807,35935986.505425386,888.2424909712092,23450192436.101875,25548302.043229587,917.8767495555064,0.024490431890643,0.0203915324340628,0.0180136655082814,0.0145145675519882
Taiwan,30519048208.533085,37260265.82222641,819.0775759395664,52669875859.60428,75539050.02115303,697.2536171007612,0.0234156551251321,0.0211429820884707,0.0404592639775938,0.0429154408183301
Italy,30321366781.145992,27740283.732377023,1093.0445799931188,85028215439.92317,115714020.75218745,734.8134209424732,0.0232639845980334,0.0157409591461604,0.0653158747363985,0.0657397492826681
Sweden,22746705476.70476,15336006.323103448,1483.2222286213598,8710318987.062227,7368504.891323383,1182.1012695966135,0.0174523467126524,0.0087022703634236,0.0066909801755748,0.0041862140905215
Austria,20371381847.321857,19974645.43039817,1019.8620004698516,15364702118.217093,15875548.654514426,967.8218027348574,0.0156298862435,0.0113344218362107,0.0118026581379284,0.0090192578348622
Canada,20347047543.564545,25653414.203509472,793.1516398616836,21831402497.170246,21647464.564676967,1008.4969734882218,0.0156112158164081,0.0145567849569493,0.0167701643912845,0.0122984136566735
Slovakia,17258337149.640293,19835488.0514912,870.0737337462608,6649030435.855891,6467076.028096452,1028.1354984801371,0.0132414113299982,0.0112554583101923,0.0051075661981135,0.0036740919891592
Malaysia,15684244226.15314,22324253.86363008,702.5652154809698,16986894723.92083,19522853.46143032,870.1030695886966,0.0120336928985637,0.0126676847081334,0.0130487730714745,0.0110913740918681
United Kingdom,15378614773.743725,19071449.41843603,806.3684325365166,14216521519.3457,15103076.82513566,941.2996890597492,0.0117991995485482,0.0108219118827283,0.010920663616667,0.008580399137695
Spain,15333720973.340792,13409999.709344365,1143.454236069516,30411831383.82331,41310141.89855985,736.1831740617556,0.0117647549046554,0.0076093762995092,0.0233613672695948,0.0234692248492405
Vietnam,14475252560.560495,21741872.75209554,665.7776322035246,32798944594.64228,47520626.184310265,690.204385511052,0.0111060973950197,0.0123372181068325,0.0251950690196876,0.0269975412729135
South Africa,14244421509.94068,17795608.755477134,800.4458687346972,3491987766.0907483,3966841.6543924217,880.2942164893637,0.0109289929114017,0.0100979482799622,0.0026824299949252,0.0022536523587084
Mexico,13698690666.574312,19324693.27940272,708.869758940759,55197296936.53189,71488192.66756846,772.1176725394103,0.0105102824348462,0.0109656126937203,0.0424007456094573,0.0406140572429135
Iran,13063317252.267376,29321299.20550388,445.5231386819064,7489451633.987148,10946534.846878693,684.1846976006932,0.0100227939442671,0.0166380912812182,0.0057531500836384,0.0062189737394825
