Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
United States,36843845491.0,36596235.65541105,1006.7659919430084,120595761242.0,180354448.0683238,668.659756017299,0.0282683383048523,0.0207661845103169,0.09263769202105,0.1024634363316898
Italy,30321366781.145992,27740283.732377023,1093.0445799931188,85028215439.92317,115714020.75218745,734.8134209424732,0.0232639845980334,0.0157409591461604,0.0653158747363985,0.0657397492826681
Germany,87568789495.22942,88128706.37342834,993.6466005091872,82866679359.00713,85265665.52379914,971.8645699877588,0.0671869109591785,0.0500077929992113,0.0636554539082197,0.0484413508191783
China (mainland),157745227260.328,202306003.36525017,779.73576975632,77759127639.26492,106341819.28649531,731.2187073814695,0.1210295882730276,0.1147966100389456,0.0597320008919434,0.0604151899027746
Turkey,12950903922.825788,17980720.185034145,720.2661400406635,62333646862.544495,103159083.94323269,604.2477742129431,0.0099365451289146,0.0102029879932634,0.0478826545902694,0.0586070060531505
Mexico,13698690666.574312,19324693.27940272,708.869758940759,55197296936.53189,71488192.66756846,772.1176725394103,0.0105102824348462,0.0109656126937203,0.0424007456094573,0.0406140572429135
Taiwan,30519048208.533085,37260265.82222641,819.0775759395664,52669875859.60428,75539050.02115303,697.2536171007612,0.0234156551251321,0.0211429820884707,0.0404592639775938,0.0429154408183301
Thailand,2614944157.768719,3294560.0310201407,793.7157414487959,51673205992.13586,76941728.41439225,671.588838163794,0.0020063086552178,0.0018694666339094,0.039693655010261,0.0437123341014115
France,43108679125.63054,51738983.78991773,833.195319426259,51544634493.05953,55433892.19215179,929.8397145628736,0.033075014542017,0.0293587923598056,0.0395948906191128,0.0314932464604175
South Korea,90689708759.31683,109797708.81093016,825.9708671652066,45189048533.220924,62036767.3909452,728.4236499372573,0.0695814276119233,0.0623036615417765,0.0347127388030191,0.0352444890262863
Indonesia,34951210344.90991,27965225.29109022,1249.809718359231,38517934065.54635,59878521.730703816,643.2679523849295,0.0268162192362715,0.0158686000859625,0.0295882083789897,0.0340183409098145
Vietnam,14475252560.560495,21741872.75209554,665.7776322035246,32798944594.64228,47520626.184310265,690.204385511052,0.0111060973950197,0.0123372181068325,0.0251950690196876,0.0269975412729135
Belgium,56017531908.5475,56142681.19026796,997.7708709476072,32479866310.46866,47476506.68932843,684.1250246781393,0.0429792960504217,0.0318576284041558,0.0249499635904796,0.0269724759911116
India,50812620524.42151,74242086.51628137,684.4180020893978,31245526612.397964,36080361.29465354,865.9981633007646,0.0389858422213638,0.0421279631474898,0.024001784486823,0.0204980683422822
Spain,15333720973.340792,13409999.709344365,1143.454236069516,30411831383.82331,41310141.89855985,736.1831740617556,0.0117647549046554,0.0076093762995092,0.0233613672695948,0.0234692248492405
Japan,101495794396.7084,136118681.04876637,745.6419178815444,29543652475.693275,33028302.14139705,894.4950409262431,0.0778723668577631,0.0772392459316158,0.022694460825436,0.0187641245883041
Poland,10357148098.527124,12067763.863967784,858.2491516470374,27794851494.901863,31184991.572021104,891.2893701032505,0.0079464931638078,0.0068477373844059,0.0213510895079353,0.0177168982116459
Netherlands,31919870169.086807,35935986.505425386,888.2424909712092,23450192436.101875,25548302.043229587,917.8767495555064,0.024490431890643,0.0203915324340628,0.0180136655082814,0.0145145675519882
Canada,20347047543.564545,25653414.203509472,793.1516398616836,21831402497.170246,21647464.564676967,1008.4969734882218,0.0156112158164081,0.0145567849569493,0.0167701643912845,0.0122984136566735
Czech Republic,6649890400.863812,7064521.989912628,941.3079059502024,20306733570.28293,23156341.25540392,876.9405039556503,0.0051021099735022,0.0040086955527631,0.0155989639359084,0.0131556405916815
Malaysia,15684244226.15314,22324253.86363008,702.5652154809698,16986894723.92083,19522853.46143032,870.1030695886966,0.0120336928985637,0.0126676847081334,0.0130487730714745,0.0110913740918681
Austria,20371381847.321857,19974645.43039817,1019.8620004698516,15364702118.217093,15875548.654514426,967.8218027348574,0.0156298862435,0.0113344218362107,0.0118026581379284,0.0090192578348622
Philippines,50419687.037126064,66100.31666880607,762.7752721632576,14895305108.769869,25312547.318950456,588.4553980712313,3.86843650926291e-05,3.750799358326479e-05,0.0114420828146423,0.0143806299671945
United Kingdom,15378614773.743725,19071449.41843603,806.3684325365166,14216521519.3457,15103076.82513566,941.2996890597492,0.0117991995485482,0.0108219118827283,0.010920663616667,0.008580399137695
Egypt,3614868874.100076,5030853.87731214,718.5398268874807,14080380104.058352,29306690.66847737,480.4493370929587,0.002773498121571,0.002854709999258,0.0108160842651972,0.0166497930356809
Saudi Arabia,1385361325.2581284,2326797.1130067883,595.3941224673019,12915979563.323988,21294094.2910206,606.5521917394,0.0010629146359443,0.001320318806058,0.0099216301187929,0.0120976560212278
United Arab Emirates,6769811330.43974,12409016.064740255,545.5558518999666,12870709880.501211,19164415.77656574,671.5941686174186,0.0051941189742433,0.0070413776875376,0.0098868554393842,0.0108877375456372
Sweden,22746705476.70476,15336006.323103448,1483.2222286213598,8710318987.062227,7368504.891323383,1182.1012695966135,0.0174523467126524,0.0087022703634236,0.0066909801755748,0.0041862140905215
Denmark,1036532737.2339028,836840.011216991,1238.6271250660027,8606207876.727032,11344935.862668188,758.5946699837012,0.0007952768688963,0.0004748568744112,0.006611005449466,0.0064453143568227
Brazil,56862580489.19226,110558267.52708869,514.3222823680729,8298699654.963992,9379886.163980313,884.7335148726876,0.0436276572310573,0.0627352333236229,0.0063747877611473,0.0053289252305959
Hungary,4098780176.397211,5232833.064542022,783.2812791546479,8273210338.098976,9148032.60232678,904.3704474768384,0.0031447777266333,0.0029693211606013,0.0063552077074103,0.0051972039844209
Switzerland,1591386468.2094045,1765560.3500071582,901.3492335183856,8121823952.446531,6908455.821618834,1175.6352160537335,0.001220986855677,0.0010018503634519,0.006238917671792,0.0039248498210622
Bangladesh,116257930.89099409,167859.0802048688,692.5924456937539,7871805148.317461,14877348.846163385,529.113434773526,8.91985751555591e-05,9.52500323827975e-05,0.0060468614607126,0.0084521579734241
Russia,119023292747.44728,252013052.72258237,472.29019077225695,7505180857.672239,8804172.188609716,852.4573005718778,0.0913202913730654,0.1430024006054179,0.0057652327552386,0.0050018491152438
Iran,13063317252.267376,29321299.20550388,445.5231386819064,7489451633.987148,10946534.846878693,684.1846976006932,0.0100227939442671,0.0166380912812182,0.0057531500836384,0.0062189737394825
Romania,4620671801.154169,4802281.10006637,962.182701277172,7056037574.0811,7844232.392036165,899.5191908445653,0.003545197628804,0.0027250085591696,0.0054202156771081,0.0044564856308278
Pakistan,624750864.9698625,1247732.9099762323,500.70881354068246,6652085766.080472,12196715.021250296,545.3997862941428,0.0004793383690508,0.0007080141267024,0.0051099132021661,0.0069292293393407
Slovakia,17258337149.640293,19835488.0514912,870.0737337462608,6649030435.855891,6467076.028096452,1028.1354984801371,0.0132414113299982,0.0112554583101923,0.0051075661981135,0.0036740919891592
Portugal,2040019257.0654156,3133345.7204661835,651.0674017681964,5967694467.133842,6965013.859967815,856.8101352150675,0.00156519911911,0.0017779871126223,0.004584186346423,0.0039569817203498
Nepal,153784916.45226294,171350.46092644116,897.4876146862604,5796461215.6582985,12019448.124267483,482.2568520392494,0.0001179910507853,9.723118303836268e-05,0.0044526506021266,0.0068285200105315
