Export_country,Import_country,Nominal Value (SUM),Tons (SUM)
Afghanistan,Austria,20804.244140625,21.3999996185303
Afghanistan,Canada,710.679321289063,0.993
Afghanistan,China (mainland),2236.0,2.758
Afghanistan,Guatemala,1744.0,1.347
Afghanistan,Senegal,30812.240234375,44.113
Afghanistan,Turkey,17028.0078125,17.28
Albania,Austria,2259925.4765625,1809.600009918213
Albania,Belgium,19.8197994232178,0.0120000001043081
Albania,Canada,512294.34326171875,358.7574900100215
Albania,Chile,43241.2900390625,35.393
Albania,France,199870.5430564881,169.65122270062912
Albania,Germany,384811.798828125,291.9999980926512
Albania,Greece,71971.58670043947,98.23500001430499
Albania,Italy,111086.892578125,100.06
Albania,Malaysia,274826.51953125,181.76749999999998
Albania,Mexico,374.0,0.998
Albania,Montenegro,96632.05126953131,107.46221651483249
Albania,Netherlands,54.608001232147174,0.0390000005718319
Albania,New Zealand,13525.125,15.016
Albania,Peru,53180.4375,26.83
Albania,Serbia,29729.861328125,30.215
Albania,Sweden,2.1633999347686803,0.0018873752237599998
Albania,Turkey,116980124.06169438,235628.73982229922
Albania,United Kingdom,131342.94140625,93.249
Albania,United States,46814.0,27.987230238635
Algeria,Austria,17791.763671875,16.7999992370605
Algeria,Bulgaria,29583078.0,50118.59765625
Algeria,Canada,11014979.16583252,14260.862000000001
Algeria,China (mainland),63020938.0,95360.45999999999
Algeria,Colombia,90499537.7695313,137980.584
Algeria,Costa Rica,91549.0,167.281
Algeria,Denmark,11461099.0,14351.3203125
Algeria,Egypt,5163766.65625,14740.0
Algeria,France,144.760192871094,0.14300000667572
Algeria,Germany,1134.59997558594,1.0
Algeria,India,8137524.0,16474.0
Algeria,Italy,150192355.9921875,280088.017
Algeria,Morocco,9750331.5,21313.238
Algeria,Netherlands,68750.09375,50.439998626709
Algeria,Niger,383.300262451172,0.231
Algeria,Portugal,3357727.625,9343.1396484375
Algeria,Sierra Leone,299.3828125,0.199370217693904
Algeria,Spain,14450614.5625,34642.614
Algeria,Tunisia,3442332.241210938,7126.03
Algeria,Turkey,645550232.4181584,1049053.6783322194
Andorra,Austria,37025.9921875,55.5
Andorra,France,42514.22296142579,30.15900003910065
Andorra,South Africa,12891.291015625,15.966
Andorra,Switzerland,16558.248046875,22.39
Andorra,Thailand,115889.25,154.91
Angola,Ghana,4472053.4375,13500.136
Angola,Netherlands,4053.22973632813,2.0
Angola,Portugal,2125.64965820313,0.949999988079071
Angola,Senegal,16305056.5625,37600.575
Angola,South Africa,148662.203125,122.871
Angola,Thailand,14965.51171875,50.565
Anguilla,Indonesia,200250.0,142.0
Anguilla,Malaysia,54203.986328125,48.294
Anguilla,Russia,5174.2001953125,4.87
Anguilla,Sri Lanka,279288.46875,422.818
Antigua and Barbuda,Germany,44402.3984375,27.0
Antigua and Barbuda,Ghana,13537.6923828125,20.77525
Antigua and Barbuda,Italy,50755.83984375,24.0
Antigua and Barbuda,South Korea,3309.0,1.47
"Areas, nes., Spec Cat, Islands, Other",Australia,336131026.1977539,395023.98993966554
"Areas, nes., Spec Cat, Islands, Other",Azerbaijan,155828.40155792236,213.09300000000002
"Areas, nes., Spec Cat, Islands, Other",Belarus,60200.0,67.06757142857143
"Areas, nes., Spec Cat, Islands, Other",Belize,61.6740951538086,0.0544274489402583
"Areas, nes., Spec Cat, Islands, Other",Bolivia,67.0,0.031
"Areas, nes., Spec Cat, Islands, Other",Chile,14237.5,7.02
"Areas, nes., Spec Cat, Islands, Other",China (mainland),249195.0,167.54424874972014
"Areas, nes., Spec Cat, Islands, Other",Croatia,44339.315181732214,45.365000408142826
"Areas, nes., Spec Cat, Islands, Other",Czech Republic,1203162.2558975224,954.7121215698013
"Areas, nes., Spec Cat, Islands, Other",Côte d'Ivoire,1138488.901939392,1096.3835364395838
"Areas, nes., Spec Cat, Islands, Other",Denmark,89.11279726028447,0.0540000009350479
"Areas, nes., Spec Cat, Islands, Other",Egypt,6047317.138671875,5711.143345945603
"Areas, nes., Spec Cat, Islands, Other",France,11822235.257945418,7873.99891588916
"Areas, nes., Spec Cat, Islands, Other",Germany,13532170.46484375,13564.099809646623
"Areas, nes., Spec Cat, Islands, Other",Ghana,77.4179534912109,0.05
"Areas, nes., Spec Cat, Islands, Other",Hungary,13708.990048885351,8.74599971971474
"Areas, nes., Spec Cat, Islands, Other",India,2906462.734848023,3454.4545861942634
"Areas, nes., Spec Cat, Islands, Other",Iran,1948809.0,4623.406
"Areas, nes., Spec Cat, Islands, Other",Ireland,84706.0596408844,51.21486941193097
"Areas, nes., Spec Cat, Islands, Other",Israel,164000.0,226.80722712044445
"Areas, nes., Spec Cat, Islands, Other",Kenya,720581.75,984.63
"Areas, nes., Spec Cat, Islands, Other",Mexico,4134.0,3.7473345852895146
"Areas, nes., Spec Cat, Islands, Other",Netherlands,1466090468.190266,1192996.7192453113
"Areas, nes., Spec Cat, Islands, Other",Nicaragua,47283.630157470696,51.552252929687576
"Areas, nes., Spec Cat, Islands, Other",Panama,276905.12866210943,142.0469895327033
"Areas, nes., Spec Cat, Islands, Other",Poland,12722531.659719348,12460.123164803283
"Areas, nes., Spec Cat, Islands, Other",Portugal,36501.12109375,72.0
"Areas, nes., Spec Cat, Islands, Other",Qatar,70305.30746722226,37.32428987767375
"Areas, nes., Spec Cat, Islands, Other",Russia,2114018.2052326202,1778.366766191569
"Areas, nes., Spec Cat, Islands, Other",Senegal,2311998.2619628906,4158.85
