Export_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891
Albania,121209827.51995659,238976.01437716436,507.2049922493767
Algeria,1045804569.831336,1745088.635317495,599.2844997475249
Andorra,224879.00421142578,278.9250000391006,806.234665877571
Angola,20946916.59423828,51277.096999988076,408.5043385791351
Anguilla,538916.6552734375,617.982,872.058822544083
Antigua and Barbuda,112004.9306640625,73.24525,1529.1767133576923
"Areas, nes., Spec Cat, Islands, Other",2087718730.9233432,1806780.4132266936,1155.4911242340331
Argentina,618486289.9763124,879185.3786380867,703.4765420398443
Armenia,25481098.92582512,47946.7225764928,531.4461042707001
Australia,3487405983.7325444,3827247.4077995676,911.204741200044
Austria,20371381847.321857,19974645.43039817,1019.8620004698516
Azerbaijan,292052118.3742292,557418.0458689388,523.9373223358059
Bahamas,123695.77719116211,145.78638281846048,848.4727777709763
Bahrain,733105413.2338214,1507585.1452940605,486.27794955543044
Bangladesh,116257930.89099407,167859.0802048688,692.5924456937539
Barbados,33062.818359375,24.006,1377.2731133622844
Belarus,1436250733.3719373,3142174.988656146,457.0880802492152
Belgium,56017531908.5475,56142681.19026796,997.7708709476071
Belize,10488191.341369629,18360.110618649825,571.2488099454008
Benin,7.2695000171661395,0.005,1453.9000034332278
Bhutan,1644688894.7047377,1461942.8129919542,1125.002209449481
Bolivia,37112.59996414185,21.80491333305835,1702.029235212578
Bosnia and Herzegovina,291583968.40153146,611143.3400036702,477.11224080390105
Botswana,3681859.401699901,9931.208464685133,370.7362920426456
Brazil,56862580489.19227,110558267.52708869,514.322282368073
British Virgin Islands,3080748.0922851562,3759.038889892578,819.5573875462604
Brunei Darussalam,130558.31204223633,162.94107458291043,801.260899846364
Bulgaria,220214013.79734764,245528.07990918,896.8995068865607
Burkina Faso,37930.18869781494,160.02,237.03405010508024
Cambodia,8351722.888763428,13580.263999978542,614.9897298592003
Cameroon,724420.5784606934,616.428,1175.190903821198
Canada,20347047543.564545,25653414.203509472,793.1516398616836
Cayman Islands,55026.0,47.43,1160.1518026565466
Chile,161348291.3324188,242154.9368444995,666.3018868619188
China (mainland),157745227260.328,202306003.36525017,779.73576975632
Colombia,135281922.65988246,116486.21082534862,1161.3556806540375
Congo,941158.3753335476,2589.1704001908306,363.4980437224916
"Congo, D.R.",494442.4754257202,622.4633554930496,794.3318607632336
Costa Rica,232576900.49335593,237813.22348375537,977.9813632156703
Croatia,766218787.5441556,1143684.6907265796,669.9563207909856
