Export_country,Nominal Value (SUM),Tons (SUM),Price
Holy See Vatican,160.199996948242,0.001,160199.99694824198
Benin,1359.678439855578,0.0264931776515589,51321.83302955251
New Caledonia,6981.7827577591,0.2134249992668629,32713.050400572803
Syria,2909.464454650884,0.21112600004673,13780.701827377548
Sudan,1726044.3037509918,127.5780000000475,13529.325618447923
Greenland,35457.15275430679,3.130999891666697,11324.54614536323
Dominican Republic,10160282.485263826,1651.7533087654197,6151.210614409479
"Rest of America, nes.",839466.8291029936,185.2472933613895,4531.601049983065
Afghanistan,435996.8545608521,117.6410829003928,3706.1615195264094
Macao,259553.88485717773,85.56801126913189,3033.3050985702894
Haiti,3900.323684692383,1.299000000026077,3002.5586486636525
South Sudan,32037.894989013672,11.83599999961257,2706.8177585385583
Saint Barthelemy,133.8957901000977,0.0519833862857952,2575.7419757913235
Guinea,20007.62976074219,7.856500005960465,2546.633964941522
Maldives,39060.97884225845,16.501349999964237,2367.138376093053
Liechtenstein,5020259.818689823,2325.1269183836384,2159.133670939462
"Other Europe, nes.",391254118.2239097,184864.2262110095,2116.4404073361425
Estonia,121032713.98943897,60046.50520360863,2015.649596575776
Antigua and Barbuda,143866.9306640625,75.58725,1903.322725248802
Guyana,9753.115692138672,5.12599982374907,1902.6757759436296
Barbados,59820.48141479498,32.214999999441204,1856.913903952588
Bolivia,41632.73969650269,22.962593333105552,1813.0678487642808
Ecuador,15720950.17491889,8767.584754007186,1793.0764989450142
Kosovo,2746388.000526428,1544.515582611437,1778.1549318414054
Gambia,35157.82500076294,20.178,1742.3840321519942
Finland,12988480199.942127,7511569.710413281,1729.1299556118358
Iceland,1855524135.0732296,1097975.9277186082,1689.9497413651566
Slovenia,5975934761.535737,3591115.166489587,1664.088865013309
Paraguay,117475222.50195312,71888.48416210413,1634.1313058855671
Falkland Islands,18533.630859375,11.394869998931885,1626.4890131359357
Denmark,1543240176.4250023,951829.5817632664,1621.3408429334024
Sweden,26993193294.76813,16806216.585729565,1606.1433670733777
Mauritius,4620628.302507162,2940.5763431827822,1571.334243104856
Monaco,15883.0302734375,10.14,1566.3737942246055
Singapore,1830059999.0306792,1185277.780987235,1543.9924955873178
Bahamas,258853.6525440216,169.6463828155361,1525.8424509144086
Israel,19025720.094228864,12535.720575912705,1517.7204995129398
Cyprus,45566847.61932379,31313.296990541392,1455.191627795945
Namibia,2660085.1227471903,1841.2266596793847,1444.735284905333
Liberia,943589.1610393524,659.3486014333041,1431.0929893354755
Jamaica,122702.02780151369,86.6453392124351,1416.141120997583
Seychelles,725351.3877258302,521.0339679647543,1392.138386983048
Grenada,220086.1480712891,161.11200000000002,1366.04441674915
Indonesia,40872155430.210304,30249628.87418372,1351.1622109550003
"Areas, nes., Spec Cat, Islands, Other",2578952464.6177645,1922625.7642688595,1341.3699704573005
Cayman Islands,66362.7646484375,50.297,1319.4179503437083
Norway,12081997609.127382,9286993.758317117,1300.9589457629556
Ireland,178949058.11944404,140487.44697474496,1273.7725823404935
Vanuatu,46651.453125,36.8899993896484,1264.6097559462344
Djibouti,110419.95345687866,88.34567704467389,1249.8625529921792
Zambia,562179863.8003476,454455.39099144447,1237.040807402219
Spain,17280109814.425983,14051017.28480222,1229.8120103457843
Colombia,143819180.06766504,118464.11779160814,1214.0315797620622
Nicaragua,1095889.9850234988,929.4031298428056,1179.13309072765
Solomon Islands,65920.15185546875,56.73790019989014,1161.8362967827347
Papua New Guinea,382116.85705566406,329.2911318075163,1160.4225566542937
Malta,26833052.11945575,23228.81926076255,1155.1621207360015
Tanzania,14297273.66900985,12436.16408123258,1149.653026095552
Hong Kong SAR,679394449.123818,591590.9697301207,1148.4192353946048
Romania,6039679485.829004,5259963.711785918,1148.2359606960763
Turkmenistan,325366.6053314209,284.3435009155496,1144.2730510237868
Réunion,2754250.282409668,2410.103902182305,1142.7931716619123
Italy,32390928831.592564,28415040.13672189,1139.9219806039434
Gabon,310941329.7184792,273648.58658551803,1136.2796848260232
Bhutan,1668485645.7691908,1470428.6405977835,1134.6933810340429
Cameroon,903091.4754333496,817.3580179598059,1104.890948139888
United States,42251471960.0,38449576.61557907,1098.880031435261
Thailand,3755355125.363813,3417710.011929505,1098.7927917394277
Macedonia,435645653.348952,399088.0137417044,1091.602950598532
Austria,22206234083.627617,20350132.385682188,1091.208335295712
Curacao,3466.813949584966,3.2520000466108323,1066.0559347771252
Lithuania,240476659.21864283,230077.97278629863,1045.196358027731
Georgia,3325142497.095176,3207071.0026901504,1036.8159901374136
Switzerland,1949426733.132568,1892006.016706722,1030.3491193573443
Guatemala,92792973.6718502,90205.831898311,1028.6804269645856
Brunei Darussalam,174966.2918319702,171.48239530509974,1020.316350962278
Belgium,57465915190.57436,56609320.14511883,1015.1316963930964
Germany,89018226976.43394,88579845.25926901,1004.949000710961
United Kingdom,20496243554.87185,20645312.6850548,992.779516955882
Netherlands Antilles,1083477.534081936,1116.5749085513498,970.3581244608528
Czech Republic,6852165334.132533,7115836.387697323,962.9458802593248
Togo,232205.54288864136,243.99599488289704,951.6776822508322
Sierra Leone,4525769.121688128,4798.611502280001,943.1413898661656
Luxembourg,2883619487.726397,3097845.497596222,930.8467739801569
Bulgaria,314061004.14601624,337674.4907656063,930.0702680677732
Kenya,123140423.7549217,132973.30847603892,926.0536957844512
Australia,3571278266.2526712,3857884.2049859785,925.7090354441189
Mozambique,3172432.465283394,3455.4939526883977,918.083639768844
Moldova,813615.9289898872,886.6557398238544,917.6232583251788
Tunisia,258427194.2067228,284211.6711543753,909.2772058131028
Netherlands,32825137290.035072,36257377.36388973,905.3367804458752
Nepal,153785659.50578696,171350.53671198437,897.491554195004
El Salvador,120558196.19450618,134817.79566640448,894.2305843126044
Poland,10967624181.263657,12284199.590373844,892.8236716259572
France,46595615773.24344,52446064.29130663,888.4482830672015
Somalia,110155.46368408205,124.378,885.6507073926421
Malawi,96738.06165647508,109.91055297673245,880.1526244432059
Anguilla,540141.9118118286,618.0219999998546,873.9849257986862
Slovakia,17279009951.09066,19858978.59771016,870.085531643758
Honduras,335027017.54973745,387992.9529382464,863.4873778314754
Lesotho,227963.92775368705,270.7958896498194,841.8293499523917
Latvia,1001989156.3397498,1193000.824098155,839.8897436614936
Costa Rica,252808095.58712688,301260.3736427684,839.1681007702138
South Korea,91325102746.91136,110019707.99012128,830.0794868053227
Taiwan,31090353362.172604,37467837.376385614,829.7877737071511
British Virgin Islands,3211073.1234283447,3873.743867080258,828.9327414537127
Morocco,143860635.05097067,176776.16254139182,813.8010972903994
"Congo, D.R.",507030.8979349136,623.8401586605082,812.7577086790884
South Africa,14636942775.507751,18149958.166817404,806.4449868687681
Myanmar,90244512.4957044,113304.5487512292,796.4774008662682
Hungary,4183076335.73447,5252171.990467486,796.4469448690202
Canada,20426193582.16062,25801908.266625863,791.654375757215
Dominica,635727.4755859375,803.8939965667718,790.8100798127228
China (mainland),160224774008.7148,203206528.40451112,788.4824137626372
Yemen,10370490.733909609,13155.95725,788.2733682423304
Japan,104414097067.09642,136886304.25688353,762.7797217108797
Mauritania,667640.4223060608,895.9744506509481,745.1556479328212
Serbia,3059534388.2143893,4119606.509794275,742.6763650704049
Turkey,13206242650.352757,18066868.513547104,730.9646738420828
Ghana,14337135.763652802,19985.163341994103,717.3889709235798
Mexico,13829343505.060364,19435840.210043658,711.5382384093648
Malaysia,16219782813.539888,22937731.700213637,707.1223530524086
Argentina,655754450.3063151,927528.2817228768,706.9913265482925
Panama,23206472.130984783,33002.79877412007,703.1667916959422
Peru,52767026.54386096,75162.89780818972,702.0355532129508
Croatia,815146145.9856507,1161641.3141572566,701.7193139149152
Kyrgyzstan,6258819.638039112,9027.45957854899,693.3090736746462
India,51749145456.06774,74711860.66285118,692.6496676289961
Uzbekistan,61720502.96675754,89909.71080826582,686.4720441419025
Senegal,168535959.08135608,247077.72900618968,682.1171611025047
Greece,1151906030.269097,1696099.1503468496,679.1501723431288
Andorra,252827.34057617188,375.95200003980096,672.4989906940401
Vietnam,14580267055.255411,21788485.04162151,669.1730529866312
Portugal,2107408885.9481337,3154058.7357295635,668.1577809807876
Kuwait,281650181.3634769,429972.2170310564,655.0427451063276
New Zealand,316010633.5315395,486779.7224852063,649.1861080781633
Philippines,82176148.25113654,127971.40538638436,642.1446103762157
Cambodia,8649598.936033249,13596.244889936112,636.1755768635535
Egypt,3776739618.177466,5956261.460648205,634.0788837309457
Lebanon,22002189.41103602,35154.4341363581,625.8723814382348
Swaziland,12954419.061145902,21252.69605469793,609.542385954478
Tokelau,419604.5287475586,696.1174358895296,602.7783634112963
Kazakhstan,7362530433.754189,12277005.262132498,599.7008453244997
Jordan,17807649.435503483,29720.211103241367,599.1764114206219
Uganda,19173236.02484393,32027.22360426036,598.6543280102946
Belize,10970392.075454712,18483.501499394057,593.5234769134167
Algeria,1059745491.6446644,1820350.7791765293,582.1655385145388
United Arab Emirates,7423749651.898321,12757701.510698656,581.9033817081186
Saudi Arabia,1438406004.1974971,2479399.244220828,580.1429550122849
East Timor,50569.0,90.111,561.185648810911
Azerbaijan,311219618.73467994,563622.592836926,552.1773305221739
Chile,168162969.6466893,307115.8924670588,547.5554140029612
Côte d'Ivoire,13740920.460034495,25160.15169335112,546.138219972088
Bahrain,830717009.6138163,1523185.345051926,545.3814352353139
Armenia,25756672.13842392,47955.84144648902,537.0914441604409
Oman,10357274964.514242,19289211.250886977,536.9465256925932
Uruguay,20479882.79680729,38326.28006870011,534.356132661374
Brazil,57392160047.030624,111389033.74513838,515.240667033217
Albania,122455584.23826504,239268.084901062,511.792386723456
Nigeria,17654700.34740001,35020.99039331558,504.1176776876574
Qatar,2501066251.269365,5021467.90746731,498.0747258286937
Ukraine,56435667254.18837,115103135.2317559,490.30521315129465
Bosnia and Herzegovina,301813930.5444627,623204.6754643423,484.2934310779757
Pakistan,635987076.230025,1317686.5965658154,482.6542805304
Ethiopia,34084.152311325095,71.44145414312669,477.0920849824877
Niger,2674918.9541625977,5630.316782942279,475.0920875831687
Russia,120611447523.8844,257112971.5436996,469.0990376710144
Belarus,1453950376.1233656,3146650.668809504,462.0628500441232
Zimbabwe,3288964.2351660137,7360.428241652352,446.84414101803264
