Import_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,256282239.11032104,470705.79177134327,544.4637469742806
Albania,237157557.50191146,350217.7017590115,677.1718171604647
Algeria,5505275710.487755,10715505.219806071,513.7672557251004
American Samoa,1594042.9860172272,493.85630958580293,3227.7465227773446
Andorra,1208161.6091270451,863.2561525891682,1399.5401081166933
Angola,564127756.7841561,736405.0071967548,766.0563837440486
Anguilla,423278.95751953125,132.919099994421,3184.4855821119572
Antigua and Barbuda,2371912.708141327,908.9875468297616,2609.400663863602
"Areas, nes., Spec Cat, Islands, Other",1040939663.4134986,1325647.3481916655,785.2312040856563
Argentina,3425399701.2885766,4444789.408251994,770.6551169621523
Armenia,72136360.25130749,83049.18276522604,868.5980746521215
Aruba,11963374.560173988,21998.4821908212,543.8272720999665
Australia,3450754696.793782,3419602.610522467,1009.109855681902
Austria,16722804128.704227,16384072.548211494,1020.6744433959253
Azerbaijan,599328965.2312477,901058.6756829915,665.1386656667654
Bahamas,43909791.06248951,26758.90754727645,1640.9410954057687
Bahrain,347866430.6755742,380911.36244884325,913.2477131665847
Bangladesh,7967193606.632029,15333573.803109167,519.5914343867137
Barbados,7760955.736528873,4307.459224286556,1801.7479289811085
Belarus,3025621387.61459,4863583.363292798,622.0971579206467
Belgium,33281225783.546787,47858980.86481137,695.4018907664837
Belize,15211687.642616034,16211.662522888868,938.317561270413
Benin,111831198.6889087,149510.93656587234,747.9800558913461
Bermuda,5205811.4239645,3279.6230284160547,1587.320060524983
Bhutan,314403115.8712361,849580.1284257653,370.0688202933975
Bolivia,444820972.6397533,595714.5551704112,746.701534785409
"Bonaire, Saint Eustatius and Saba",232093.9617233277,57.71917746327166,4021.089210271848
Bosnia and Herzegovina,479230972.44207287,458077.23165398004,1046.179419814674
Botswana,277474035.5283501,257996.6137434892,1075.494873759181
Brazil,9325477920.890633,9681106.464016676,963.2657130207311
British Indian Ocean Territories,16433.967768907547,2.833552523058456,5799.775241564673
British Virgin Islands,39708322.33817482,62664.08798189321,633.6695165762014
Brunei Darussalam,60829342.237811804,82239.09311806803,739.6645552800669
Bulgaria,4674471199.021873,7375675.833186815,633.7685257246685
Burkina Faso,49284418.96976566,63855.60667650949,771.8103630185363
Burundi,13944357.609813096,11536.234715477556,1208.74427000906
Cambodia,200770837.37580645,195844.7705227071,1025.1529149333512
Cameroon,612297173.6086979,999014.649137661,612.901096232399
Canada,22698617367.43889,21907313.731906287,1036.1205232743862
Cape Verde,5761928.74148655,6264.950425623932,919.7085930512715
"Caribbean, nes.",9726.13989257813,8.043381904126504,1209.2102561471463
Cayman Islands,7371708.986173272,3259.952658858751,2261.2932633058454
Central African Republic,3973088.818171501,3922.751877215541,1012.8320481466931
Chad,12213160.915078402,11730.348484580061,1041.1592572149934
Chile,3047354283.5598702,4116527.992993257,740.2729408731758
China (mainland),82954180121.21046,110442975.46692868,751.1041763452894
Christmas Island,229393.45152282715,73.36900000274181,3126.5718697849866
Cocos (Keeling) Islands,87681.28497314453,216.14449999842049,405.6604955193645
Colombia,4335956211.932371,6347297.755122869,683.1184512232539
Comoros,16836460.388626575,16267.774899321754,1034.9577918814534
Congo,75428579.72710457,73173.93215474088,1030.8121691150313
"Congo, D.R.",331536781.3092278,249344.92401430078,1329.6311630158273
Cook Islands,906001.4731063845,457.6675271806452,1979.6061972925995
Costa Rica,2101800002.97812,3105822.467933049,676.7289581676848
Croatia,1358919722.0533977,1115421.5307065411,1218.301498261933
Cuba,248944605.4588673,271582.60279130505,916.6441550387759
Curacao,3242321.0119132996,1904.9496486551566,1702.0507676947216
Cyprus,91859624.45014042,93517.3705845768,982.2733880981275
Czech Republic,20816506757.051796,23289147.83417543,893.8286151674823
Côte d'Ivoire,476341560.37761116,632152.7618694785,753.5228652152311
Denmark,9050051294.92717,11473467.282701088,788.7808516761294
Djibouti,1489138222.0771985,2119845.5118487445,702.4748802465808
