Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Difference,Ratio
Afghanistan,435996.8545608521,117.6410829003928,3706.1615195264094,256282239.11032104,470705.79177134327,544.4637469742806,-470588.15068844287,-0.9997500751319467
Albania,122455584.23826504,239268.084901062,511.792386723456,237157557.50191143,350217.7017590115,677.1718171604647,-110949.6168579495,-0.3168018529637177
Algeria,1059745491.6446644,1820350.7791765293,582.1655385145388,5505275710.487755,10715505.219806071,513.7672557251004,-8895154.440629542,-0.8301199297806442
Andorra,252827.34057617188,375.95200003980096,672.4989906940401,1208161.6091270451,863.2561525891682,1399.540108116693,-487.30415254936725,-0.5644954294131511
Angola,20999378.6033516,51284.89682996727,409.4651622869413,564127756.7841561,736405.0071967548,766.0563837440486,-685120.1103667875,-0.9303577564943624
Anguilla,540141.9118118286,618.0219999998546,873.9849257986862,423278.9575195313,132.919099994421,3184.485582111957,485.10290000543364,3.649610176609643
Antigua and Barbuda,143866.9306640625,75.58725,1903.322725248802,2371912.708141327,908.9875468297616,2609.400663863602,-833.4002968297616,-0.9168445703534415
"Areas, nes., Spec Cat, Islands, Other",2578952464.6177645,1922625.7642688595,1341.3699704573005,1040939663.4134986,1325647.3481916655,785.2312040856563,596978.416077194,0.4503297327841683
Argentina,655754450.3063151,927528.2817228768,706.9913265482925,3425399701.2885766,4444789.408251994,770.6551169621523,-3517261.1265291176,-0.7913223335168884
Armenia,25756672.13842392,47955.84144648902,537.0914441604409,72136360.25130749,83049.18276522604,868.5980746521215,-35093.34131873702,-0.42256094702272173
Australia,3571278266.2526712,3857884.2049859785,925.7090354441189,3450754696.793782,3419602.610522467,1009.109855681902,438281.59446351137,0.1281674055093051
Austria,22206234083.627617,20350132.385682188,1091.208335295712,16722804128.704227,16384072.548211494,1020.6744433959252,3966059.8374706935,0.242068010001801
Azerbaijan,311219618.73467994,563622.592836926,552.1773305221739,599328965.2312477,901058.6756829916,665.1386656667654,-337436.08284606563,-0.37448846779072753
Bahamas,258853.6525440216,169.6463828155361,1525.8424509144086,43909791.06248951,26758.90754727645,1640.9410954057687,-26589.261164460913,-0.9936601902556818
Bahrain,830717009.6138163,1523185.345051926,545.3814352353139,347866430.6755742,380911.36244884325,913.2477131665848,1142273.982603083,2.998792094989005
Bangladesh,136089219.1500427,321374.312196683,423.460164628078,7967193606.632029,15333573.803109167,519.5914343867137,-15012199.490912484,-0.9790411344202408
Barbados,59820.48141479498,32.214999999441204,1856.913903952588,7760955.736528873,4307.459224286556,1801.7479289811083,-4275.244224287115,-0.9925211131848203
Belarus,1453950376.1233656,3146650.668809504,462.0628500441232,3025621387.61459,4863583.363292798,622.0971579206467,-1716932.6944832946,-0.35301804579759016
Belgium,57465915190.57436,56609320.14511883,1015.1316963930964,33281225783.546787,47858980.86481137,695.4018907664837,8750339.280307464,0.1828358883158168
Belize,10970392.075454712,18483.501499394057,593.5234769134167,15211687.642616034,16211.662522888868,938.317561270413,2271.838976505189,0.14013608865208194
Benin,1359.678439855578,0.0264931776515589,51321.83302955251,111831198.6889087,149510.93656587234,747.9800558913461,-149510.91007269468,-0.9999998228010721
Bhutan,1668485645.7691908,1470428.6405977835,1134.6933810340429,314403115.8712361,849580.1284257653,370.0688202933975,620848.5121720182,0.7307709907509528
Bolivia,41632.73969650269,22.962593333105552,1813.0678487642808,444820972.6397533,595714.5551704112,746.701534785409,-595691.5925770781,-0.9999614536976916
Bosnia and Herzegovina,301813930.5444627,623204.6754643423,484.2934310779757,479230972.44207287,458077.23165398,1046.179419814674,165127.44381036237,0.3604794833703839
Botswana,4670091.236028553,12461.095668536356,374.7737245786741,277474035.5283501,257996.6137434892,1075.494873759181,-245535.51807495285,-0.9517005456477592
Brazil,57392160047.030624,111389033.74513838,515.240667033217,9325477920.890633,9681106.464016676,963.2657130207313,101707927.2811217,10.505816422859917
British Virgin Islands,3211073.1234283447,3873.743867080258,828.9327414537127,39708322.33817482,62664.08798189321,633.6695165762014,-58790.34411481295,-0.93818239454471
Brunei Darussalam,174966.2918319702,171.48239530509974,1020.316350962278,60829342.23781181,82239.09311806803,739.6645552800669,-82067.61072276294,-0.9979148311489902
Bulgaria,314061004.14601624,337674.4907656063,930.0702680677732,4674471199.021873,7375675.833186815,633.7685257246685,-7038001.3424212085,-0.9542178237760611
Burkina Faso,49245.11626052856,160.80200000000002,306.2469139720187,49284418.96976566,63855.60667650949,771.8103630185363,-63694.804676509484,-0.997481787295286
Cambodia,8649598.936033249,13596.244889936112,636.1755768635535,200770837.37580645,195844.7705227071,1025.1529149333512,-182248.525632771,-0.9305764210417877
Cameroon,903091.4754333496,817.3580179598059,1104.890948139888,612297173.6086979,999014.649137661,612.901096232399,-998197.2911197012,-0.9991818358032435
Canada,20426193582.16062,25801908.266625863,791.654375757215,22698617367.43889,21907313.731906287,1036.1205232743862,3894594.534719575,0.17777599674611877
Cayman Islands,66362.7646484375,50.297,1319.4179503437083,7371708.986173272,3259.952658858751,2261.2932633058454,-3209.655658858751,-0.9845712483390455
Chile,168162969.6466893,307115.8924670588,547.5554140029612,3047354283.5598702,4116527.992993257,740.2729408731758,-3809412.1005261983,-0.9253944360417806
China (mainland),160224774008.7148,203206528.40451112,788.4824137626372,82954180121.21046,110442975.46692868,751.1041763452894,92763552.93758245,0.8399226165846989
Colombia,143819180.06766504,118464.11779160814,1214.0315797620622,4335956211.932371,6347297.755122869,683.1184512232539,-6228833.637331261,-0.9813362910703226
