Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Difference,Ratio
Ukraine,56285873423.93823,114474448.75268944,491.68940350643845,2669614115.0918794,2993415.9970440585,891.8286391627735,111481032.75564538,37.24207823627948
Russia,119023292747.44728,252013052.7225824,472.29019077225695,7505180857.672239,8804172.188609716,852.4573005718778,243208880.53397268,27.62427577786598
Iceland,1373337227.7525978,925242.546619821,1484.299692842484,52301791.97647268,51507.46016863944,1015.4216846498068,873735.0864511816,16.96327257431263
Brazil,56862580489.19227,110558267.52708869,514.322282368073,8298699654.963992,9379886.163980316,884.7335148726874,101178381.36310837,10.786738729478753
Georgia,3316946418.481977,3203876.200754472,1035.2916937617251,253825759.6111361,379000.3381795996,669.724361804801,2824875.862574873,7.453491667430197
Norway,11037633242.63706,8911731.760316972,1238.5508832061698,1236075724.2467842,1084666.5275446326,1139.5905495902946,7827065.232772339,7.2161028611167
Venezuela,1952669059.526749,5266864.881756889,370.7459946979671,674694736.9461055,678296.1235419944,994.6905393221432,4588568.758214895,6.764845911626103
Anguilla,538916.6552734375,617.982,872.058822544083,110007.712890625,88.92,1237.153766201361,529.062,5.949865047233469
"Other Africa, nes.",15356.17006874085,34.02,451.3865393515829,2641.0,6.055,436.168455821635,27.965000000000003,4.61849710982659
Gabon,301316507.3569012,270633.97439329146,1113.372805585086,53481906.85458136,55743.63052155933,959.4263300431566,214890.34387173213,3.8549757498952535
South Africa,14244421509.94068,17795608.755477134,800.4458687346972,3491987766.0907483,3966841.654392421,880.2942164893639,13828767.101084713,3.4860900196942164
Japan,101495794396.7084,136118681.04876637,745.6419178815444,29543652475.693275,33028302.14139705,894.4950409262431,103090378.90736932,3.121273944571246
Bahrain,733105413.2338214,1507585.1452940605,486.2779495554304,331936088.8771948,377288.5099715661,879.7937920298999,1130296.6353224944,2.995841658172092
Serbia,3032240787.790918,4019323.798045536,754.4156530174046,1021104874.17269,1020102.6835806106,1000.9824408936576,2999221.1144649256,2.9401168752321207
Slovakia,17258337149.640293,19835488.051491205,870.0737337462607,6649030435.855892,6467076.028096452,1028.1354984801374,13368412.023394752,2.0671493523990114
Kazakhstan,7208563394.613437,12080254.568172315,596.7228052963172,2154582137.7635727,4198858.125805976,513.1352556357207,7881396.442366339,1.87703328053112
Tokelau,417527.4587402344,690.7314958947177,604.4714353142433,153468.16625976562,249.68100130558025,614.6569641153377,441.05049458913743,1.766455966945372
Iran,13063317252.267376,29321299.20550388,445.5231386819064,7489451633.987148,10946534.846878693,684.1846976006932,18374764.35862519,1.6785918663443151
