,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Netherlands,Oman,Russia,Slovakia,South Korea,Taiwan,Turkey,Ukraine,United Kingdom,United States,Vietnam
Belgium,337501514.96144104,0.0,839748538.0,204728516.42292783,1691802565.5538642,3768162836.320196,4069335235.124939,1819162466.7818704,114804345.74395752,50051702.423828125,543349246.0113608,36491973.16345216,22454019.58007813,64719513.80639648,4441501906.623244,772926.25,8043118317.175373,57902999.18688108,1278880524.0,1136422980.8790288,398859358.0171833,94293106.3291016,217575269.66486645,45511326.0,412676312.9345617
Brazil,40669263.420249805,3320219.0,0.0,17407929.0,2886082438.0,3912054.9486694336,363195419.34069824,256325952.0,33688293.0,96129996.0,87015683.49719238,258016910.0,1674528.0,25795186.0,127049289.0,2760270.0,982403901.0,33248.0,712326467.0,135114976.0,5950938.0,112520639.0,11995002.544982873,25569186.0,258317914.0
Canada,25.322500705719,38928804.8400078,2096603727.0,0.0,352109314.0,27480278.70863343,105441725.29479982,195280306.05629584,3438588.34375,5592224.531860352,131196205.00390618,22240081.61572266,23867035.80249024,748554672.2847401,56290942.373781696,46986375.4375,96389241.56117631,1.1599999666214,371077819.0,166541626.7574463,178583011.9634219,97189471.76058578,26374508.03735351,14915778836.0,21927759.484062664
China (mainland),18364917.030591704,224816450.9085951,1828154547.0,279549161.0,0.0,7776993.10900116,646708911.0469971,2609313436.071129,7235895709.547824,1996352274.0,81213287.18371582,15951984191.491089,2224276171.406176,156091560.0,133023473.57365322,2231359362.0,2303706094.583358,391766.4072189331,15616342864.0,7054091626.961117,97148618.12332156,694833742.4179535,6125038.43664551,305557968.0,3285037160.0
France,540122941.808554,17763997470.78885,425707070.0238904,21445196.851445675,212324950.95834175,0.0,13579784621.958372,110108225.57710548,2627036.0649414062,8492030.071071625,2583251193.381029,12966374.051891323,71929805.27014542,9523408.34730529,1988897887.1958835,490.773406982422,670547524.7096922,185676592.52538395,77649404.73847486,33089183.25471545,84900009.91101359,201949367.6673737,2339178646.630492,88734032.0,19388262.9451282
Germany,6769781005.703491,13356872118.073914,2725039120.946656,425740683.3461915,687043252.2635499,9103371388.190796,0.0,414841862.8757325,13042595.494140623,46942692.892333984,5551039065.085327,7749837.94604492,228653084.545166,60099520.99951175,7511989248.892945,1209.40002441406,2070213461.4134529,1333648346.708191,530936855.8265383,185524443.56640625,340897807.3198242,873453594.1396488,974413092.9617794,34873290.0,48020340.57513428
India,2977709.211930753,395229103.1805252,169970217.0,61114093.45124438,5582860155.679533,104531354.61519337,655836117.3980713,0.0,521438473.9637451,41235956.60575867,291017011.7449952,2974845028.074097,1117473267.115592,33589691.69598387,150143238.98461387,334085282.0613098,657670904.2339948,1503398.467041016,7999009453.0,1066736400.4526064,25637662.74634075,170419693.91349134,11189157.12963867,399157009.0,127550612.71003726
Indonesia,66.8199996948242,1797864.3470573432,707430941.0,5140995.0,7246392664.550186,91853.966796875,40718617.13031005,3480160133.0,0.0,53971828.0,16627406.429687502,7149579153.85901,1961147503.4279785,51090727.0,604234.3566894522,3365992470.0,889363608.6710205,109.0809020996094,5036255428.0,1735467020.9449005,42325124.92814801,862460815.623047,0.0,7394741.0,1993193228.0
Iran,995478.923583984,13134694.28812408,70000.0,0.0,1701364234.0,71232.8974609375,16704164.93536377,661660758.5743773,600.0,0.0,8511058.262451172,52447496.788330086,7949916.197265625,0.0,6014037.306640625,31181887.0,427849240.1767208,80.8488006591797,1045407854.0,2633389.956359864,181453411.8761544,5369648.907104492,57025.7646484375,0.0,552347.400390625
Italy,4227696806.0910807,2692480513.639049,1203498974.681763,14238258.35144044,4508945344.23816,6948865961.732206,7384074983.703675,4961344839.256227,216869157.0,529434453.30346674,0.0,210398446.48510745,268173187.8416749,17276277.535400394,1507407676.291475,190527870.8535156,10853422736.80237,1018276720.7754614,2442678119.813477,1012902876.8790286,1451514414.4309084,11761612744.795172,454954895.8772669,80352306.0,332998039.9160157
