,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Netherlands,Oman,Russia,Slovakia,South Korea,Taiwan,Turkey,Ukraine,United Kingdom,United States,Vietnam
Austria,0.0,0.027927916802522355,1.0941665108068939,0.8139225197564958,0.8763185046273916,0.32144450346781195,0.07507128392020564,0.5805440237932181,0.446287252291356,1.9484766912915188,0.0413843555436133,0.46178875391490964,0.5819521712842559,0.7029888577120056,0.17795840945604807,1.6257114369078582,1.299794179573101,0.13580083584576375,0.26138052434421966,0.288770031826153,0.5687706600786081,1.7873420010523913,0.6495365792563722,0.41130850107233596,0.730974870572212
Belgium,0.027927916802522355,0.0,1.1942238115497155,0.44389261777909395,0.5146157763392084,0.3360485044682339,0.03362680107539634,0.7306481487469433,0.38496714463300125,1.391905340237479,0.022340096948760435,0.41898516400166985,0.5187370621138638,0.567976286613717,0.1383399771046968,1.576557882488216,1.3091822095973127,0.09305650794762081,0.2423583304414658,0.2670289409534561,0.5075847779854336,1.256842027818925,0.5848091665597224,0.3405039894014286,0.6663575333897742
Brazil,1.0941665108068939,1.1942238115497155,0.0,1.018834639436175,0.44904298342092913,0.6226088808721071,1.0176127109719901,0.24895283065365448,0.49901799420969334,0.07298799783745993,1.2890378725478504,0.6100752673659021,0.18637934647701002,0.546011912816684,0.8324210887777491,0.31405373071892306,0.024966319766991537,1.0014786836377578,0.7778268146307897,0.6883963418271272,0.41109096100016373,0.014525221109532159,0.3023987187487025,0.9305255673740231,0.5823677396329988
Canada,0.8139225197564958,0.44389261777909395,1.018834639436175,0.0,0.5916912974858468,0.5227601657011716,0.7432380231583297,0.7312105767033454,0.7329158171851959,1.2101611147487819,0.5423389652589006,0.34405013757655667,0.7435896973083891,0.42253333316468666,0.4449772170080688,1.3310036963475604,1.1260861749115962,0.31921509271718773,0.4197837331147327,0.40787943507162233,0.7055963580373573,1.0862538953614342,0.7485967992750929,0.8821586590461488,0.6799896921942894
China (mainland),0.8763185046273916,0.5146157763392084,0.44904298342092913,0.5916912974858468,0.0,0.10563264849193832,0.4808798541075518,0.05709480174286883,0.1554464807833355,0.8190356122781209,0.5892330814155251,0.10649224090776753,0.07956951241559486,0.22140518913836157,0.27950984711792126,0.8042454955033204,0.6113369824442052,0.3126876557748594,0.3132663183733195,0.1488007465373004,0.04454489020381672,0.5100136256789564,0.05657522930064592,0.6381167015911057,0.17810006172737664
France,0.32144450346781195,0.3360485044682339,0.6226088808721071,0.5227601657011716,0.10563264849193832,0.0,0.20902804590845325,0.17495410394532787,0.23568526903910306,1.0201156286573798,0.38629749142311504,0.0622956992745434,0.216052868685864,0.10584122269375436,0.11890087517323723,0.98576822223807,0.8054384142451885,0.13798590013660897,0.12199916774610642,0.041934111046734585,0.10547003813092228,0.8307356155119675,0.1759459279398508,0.6426012892359074,0.19347787818452158
Germany,0.07507128392020564,0.03362680107539634,1.0176127109719901,0.7432380231583297,0.4808798541075518,0.20902804590845325,0.0,0.47593220609012815,0.3296617911730124,1.405612222005012,0.041864059333459394,0.36244946890226054,0.46449776979678503,0.5161983001955381,0.08703879493353599,1.4872168453490333,1.1969582288393827,0.07692706466072544,0.17614320296078975,0.18589445248829975,0.4223811867159188,1.0666480786007033,0.5069391603121682,0.4011011887554206,0.570486237578862
India,0.5805440237932181,0.7306481487469433,0.24895283065365448,0.7312105767033454,0.05709480174286883,0.17495410394532787,0.47593220609012815,0.0,0.2193169687044863,0.39339767833104666,0.8060158934010674,0.2142544110345863,0.01880271908673879,0.24992519443825306,0.5075170868240235,0.6592612041791203,0.40897638163145505,0.5032060635609866,0.5445134517475291,0.33971187664239266,0.07695865673600527,0.24566022870889911,0.07004982202141134,0.6746826255528836,0.2375891532852145
Indonesia,0.446287252291356,0.38496714463300125,0.49901799420969334,0.7329158171851959,0.1554464807833355,0.23568526903910306,0.3296617911730124,0.2193169687044863,0.0,0.659026138397285,0.3538521598139291,0.3263612596530768,0.2781662496806744,0.42947592742109125,0.3392707326765493,1.2394804099167844,0.5891242642403984,0.3269853096218647,0.3925050070931693,0.29958013199778866,0.2382559574046351,0.5478868763947573,0.2045573182793813,0.49115073869930204,0.3739725726906213
Iran,1.9484766912915188,1.391905340237479,0.07298799783745993,1.2101611147487819,0.8190356122781209,1.0201156286573798,1.405612222005012,0.39339767833104666,0.659026138397285,0.0,1.5033140452827418,0.8581679249326588,0.3520540703326546,0.9893371760491079,1.2047290009758118,0.3842919770845067,0.019687231078555457,1.2466214406859892,1.271481826007457,1.0266748912553454,0.6485420257252227,0.07189096161264318,0.48983369748072936,1.0316318730100678,0.8490972469022823
Italy,0.0413843555436133,0.022340096948760435,1.2890378725478504,0.5423389652589006,0.5892330814155251,0.38629749142311504,0.041864059333459394,0.8060158934010674,0.3538521598139291,1.5033140452827418,0.0,0.49110690573374827,0.5351897462933937,0.6623945494339615,0.2052590356272941,1.6182623798478073,1.4102221565642294,0.13199615522946218,0.30592588121059094,0.34854602130946305,0.5246752656579837,1.3500257879061333,0.599524562885692,0.33491478405234815,0.7017700296952264
Japan,0.46178875391490964,0.41898516400166985,0.6100752673659021,0.34405013757655667,0.10649224090776753,0.0622956992745434,0.36244946890226054,0.2142544110345863,0.3263612596530768,0.8581679249326588,0.49110690573374827,0.0,0.2535896370664293,0.08128107447721003,0.14210532952646684,0.8222688277807144,0.7478108086806317,0.20184196391678808,0.0990059072696485,0.05150835509703961,0.13732082238127646,0.6850505016489461,0.231631953472677,0.7689000715436598,0.14948410635084644
Malaysia,0.5819521712842559,0.5187370621138638,0.18637934647701002,0.7435896973083891,0.07956951241559486,0.216052868685864,0.46449776979678503,0.01880271908673879,0.2781662496806744,0.3520540703326546,0.5351897462933937,0.2535896370664293,0.0,0.32691634060052976,0.3912804968906425,0.7446366144189183,0.274111047182404,0.383578005172011,0.4118173045093552,0.3015879048593592,0.09489576735575925,0.22765559920350004,0.07982466568717181,0.5716463762223752,0.2026043718854884
Mexico,0.7029888577120056,0.567976286613717,0.546011912816684,0.42253333316468666,0.22140518913836157,0.10584122269375436,0.5161983001955381,0.24992519443825306,0.42947592742109125,0.9893371760491079,0.6623945494339615,0.08128107447721003,0.32691634060052976,0.0,0.2635045225676022,0.7573624101993208,0.7103571114852448,0.3525925361989422,0.22226093112383316,0.12569139808529078,0.18724900530799155,0.8067589238434629,0.21388293766714278,0.8688383039561421,0.21935362147135506
Netherlands,0.17795840945604807,0.1383399771046968,0.8324210887777491,0.4449772170080688,0.27950984711792126,0.11890087517323723,0.08703879493353599,0.5075170868240235,0.3392707326765493,1.2047290009758118,0.2052590356272941,0.14210532952646684,0.3912804968906425,0.2635045225676022,0.0,1.2339634572569091,1.0205746866175232,0.06648766358010091,0.029299244680097702,0.038850558289851914,0.3149468525025571,1.0567229478622446,0.39038470141283144,0.5896169991917088,0.38560878043229746
Oman,1.6257114369078582,1.576557882488216,0.31405373071892306,1.3310036963475604,0.8042454955033204,0.98576822223807,1.4872168453490333,0.6592612041791203,1.2394804099167844,0.3842919770845067,1.6182623798478073,0.8222688277807144,0.7446366144189183,0.7573624101993208,1.2339634572569091,0.0,0.3195938880482886,1.343639444137003,1.1118868904049481,1.0439720687299952,0.6676849207388714,0.3230896844009123,0.6282068770192629,1.718221721046951,0.4372084257845115
Russia,1.299794179573101,1.3091822095973127,0.024966319766991537,1.1260861749115962,0.6113369824442052,0.8054384142451885,1.1969582288393827,0.40897638163145505,0.5891242642403984,0.019687231078555457,1.4102221565642294,0.7478108086806317,0.274111047182404,0.7103571114852448,1.0205746866175232,0.3195938880482886,0.0,1.1368590473458766,0.9727496272416292,0.8778501049123388,0.5357941833522943,0.011861198970874825,0.4009913014643178,0.9908728672530811,0.7203270700493388
Slovakia,0.13580083584576375,0.09305650794762081,1.0014786836377578,0.31921509271718773,0.3126876557748594,0.13798590013660897,0.07692706466072544,0.5032060635609866,0.3269853096218647,1.2466214406859892,0.13199615522946218,0.20184196391678808,0.383578005172011,0.3525925361989422,0.06648766358010091,1.343639444137003,1.1368590473458766,0.0,0.13768012922314823,0.12933274609654744,0.35548064226643294,1.0665459104224322,0.5521248408596431,0.5212706762073316,0.4457438902799466
South Korea,0.26138052434421966,0.2423583304414658,0.7778268146307897,0.4197837331147327,0.3132663183733195,0.12199916774610642,0.17614320296078975,0.5445134517475291,0.3925050070931693,1.271481826007457,0.30592588121059094,0.0990059072696485,0.4118173045093552,0.22226093112383316,0.029299244680097702,1.1118868904049481,0.9727496272416292,0.13768012922314823,0.0,0.03850330606768828,0.30399227078585306,1.111553925996011,0.38567521664778154,0.7387635028141297,0.3263767680284834
Taiwan,0.288770031826153,0.2670289409534561,0.6883963418271272,0.40787943507162233,0.1488007465373004,0.041934111046734585,0.18589445248829975,0.33971187664239266,0.29958013199778866,1.0266748912553454,0.34854602130946305,0.05150835509703961,0.3015879048593592,0.12569139808529078,0.038850558289851914,1.0439720687299952,0.8778501049123388,0.12933274609654744,0.03850330606768828,0.0,0.20254018438265028,0.8705191941166882,0.2634214601399697,0.6694648979399278,0.2654239378986231
Turkey,0.5687706600786081,0.5075847779854336,0.41109096100016373,0.7055963580373573,0.04454489020381672,0.10547003813092228,0.4223811867159188,0.07695865673600527,0.2382559574046351,0.6485420257252227,0.5246752656579837,0.13732082238127646,0.09489576735575925,0.18724900530799155,0.3149468525025571,0.6676849207388714,0.5357941833522943,0.35548064226643294,0.30399227078585306,0.20254018438265028,0.0,0.46684614070301456,0.06254003653069061,0.733919261784331,0.08271045253230747
Ukraine,1.7873420010523913,1.256842027818925,0.014525221109532159,1.0862538953614342,0.5100136256789564,0.8307356155119675,1.0666480786007033,0.24566022870889911,0.5478868763947573,0.07189096161264318,1.3500257879061333,0.6850505016489461,0.22765559920350004,0.8067589238434629,1.0567229478622446,0.3230896844009123,0.011861198970874825,1.0665459104224322,1.111553925996011,0.8705191941166882,0.46684614070301456,0.0,0.35115238329831455,0.9563501521845719,0.6450763477809556
United Kingdom,0.6495365792563722,0.5848091665597224,0.3023987187487025,0.7485967992750929,0.05657522930064592,0.1759459279398508,0.5069391603121682,0.07004982202141134,0.2045573182793813,0.48983369748072936,0.599524562885692,0.231631953472677,0.07982466568717181,0.21388293766714278,0.39038470141283144,0.6282068770192629,0.4009913014643178,0.5521248408596431,0.38567521664778154,0.2634214601399697,0.06254003653069061,0.35115238329831455,0.0,0.7435910693342582,0.26685452112395247
United States,0.41130850107233596,0.3405039894014286,0.9305255673740231,0.8821586590461488,0.6381167015911057,0.6426012892359074,0.4011011887554206,0.6746826255528836,0.49115073869930204,1.0316318730100678,0.33491478405234815,0.7689000715436598,0.5716463762223752,0.8688383039561421,0.5896169991917088,1.718221721046951,0.9908728672530811,0.5212706762073316,0.7387635028141297,0.6694648979399278,0.733919261784331,0.9563501521845719,0.7435910693342582,0.0,0.9000027152800538
Vietnam,0.730974870572212,0.6663575333897742,0.5823677396329988,0.6799896921942894,0.17810006172737664,0.19347787818452158,0.570486237578862,0.2375891532852145,0.3739725726906213,0.8490972469022823,0.7017700296952264,0.14948410635084644,0.2026043718854884,0.21935362147135506,0.38560878043229746,0.4372084257845115,0.7203270700493388,0.4457438902799466,0.3263767680284834,0.2654239378986231,0.08271045253230747,0.6450763477809556,0.26685452112395247,0.9000027152800538,0.0
