Export_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891
Albania,119790385.62968706,238171.6741476863,502.9581542740764
Algeria,1045510858.4824286,1744894.8429472772,599.1827316748045
Andorra,221706.0103149414,276.9250000391006,800.5994774167644
Angola,20940737.71484375,51274.147,408.4073346913748
Anguilla,538916.6552734375,617.982,872.058822544083
Antigua and Barbuda,13537.6923828125,20.77525,651.6259675725923
"Areas, nes., Spec Cat, Islands, Other",1801261994.6324902,1640342.77353069,1098.100972368986
Argentina,541265284.6722896,836295.8617027795,647.2174614976822
Armenia,25466267.09416008,47939.5405764928,531.2163359914945
Australia,2890004970.8396716,3498760.665633012,826.0081917654686
Austria,17559883722.7292,18364187.64016673,956.202586621456
Azerbaijan,272123920.6827009,546255.9791762895,498.16190770678986
Bahamas,123243.42395019531,145.54538281846047,846.769726140454
Bahrain,723609136.8842344,1502595.7275881905,481.572736830349
Bangladesh,115893548.89615631,167673.45948985798,691.1860067106585
Barbados,2751.818359375,5.141,535.2690837142579
Belarus,1428493001.6800895,3137714.1879381565,455.2654945984024
Belgium,49816953389.91828,52612921.12970709,946.8577741027553
Belize,10418629.330566406,18320.085,568.699835757662
Benin,4.94950008392334,0.004,1237.375020980835
Bhutan,1299123444.0487928,1266833.9559611224,1025.4883348648268
Bolivia,1351.307464599614,1.300169192433352,1039.3320134516903
Bosnia and Herzegovina,285587881.1901634,607576.5967662182,470.0442425040462
Botswana,3477470.70419109,9831.639159583432,353.70202747945757
Brazil,55685153948.78784,109916461.45070645,506.61341544151344
British Virgin Islands,2364171.0458984375,3325.434,710.9360901158879
Brunei Darussalam,130558.31204223633,162.94107458291043,801.260899846364
Bulgaria,155428546.23123577,209382.4868841382,742.3187514113449
Burkina Faso,37889.94140625,160.0,236.8121337890625
Cambodia,8351344.616760254,13580.101999978066,614.9692113338871
Cameroon,337955.1786804199,427.771,790.037610498187
Canada,19924829466.556934,25411829.098604415,784.076950511649
Cayman Islands,55026.0,47.43,1160.1518026565466
Chile,149203234.0361389,235131.481645863,634.5523491442008
China (mainland),140321506006.60947,192264761.8536446,729.8347583496591
Colombia,121010037.07766524,107860.96967853468,1121.907557834123
Congo,891273.0247476101,2562.2674000000957,347.84543750101057
"Congo, D.R.",494442.4754257202,622.4633554930496,794.3318607632336
Costa Rica,199961437.64701188,219444.06154838583,911.2182678177501
Croatia,736427377.2202961,1126395.6773516631,653.7910185803935
Curacao,142.220397949219,0.246999997258186,575.7910912061988
Cyprus,24299928.146915376,22889.822891155116,1061.6040264909668
Czech Republic,5847173140.990894,6595958.295967641,886.4781853708039
Côte d'Ivoire,12996415.734630233,24312.307598392614,534.5611757351029
Denmark,716626661.8965642,657220.0291386233,1090.3907825752078
Djibouti,77853.35988616943,83.76,929.4813739991574
Dominica,623696.537109375,800.3499965667718,779.2797398448431
Dominican Republic,968208.1434173584,886.0659999897482,1092.704317092136
