Import_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,253252429.33569527,469807.16111863736,539.0561283329248
Albania,196326798.29751948,298978.0244556886,656.659627927326
Algeria,5220645857.038578,10171552.530019974,513.2594893090844
American Samoa,230614.5720806122,310.993852326731,741.5406136013517
Andorra,657757.9840488436,635.0151176945247,1035.8146849115794
Angola,511806292.9340868,713887.596305112,716.9284010298777
Anguilla,88324.712890625,78.013,1132.1794174128029
Antigua and Barbuda,456325.1731567383,510.480465683896,893.913095274654
"Areas, nes., Spec Cat, Islands, Other",974236874.0739683,1304883.265195312,746.6084515446266
Argentina,2930588627.0230374,4209974.875455797,696.1059658831704
Armenia,65847507.32317066,80528.53880419434,817.6915699821562
Aruba,10631265.025101662,21741.99369703883,488.97378838581835
Australia,2671425317.842404,3047287.7935872665,876.6567186283389
Austria,11913271083.07722,13897332.42984248,857.2343752456566
Azerbaijan,540400733.4364724,855684.6251304434,631.5419461394342
Bahamas,21475541.450811386,17929.9597425173,1197.746216902342
Bahrain,268938820.2368541,341518.5684020842,787.479349937486
Bangladesh,7640945093.57386,14743286.629166663,518.2660614125055
Barbados,2045322.8669738774,2105.636704718326,971.3560095104265
Belarus,2841880911.998239,4782720.516203333,594.1975706860266
Belgium,30950102208.226974,46638746.743705615,663.613505275075
Belize,12556774.16156745,15040.412931211089,834.8689772679232
Benin,107893817.01878881,148267.60690050916,727.6964893025349
Bermuda,1662560.030883789,2024.832,821.0854188810672
Bhutan,311582164.6920407,836756.6889770551,372.3688962354798
Bolivia,430905058.9474635,590414.926067253,729.8342909751912
"Bonaire, Saint Eustatius and Saba",6739.680938720709,9.792999969780444,688.2141284099084
Bosnia and Herzegovina,352908663.84660816,389569.81473887886,905.8932455615331
Botswana,268928369.2646611,253565.9937232654,1060.5853147570006
Brazil,6933107349.711254,8619142.561197553,804.3848097980597
British Indian Ocean Territories,2005.15270996094,2.11999988555908,945.8268010387875
British Virgin Islands,28455623.613250732,60658.954000251535,469.1083795004565
Brunei Darussalam,51001722.44290209,78306.61476814483,651.3079717966509
Bulgaria,4222061002.959699,7177549.35107747,588.2315532008007
Burkina Faso,45864050.94550514,62288.795198569285,736.3130206531687
Burundi,8375834.55114329,10052.800823026299,833.1841741018227
Cambodia,167094862.0460514,178087.571912062,938.27357098541
Cameroon,581204177.1931434,982461.7658955103,591.5794358301342
Canada,20662167269.96064,21020064.707664613,982.9735330180278
Cape Verde,4138412.5997724533,5657.466407332626,731.4957441742241
"Caribbean, nes.",9546.13989257813,7.965589965820309,1198.4222052026066
Cayman Islands,1701576.7084995508,1627.0582069996817,1045.7995302069016
Central African Republic,3243762.6298217773,3692.3100439105338,878.5184860549525
Chad,9911291.343310356,11182.064750152194,886.3561037039656
Chile,2811070245.132493,4006659.5107155284,701.5994839627584
China (mainland),67768441493.9519,100806787.07101849,672.2607025081452
Christmas Island,42.9384994506836,0.0399999991059303,1073.4625102608477
Cocos (Keeling) Islands,82200.0,216.0,380.55555555555554
Colombia,3988566545.1148443,6174282.202548781,645.9967999953645
Comoros,13943319.534030914,15144.109904385865,920.709082413144
Congo,57307913.09088221,67431.14404847531,849.8730653254875
"Congo, D.R.",159679014.3130666,164296.4403818768,971.895763182222
Cook Islands,249884.85916900646,230.38739318915034,1084.6290489681808
Costa Rica,1984769156.5519834,3079427.5267400346,644.5253669123084
Croatia,743679849.8919603,844983.2361272952,880.1119573689699
Cuba,166552167.73799205,235725.48682699498,706.5513788088133
Curacao,1421993.1433448792,1335.854881903952,1064.4817506809998
Cyprus,77888923.65483856,88231.65492767043,882.7775441669941
Czech Republic,18654107635.80748,22168193.71835021,841.480721109277
Côte d'Ivoire,390610956.729904,589398.3181645757,662.7283191887816
Denmark,7513943767.280065,10736163.399786869,699.8723368376853
Djibouti,1486097802.8216043,2118361.395769667,701.5317621390369
Dominica,39130491.228869915,68215.9618611994,573.6266140832205
Dominican Republic,2949617620.3636203,5521375.196808035,534.217928545922
East Timor,26758049.922187805,34223.15626515787,781.869729222778
Ecuador,1140661179.364219,1480689.447023782,770.3581474541962
Egypt,13596944541.429659,29022558.918987334,468.4957167072602
El Salvador,401019983.08441067,671251.5503859353,597.421313744221
Equatorial Guinea,12378356.618314266,14159.557821850143,874.2050263188842
Eritrea,2633197.600830078,2704.1701973732943,973.7543899373806
Estonia,677715856.0326427,654651.0413074165,1035.232227965548
Ethiopia,1033162163.3982208,1839992.491693389,561.5034670317469
Falkland Islands,27607.61230468751,27.315,1010.7125134427058
Faroe Islands,556264.34743166,520.1839626463069,1069.3608172804927
Fiji,119929744.51118143,187036.04312861798,641.2119423886124
Finland,1977706876.6126297,1861160.1945605383,1062.6204463176855
France,44811313675.508095,51567510.90701562,868.9834527074611
French Guiana,4205140.326904299,5150.341,816.4780403674822
French Polynesia,2436762.7285881047,2540.0925363162996,959.3204553570926
Gabon,47605798.890220165,52446.32510121219,907.7051404144969
Gambia,57677468.6149683,67968.16805045992,848.5953096771455
Gaza Strip,8671751.49609375,10147.248000000001,854.5914612606048
Georgia,232604726.55753314,366441.1091185176,634.767008311565
Germany,67003965651.329704,76149978.23079124,879.8947446610911
Ghana,984727323.7101012,1300339.381083593,757.2848581187418
Gibraltar,237304.08321177965,368.863116332676,643.3391486010115
Greece,2992142429.396313,3937057.547070283,759.9945882484959
Greenland,59040.44532728197,50.721790321913666,1164.0055477650271
Grenada,706729.9539794922,632.6938663254593,1117.0172362884082
Guadeloupe,24487.556965827942,27.48,891.1046930796194
Guam,5869936.907714845,5372.676837842046,1092.5535044971223
Guatemala,2228337540.9767456,3721486.9266636265,598.7761303180196
Guinea,101637908.70327188,132824.0189402145,765.2072984557121
Guinea-Bissau,22949782.052368164,25620.193153704335,895.7692830293879
Guyana,18079334.17510605,22351.258228955612,808.873218228253
Haiti,92419508.26744127,129055.0819703831,716.1245171937566
Honduras,480192043.294285,808123.9348134818,594.2059412027132
Hong Kong SAR,2718045500.049441,3537052.3609569143,768.4493252212135
Hungary,7179512306.225611,8507299.929663632,843.9237320400292
Iceland,39010924.81996257,44245.02727590906,881.7019046387525
India,26173649128.762463,33350695.791772686,784.8006917810471
Indonesia,37519716558.44881,59311826.46928065,632.5840695174237
Iran,6907347261.801753,10624222.29697921,650.1508598672416
Iraq,1040805595.2654853,1843631.1929775828,564.5411073700252
Ireland,588405209.861246,546844.258580202,1076.001440316756
Israel,913264606.233707,1200275.6441706794,760.8790619630707
Italy,73846538964.7567,109410848.27646087,674.9471384972743
Jamaica,20315216.13371086,22540.382579090572,901.2808927456329
Japan,24211413559.06179,30140069.219066724,803.2965479636509
Jordan,1460162479.7447536,3027850.3824271536,482.2439339206297
Kazakhstan,2148313490.8661127,4195297.256894512,512.0765846414326
Kenya,3216197859.2705984,5799037.92221594,554.6088683002814
Kiribati,148496.27374267578,170.036,873.3225537102483
Kosovo,25997990.212017067,32377.11226001165,802.9743357972874
Kuwait,1073060937.7824644,2236555.6213761764,479.78280867533203
Kyrgyzstan,98882964.87590164,120202.41503355646,822.6370896815746
Laos,92771571.65222669,98006.51929063849,946.5857202530827
Latvia,1060398388.766912,1491520.667986429,710.9511866157796
Lebanon,389947593.1588837,606069.8284367574,643.4037380885298
Lesotho,69897079.78581807,60217.96139261166,1160.7347404223813
Liberia,44986641.23879862,52592.90059971546,855.3747887227579
Libya,636050215.2969902,1247405.3484489778,509.8985795498265
Liechtenstein,36056316.22804452,47102.09580941711,765.4928216768602
Lithuania,542802788.1506048,555503.9141241681,977.1358479200126
Luxembourg,3406333440.46406,4927975.125574407,691.2237488347744
Macao,4628666.750514984,5912.175889000826,782.9041012000814
Macedonia,707946186.9430405,1392072.0437459978,508.555710261943
Madagascar,62886209.22363401,83298.95669920256,754.9459406883068
Malawi,37341372.30099535,40805.60055929643,915.1040981919368
Malaysia,13985436443.688118,17907021.471120574,781.0029415692071
Maldives,14259639.280376196,14346.63474833217,993.9361760104691
Mali,88553664.92422487,125044.843792277,708.1752612792989
Malta,12217425.519991998,12331.136447617308,990.7785524790554
Marshall Islands,312144.3885831833,296.5291452300496,1052.6600626087504
Martinique,283791.1396484375,369.8493965820308,767.315405327406
Mauritania,84043794.60330077,116376.16229285437,722.1736217062139
Mauritius,90396395.25328065,160502.72982290966,563.2078367328663
Mayotte,4047681.4665584564,5211.28688596081,776.7143807536095
Mexico,52557883586.80927,69936937.06116624,751.5039376237281
Micronesia,4963622.150947571,4448.220394623513,1115.8669559060102
Moldova,163139459.6104641,272283.6471877101,599.1526163816849
Monaco,359322.0,372.61880241937536,964.3152671495893
Mongolia,38126221.340741396,47735.19420111373,798.702550158513
Montenegro,14811380.71090734,15423.501667553575,960.3124523963353
Montserrat,94342.177734375,122.92184719638364,767.4972341055948
