Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891,253252429.33569527,469807.16111863736,539.0561283329248
Albania,119790385.62968706,238171.6741476863,502.9581542740764,196326798.29751948,298978.0244556886,656.659627927326
Algeria,1045510858.4824286,1744894.8429472772,599.1827316748045,5220645857.038578,10171552.530019974,513.2594893090844
Andorra,221706.0103149414,276.9250000391006,800.5994774167644,657757.9840488436,635.0151176945247,1035.8146849115794
Angola,20940737.71484375,51274.147,408.4073346913748,511806292.9340868,713887.596305112,716.9284010298777
Anguilla,538916.6552734375,617.982,872.058822544083,88324.712890625,78.013,1132.1794174128029
Antigua and Barbuda,13537.6923828125,20.77525,651.6259675725923,456325.1731567383,510.480465683896,893.913095274654
"Areas, nes., Spec Cat, Islands, Other",1801261994.6324902,1640342.77353069,1098.100972368986,974236874.0739684,1304883.265195312,746.6084515446266
Argentina,541265284.6722896,836295.8617027795,647.2174614976822,2930588627.0230374,4209974.875455797,696.1059658831704
Armenia,25466267.09416008,47939.5405764928,531.2163359914945,65847507.32317066,80528.53880419434,817.6915699821562
Australia,2890004970.839672,3498760.665633012,826.0081917654686,2671425317.842404,3047287.7935872665,876.6567186283389
Austria,17559883722.7292,18364187.64016673,956.202586621456,11913271083.07722,13897332.42984248,857.2343752456566
Azerbaijan,272123920.6827009,546255.9791762895,498.16190770678986,540400733.4364724,855684.6251304434,631.5419461394342
Bahamas,123243.42395019533,145.54538281846047,846.769726140454,21475541.450811382,17929.9597425173,1197.746216902342
Bahrain,723609136.8842344,1502595.7275881905,481.572736830349,268938820.2368541,341518.5684020842,787.479349937486
Bangladesh,115893548.89615633,167673.45948985798,691.1860067106585,7640945093.57386,14743286.629166665,518.2660614125055
Barbados,2751.818359375,5.141,535.2690837142579,2045322.8669738772,2105.636704718326,971.3560095104264
Belarus,1428493001.6800897,3137714.1879381565,455.2654945984024,2841880911.998239,4782720.516203333,594.1975706860266
Belgium,49816953389.91828,52612921.12970709,946.8577741027552,30950102208.22697,46638746.743705615,663.613505275075
Belize,10418629.330566406,18320.085,568.699835757662,12556774.16156745,15040.412931211087,834.8689772679232
Benin,4.94950008392334,0.004,1237.375020980835,107893817.0187888,148267.60690050916,727.6964893025349
Bhutan,1299123444.0487928,1266833.9559611224,1025.4883348648268,311582164.6920407,836756.6889770551,372.3688962354798
Bolivia,1351.307464599614,1.300169192433352,1039.3320134516905,430905058.9474635,590414.926067253,729.8342909751912
Bosnia and Herzegovina,285587881.1901634,607576.5967662182,470.0442425040462,352908663.84660816,389569.81473887886,905.8932455615331
Botswana,3477470.70419109,9831.639159583432,353.7020274794576,268928369.2646611,253565.9937232654,1060.5853147570006
Brazil,55685153948.78784,109916461.45070644,506.61341544151344,6933107349.711254,8619142.561197553,804.3848097980597
British Virgin Islands,2364171.045898437,3325.434,710.9360901158879,28455623.61325073,60658.954000251535,469.1083795004565
Brunei Darussalam,130558.31204223631,162.94107458291043,801.260899846364,51001722.44290209,78306.61476814483,651.3079717966509
Bulgaria,155428546.23123577,209382.4868841382,742.3187514113449,4222061002.959699,7177549.35107747,588.2315532008007
Burkina Faso,37889.94140625,160.0,236.8121337890625,45864050.94550514,62288.795198569285,736.3130206531687
Cambodia,8351344.616760254,13580.101999978066,614.9692113338871,167094862.0460514,178087.571912062,938.27357098541
Cameroon,337955.1786804199,427.771,790.037610498187,581204177.1931434,982461.7658955104,591.5794358301342
Canada,19924829466.55693,25411829.09860441,784.076950511649,20662167269.96064,21020064.707664613,982.9735330180278
Cayman Islands,55026.0,47.43,1160.1518026565466,1701576.7084995508,1627.0582069996815,1045.7995302069016
Chile,149203234.0361389,235131.481645863,634.5523491442008,2811070245.132493,4006659.510715528,701.5994839627584
China (mainland),140321506006.60947,192264761.8536446,729.8347583496591,67768441493.9519,100806787.07101849,672.2607025081452
Colombia,121010037.07766524,107860.96967853468,1121.907557834123,3988566545.114844,6174282.202548781,645.9967999953645
Congo,891273.0247476101,2562.267400000096,347.84543750101057,57307913.09088221,67431.14404847531,849.8730653254875
"Congo, D.R.",494442.4754257202,622.4633554930496,794.3318607632336,159679014.3130666,164296.4403818768,971.895763182222
Costa Rica,199961437.64701188,219444.06154838583,911.21826781775,1984769156.5519836,3079427.5267400346,644.5253669123084
Croatia,736427377.2202961,1126395.6773516631,653.7910185803935,743679849.8919603,844983.2361272952,880.1119573689699
Curacao,142.220397949219,0.246999997258186,575.7910912061988,1421993.1433448792,1335.854881903952,1064.4817506809998
Cyprus,24299928.146915376,22889.82289115512,1061.6040264909668,77888923.65483856,88231.65492767043,882.7775441669941
Czech Republic,5847173140.990894,6595958.295967641,886.4781853708039,18654107635.80748,22168193.71835021,841.480721109277
Côte d'Ivoire,12996415.734630233,24312.307598392614,534.5611757351029,390610956.729904,589398.3181645757,662.7283191887816
Denmark,716626661.8965642,657220.0291386233,1090.3907825752078,7513943767.280065,10736163.399786867,699.8723368376853
Djibouti,77853.35988616943,83.76,929.4813739991574,1486097802.8216045,2118361.395769667,701.5317621390369
Dominica,623696.537109375,800.3499965667718,779.2797398448431,39130491.22886992,68215.9618611994,573.6266140832205
Dominican Republic,968208.1434173584,886.0659999897482,1092.704317092136,2949617620.3636203,5521375.196808035,534.217928545922
East Timor,50569.0,90.111,561.185648810911,26758049.922187805,34223.15626515787,781.869729222778
Ecuador,1905379.0136516092,1994.2480699619405,955.4373111104342,1140661179.364219,1480689.447023782,770.3581474541962
Egypt,3444906722.0852103,4933929.424626958,698.2075391858025,13596944541.42966,29022558.918987334,468.4957167072602
