Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Throughput,Ton (SUM)_difference,Ton (SUM)_difference_ratio,Ton (SUM)_exporter_ratio,Nominal Value (SUM)_difference,Nominal Value (SUM)_difference_ratio,Nominal Value (SUM)_exporter_ratio,Price_difference,Price_difference_ratio,Price_exporter_ratio
Afghanistan,73335.17150878906,87.8909996185303,834.3877282893891,253252429.33569527,469807.16111863736,539.0561283329248,253325764.5072041,-469719.27011901885,-0.9996259122149838,0.00018707888447093245,-253179094.16418648,-0.9994210208215383,0.00028957341772062784,295.3315999564643,0.21502997631280543,1.547867994506994
Albania,119790385.62968706,238171.6741476863,502.9581542740764,196326798.29751948,298978.0244556886,656.659627927326,316117183.9272065,-60806.35030800229,-0.11320186991839122,0.7966193320773167,-76536412.66783242,-0.24211405314004297,0.6101580969509478,-153.70147365324965,-0.1325449436981424,0.7659343332277158
Algeria,1045510858.4824286,1744894.8429472772,599.1827316748045,5220645857.038578,10171552.530019974,513.2594893090844,6266156715.521007,-8426657.687072698,-0.7071451266749833,0.1715465596621021,-4175134998.5561495,-0.6662991667946184,0.20026465826500187,85.92324236572006,0.07723838662804983,1.16740702150755
Andorra,221706.0103149414,276.9250000391006,800.5994774167644,657757.9840488436,635.0151176945247,1035.8146849115794,879463.994363785,-358.09011765542414,-0.39266845562772035,0.4360919800531677,-436051.9737339022,-0.4958156064698789,0.33706319906635757,-235.215207494815,-0.12808396510980477,0.7729176744439632
Angola,20940737.71484375,51274.147,408.4073346913748,511806292.9340868,713887.596305112,716.9284010298777,532747030.64893055,-662613.449305112,-0.8659782785832402,0.07182383790582864,-490865555.21924305,-0.9213858116136803,0.040915358024995234,-308.5210663385029,-0.2741591300668728,0.5696626526507974
Anguilla,538916.6552734375,617.982,872.058822544083,88324.712890625,78.013,1132.1794174128029,627241.3681640625,539.9689999999999,0.7758231021774581,7.9215258995295645,450591.9423828125,0.7183708939697274,6.1015387159060825,-260.1205948687199,-0.12978526688240188,0.7702479034081596
Antigua and Barbuda,13537.6923828125,20.77525,651.6259675725923,456325.1731567383,510.480465683896,893.913095274654,469862.8655395508,-489.705215683896,-0.9217881355939648,0.04069744367625739,-442787.4807739258,-0.9423759850982607,0.029666766549744084,-242.28712770206164,-0.15676545066140984,0.7289589681784233
"Areas, nes., Spec Cat, Islands, Other",1801261994.6324902,1640342.77353069,1098.100972368986,974236874.0739684,1304883.265195312,746.6084515446266,2775498868.7064586,335459.508335378,0.11389941007057158,1.2570800908272566,827025120.5585217,0.2979735030279306,1.8488953175218559,351.4925208243594,0.1905408604020986,1.4707856174105334
Argentina,541265284.6722896,836295.8617027795,647.2174614976822,2930588627.0230374,4209974.875455797,696.1059658831704,3471853911.695327,-3373679.0137530174,-0.6685489521817944,0.19864628327793457,-2389323342.350748,-0.6881981221335512,0.18469507445748876,-48.888504385488204,-0.036393695955119806,0.9297685887184405
Armenia,25466267.09416008,47939.5405764928,531.2163359914945,65847507.32317066,80528.53880419434,817.6915699821562,91313774.41733074,-32588.998227701537,-0.25367389615229746,0.5953111938744859,-40381240.22901058,-0.4422250694014297,0.38674610671555243,-286.47523399066176,-0.21237568014984837,0.6496536781014959
