Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
Afghanistan,Austria,20804.244140625,21.3999996185303,972.1609584801379
Afghanistan,Canada,710.679321289063,0.993,715.6891453062065
Afghanistan,China (mainland),2236.0,2.758,810.7324147933285
Afghanistan,Guatemala,1744.0,1.347,1294.7290274684485
Afghanistan,Senegal,30812.240234375,44.113,698.4843523309455
Afghanistan,Turkey,17028.0078125,17.28,985.4171187789351
Albania,Austria,1654117.40625,1465.7000064849854,1128.551135246887
Albania,Canada,142372.048828125,135.03199999999998,1054.3578472371364
Albania,Chile,43241.2900390625,35.393,1221.7469567163705
Albania,France,174302.3201065064,154.23690096077843,1130.0948023510307
Albania,Germany,274756.400390625,242.1999988555907,1134.4194949994435
Albania,Greece,70321.63064575197,97.23500001430499,723.2131499501868
Albania,Italy,103743.6875,96.62100000000001,1073.7177994431852
Albania,Malaysia,90676.8671875,76.83,1180.2273485292203
Albania,Mexico,374.0,0.998,374.749498997996
Albania,Montenegro,93045.10662841803,105.16953169563226,884.7154221214645
Albania,Netherlands,54.608001232147174,0.0390000005718319,1400.2051392683386
Albania,New Zealand,13525.125,15.016,900.7142381459777
Albania,Serbia,18389.224609375,25.215,729.2970299177077
Albania,Sweden,2.1633999347686803,0.0018873752237599998,1146.247925443669
Albania,Turkey,116980120.80969429,235628.7378222992,496.45948066791215
Albania,United Kingdom,131342.94140625,93.249,1408.518497852524
Algeria,Austria,17791.763671875,16.7999992370605,1059.0335999912836
Algeria,Bulgaria,29583078.0,50118.59765625,590.2614874203462
Algeria,Canada,11014555.5,14260.662,772.3733652757495
Algeria,China (mainland),62728333.0,95167.298,659.1374801877847
Algeria,Colombia,90499537.7695313,137980.584,655.8860322661868
Algeria,Costa Rica,91549.0,167.281,547.2767379439387
Algeria,Denmark,11461099.0,14351.3203125,798.6093788191308
Algeria,Egypt,5163766.65625,14740.0,350.3233823778833
Algeria,France,144.760192871094,0.14300000667572,1012.3089937986197
Algeria,Germany,1134.59997558594,1.0,1134.59997558594
Algeria,India,8137524.0,16474.0,493.9616365181498
Algeria,Italy,150192355.9921875,280088.017,536.2327085638494
Algeria,Morocco,9750331.5,21313.238,457.47771877740956
Algeria,Netherlands,68750.09375,50.439998626709,1363.0074469033675
Algeria,Portugal,3357727.625,9343.1396484375,359.3789402004207
Algeria,Spain,14450614.5625,34642.614,417.1340696894293
Algeria,Tunisia,3442332.241210938,7126.03,483.0645171590546
Algeria,Turkey,645550232.4181584,1049053.6783322194,615.3643476513529
Andorra,Austria,37025.9921875,55.5,667.1349943693693
Andorra,France,39341.229064941406,28.15900003910065,1397.1103025786954
Andorra,South Africa,12891.291015625,15.966,807.4214590771014
Andorra,Switzerland,16558.248046875,22.39,739.5376528305047
Andorra,Thailand,115889.25,154.91,748.1069653347105
Angola,Ghana,4472053.4375,13500.136,331.2598804560191
Angola,Senegal,16305056.5625,37600.575,433.6384899034124
Angola,South Africa,148662.203125,122.871,1209.9047222290044
Angola,Thailand,14965.51171875,50.565,295.9658206021952
Anguilla,Indonesia,200250.0,142.0,1410.2112676056338
Anguilla,Malaysia,54203.986328125,48.294,1122.3751672697438
Anguilla,Russia,5174.2001953125,4.87,1062.464105813655
Anguilla,Sri Lanka,279288.46875,422.818,660.5406315483258
Antigua and Barbuda,Ghana,13537.6923828125,20.77525,651.6259675725923
"Areas, nes., Spec Cat, Islands, Other",Australia,328031454.40356445,390749.9523506669,839.4919882400455
"Areas, nes., Spec Cat, Islands, Other",Azerbaijan,104385.22155761719,181.257,575.8962222568904
"Areas, nes., Spec Cat, Islands, Other",Belarus,53400.0,63.41757142857143,842.0379209908025
"Areas, nes., Spec Cat, Islands, Other",Belize,61.6740951538086,0.0544274489402583,1133.1432274458518
"Areas, nes., Spec Cat, Islands, Other",China (mainland),189851.0,137.19013481771455,1383.8531484224889
"Areas, nes., Spec Cat, Islands, Other",Croatia,44339.315181732214,45.365000408142826,977.3903842790112
"Areas, nes., Spec Cat, Islands, Other",Czech Republic,680820.8627891543,655.4269611549623,1038.74406019161
"Areas, nes., Spec Cat, Islands, Other",Côte d'Ivoire,492523.2357482912,720.289119082253,683.7854726666332
