Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Austria,578507204.2207501,537974143.0476125,516549683.0748853,476657746.21646696,557931778.9151286,513101192.64710313,467127364.4297151,438079485.66532415,431745009.6894613,410469499.27575463,378751410.16627866,333144424.8385186,405599378.92189854,375843135.00016624,342445074.3947489,356048142.5861896,446893094.8306634,462516835.48710304,439583575.31053644,438431750.9950489,529526883.83335567,461377792.1724927,402149722.0234328,377310958.15694153,440601652.96444184,424604546.4259944,380608693.4644382,343334974.7080494,415064197.41459626,264690322.0879507,340261493.35260266,370954266.1820369,438116323.00632155,452335089.7833129,433199899.8504168,357539244.7275239,355803889.41762877,197078181.2267707,252963066.6848714,266751993.68010914,434755470.75075406,445455899.4220069,267999231.67979503,
Belgium,1522673054.8187978,1319908371.225134,1234616453.521489,1235685545.2914822,1390501100.935899,1331069260.317316,1210410235.0885675,1069128684.1966729,1129450265.895971,1174076011.0077589,1012268556.6156036,930523435.6254793,991960836.3824118,1044451666.7671063,965354334.9537209,1035807188.0229222,1223928333.1484501,1334895919.9309807,1256179590.1252816,1404690296.6228058,1591313012.9167893,1560903059.7233267,1357393299.7034318,1356558783.184509,1446546935.1112137,1312236852.6373947,1104766395.2268996,1015308799.2047353,1120232898.3472774,712067878.1151549,996962345.675816,1016500606.9604775,1122051403.5053244,1272411333.5428128,1357852353.1042228,918318907.6408972,910691986.0443078,714561730.0656631,759819208.2172194,893344296.4446152,1193965339.2667081,1252812110.889834,1012535517.441545,219196.45425415
Brazil,1281322463.1281204,1007196968.7243729,930197876.568512,1172005173.0250854,929485503.9569397,967025608.0360141,1329099055.3050232,1379930551.7776108,1236822054.3954718,1014828372.4491616,1152827216.877159,923403445.9306927,712392776.688591,789226503.5057406,1060889215.3174783,1015118701.2431507,1292068776.4701052,1334778074.0404563,1349279734.866694,1502684550.2959852,1310368047.8139493,1352953971.4671555,1438986947.0165424,1561629587.7385864,1555615944.520546,1360816475.8426962,1312368336.6886215,1026357368.7308502,1223583917.326519,1032620665.3788147,1010311123.4929428,1000537776.0158997,1082405957.7612782,1598762533.0534408,2096468670.1792297,1754878434.1306458,1668102846.3813477,1842211884.3230457,1863258153.4646592,1346926050.415378,1301260172.2668648,1714786986.2297668,1690178276.9232635,159181199.0234375
Canada,380882057.99330306,366563188.896533,350991740.02233505,359178156.0674419,420516316.4726777,455108539.04286647,438990398.07290643,370728520.35424316,351067324.3007226,331897423.4412613,325611924.7521477,296711391.9460058,316486077.0393834,319547683.6262772,335577202.5456362,307434803.41209173,386143773.397447,409102610.222376,392878692.67020607,416839097.1541194,449483490.310904,490583578.34664917,367869922.4883003,351760320.3626926,327399544.5184419,347460231.41963816,426194496.5607977,388603224.9934604,414251627.5939058,277803810.2051153,294577966.1116371,356896947.9224274,529385870.8213916,673748660.0010586,755930416.4607325,835516978.8563565,861899304.9420009,931888024.7449131,770288687.3501906,672346416.2179737,644280538.390213,796018478.7230754,628350619.8499701,33387.9351081848
China (mainland),2087054736.2259278,2151140206.27806,2240102247.430656,2013535378.6772692,2409917077.3425016,3903447043.23901,4454912392.079961,4862341243.477615,4240461528.4575596,3536360550.196941,4330532057.211551,3919737144.9622574,3438366403.6158266,3793655278.394386,3973421209.1524525,3683447189.9291563,3668712152.636315,3584618846.5203333,3721277329.9111557,3020769847.956863,2609817620.8383985,4352760142.026764,3290855553.9565544,3165131549.0957427,2881618767.7099752,2954749721.1777925,2590870130.233018,2211011762.436766,2173827124.794463,2559897948.2500725,1705335727.9377537,2364534537.5427637,3579709832.088568,5007005105.391598,3897841088.0255265,2583039332.2560472,2061847409.5443792,3547732452.259708,3323895507.8345256,2689358012.790697,3138092594.9647274,4197795202.58269,3846870242.0657682,554098777.109375
France,1041261917.6050112,952320459.6503658,970569656.9540348,945786272.4752572,1090294472.0705032,1041096831.4196181,1047012100.7627081,936085176.0721707,905070387.6947509,888074384.4549394,791948336.9501135,722124463.6558594,749931321.904596,770891116.379825,689704921.484733,769849475.8441058,928047246.1763506,1016250558.7565553,989478777.3816795,979348867.0732452,1132294530.6541562,1130064855.8816657,1019234856.4558117,971109182.2765726,968600103.947617,1023202212.4138309,908492014.8353716,803369584.1862062,752000014.7232972,499207796.3560033,596126580.6937674,762355391.0425168,1102038823.5834057,1114526982.3794043,1141792675.0227633,1101960032.2748978,939727076.3221474,936166579.0850194,617232960.1711195,608918285.5828433,751280389.9908954,609264543.7377349,629172021.9250731,
Germany,1914176435.451822,2030536805.5348706,1722807882.465283,1741592665.6044462,1962064315.2442515,1975725275.566467,1905293751.3378298,1728205892.6451528,1770457554.0443668,1747261698.775521,1604353057.7439578,1441799926.9028778,1535890163.0873015,1664722067.3439064,1540227435.1849058,1516184372.1070845,1857748010.3233924,1962563227.8276713,1895547692.991605,1939585783.157539,2079804406.9972532,2208237107.5117073,1914435864.026291,1875985725.1527858,1963363536.441029,1927094595.73625,1748479524.1257935,1486834810.3326876,1765070801.6668952,1269850180.0112257,1481768941.5041275,1696375053.6533813,1957081264.174782,2047253611.3028867,1791490560.9876704,1877739706.138183,1866138697.0715322,1588049059.2609887,1436380744.7359629,1559950801.2380972,1938956641.3297122,1677493586.717651,1575686855.6018064,
India,936891627.8507764,939505478.0984857,960402265.9676492,1168389052.4200146,1104315542.6630192,963826603.5220995,1040647101.7795619,904554399.3524724,786365146.0093788,740488885.25906,686262753.0848581,428749886.3557184,481474601.07235295,515541340.4634822,713920958.7360011,866608628.9351388,1006201731.9154667,1123866832.6966665,1154661138.9994278,1317861202.0327861,1192036159.3974147,1058176680.3312697,998250311.1263843,903048919.3909715,796099859.9713631,809664807.4297284,845918583.1015931,1026298595.1758482,857218318.0557536,1291263525.7228496,1454815713.035479,1051158430.2449406,1215241573.6956797,1910199922.152982,2856642551.551221,2233898730.333745,1636003506.731796,1653790061.115182,1572490063.9868855,1023020532.2220836,1051417905.7718259,1511030196.351632,846578931.8961527,8969264.691162113
Indonesia,17696254.19775391,25616457.61328125,9795431.869628906,22879221.792633064,23879934.095947266,73993374.63476562,122549477.23876952,115051202.58154297,150803629.64379883,139454034.9726715,100450050.58352661,104990036.59416199,172909449.46923828,264847660.64160156,228823708.21948242,234186862.2614746,260157831.60344204,159567291.2731528,311087213.8163305,321083971.2825491,297699411.5489709,110112439.24414062,237306565.42860025,171838449.6953604,554465844.4923192,203543681.24697024,146935909.9421387,267484063.082259,193913014.73617625,738391000.2974944,698499949.6428949,834521129.6193985,888627786.9640807,1839164840.5762377,1187454986.4754329,152633837.0300751,543690416.3041651,305738297.2332201,453239824.9415527,348909163.6336823,466775202.5793085,605163444.5598183,636708011.572693,9187915.0
Iran,53725691.68041992,105194196.4609375,104755735.19127041,99053563.98524474,155477293.83953857,197521853.48517227,233030477.69580078,126877986.5805664,144631071.37109375,250067190.1102295,240771203.58597565,165972753.2905273,350755166.2486954,348437271.4401398,246551464.1667481,282954250.21972656,281913106.17626953,555250749.8452148,557394088.0609207,459586056.5016773,741325984.5523987,564357937.1553345,603660271.2956543,248869025.49914932,206906063.98735052,164950622.16204837,156251924.64501956,122921932.9014311,185935764.42041016,126774992.14099121,220545883.30142975,204832229.97575378,524016692.86572266,416202168.9652481,526884136.8973541,174338368.09887695,401653232.4641113,403941634.2011719,274130112.66137695,427449636.70010376,400530646.3376312,373993138.00146484,446607265.82250977,121349060.32714844
Italy,645179301.8128328,644829564.2732441,595951491.1061487,667285408.8655667,709925363.319635,686030564.3449193,535009400.48733133,493296140.503953,494391628.84325063,546288275.1381222,434644741.1050844,449540570.54070294,485925107.5713437,535853737.5762488,476711626.1687175,515840849.57543796,626089348.2060099,673007782.8327129,619421326.9276527,658620545.8911701,720472158.277987,762680931.9686879,682523228.6057945,644386537.9377593,736346973.7854975,690803968.6081233,534600146.6663517,496669031.6053498,539509028.2929497,373933695.5669955,422662780.3285958,540868826.7583659,646348899.1858832,788624092.5662717,351525343.3196392,312466592.4556864,145170888.16522205,207079381.26710796,206976406.4882832,341471496.575732,405754696.42036694,453577265.894387,354682776.15642387,
Japan,3066828729.6066303,3124665427.9658656,2903313459.8970337,2705074357.7298584,2865963765.882449,2836062162.4741197,2769003008.677028,2617929685.0755005,2560295067.8379583,2280647009.877328,2039845127.1954033,1992827614.832519,1869213773.485658,1892916114.7726665,2025605636.6394806,1967299790.2899947,2140452042.2030635,2300625691.6415973,2157872430.596559,2357616178.0105,2394827582.722642,2400726255.955399,2348958702.9669952,2371304865.4539804,1784364707.194268,2038372858.9501965,2066952277.148805,1856373588.398864,1993966219.8274775,1649685147.685181,1482222004.8312683,1744852220.9728394,2109433437.5434575,2489287199.1184773,2880586737.7868786,2661579827.282426,2300892504.8632817,2661768580.024931,2099317563.278455,1897160334.9427495,1917726021.7424922,2154436992.053788,1913190387.5350406,88583823.5612793
Malaysia,155308005.55631545,128645823.72728944,114646933.49641417,98623382.0134735,144804175.57302192,181640591.84635162,124086524.71622086,99489749.37402344,84132251.502327,114411181.69966651,105647352.91240765,88851728.99840973,89543711.57279404,97317789.47513819,126424744.88554266,151615784.09652522,222579649.32003397,244931716.1165958,299889118.69964623,329968875.6896745,402384216.1009616,388865273.55728924,423333051.1566143,546842580.3301345,641756674.2597111,703046701.372103,515198507.7848433,597486491.8278904,507223817.1812155,421984199.7950175,433856573.70906836,390044079.9793946,502326445.2779165,529654655.92550236,593876242.0388428,525595882.8959466,403369498.96052635,466376843.4481253,447289470.9968443,424842963.1325604,463829223.32656574,475235385.08702976,541748787.7115569,28159241.589416504
Mexico,262848970.79613876,319594059.18100834,261198424.14290047,220122051.04906884,273852360.07711035,349267815.1852112,279074720.481987,259942438.49494934,198445419.62820435,159916454.12696838,188214584.61159515,113046684.1760521,124535682.9745624,120909488.11178493,199930047.97157478,169019604.3715588,183551822.5663681,211566668.5114298,192771018.21664047,171829146.49607086,267182691.9595158,324881617.06554407,367568523.1875,343897570.00756836,328088504.59791946,227306106.45734024,312788688.4416829,306392601.3657551,241991256.50387818,258423199.57638526,251934469.1970234,323820001.0590429,341831957.5320635,644018132.0571616,563774261.7120247,614540453.2029076,602031099.2247925,689619276.6561605,562860677.8848282,401250322.77301025,504188130.1473083,449486402.4218387,352272342.2873516,7253.0
Netherlands,743993537.4843738,726978031.5948008,710338169.163616,769227108.605799,787664264.8402834,771527692.9222457,759276848.7863897,732506592.0396503,707319448.0120142,606336211.2286024,593794345.2816734,555610702.622588,571762902.6313021,583832487.2505938,597337666.172481,598184769.4544395,717360208.0425041,751478384.3155239,778297187.4140601,749799906.717467,742675961.6687993,767807954.1212208,741657309.292591,770820556.4437283,707528193.6987765,664265110.622726,607775228.1790804,575306996.9573867,601581022.319427,501014577.8727211,484208085.40190285,581065423.5627217,710839775.20035,745797081.2422961,829008045.2923716,851404239.4720167,684015586.644651,555999559.7463415,499228667.9457322,664434891.6511538,659249340.325927,577255928.1334314,536247193.743561,1096347.950805664
