Country1,Country2,Correlation
Belgium,Canada,-0.6068037298568955
Belgium,India,-0.6334328352443522
Belgium,Mexico,-0.6051571695467812
Brazil,Ukraine,-0.6041411875116245
Canada,Italy,-0.7418647515067062
Canada,Ukraine,-0.6285340419931834
France,Indonesia,-0.6909083510387773
India,Italy,-0.6308030877603569
India,Netherlands,-0.614327035609765
Indonesia,Netherlands,-0.6546091495874895
Iran,Ukraine,-0.6262590314792754
Italy,Mexico,-0.6560710208625338
Italy,Oman,-0.6783401494054064
Japan,Vietnam,-0.6372258406844438
Malaysia,United Kingdom,-0.6321656213683297
Netherlands,Vietnam,-0.6039683176426401
Oman,Ukraine,-0.644579428832795
Russia,South Korea,-0.6676834826948641
Russia,United States,-0.6657542973999186
Ukraine,United States,-0.7273777241858892
United Kingdom,Vietnam,-0.6323358055440301
